numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
4,[ 1  8 31  8],[0.046875 0.375    1.453125 0.375   ],[0 0 0 0],[0. 0. 0. 0.],[2672 1164 4961  839],[-0.04492188  0.1171875   0.         -0.0234375 ],[0.01171875 0.35546875 1.453125   0.375     ],[0. 0. 0. 0.],background
7,[ 1  8 31  9  8  8  9],[0.046875 0.375    1.453125 0.421875 0.375    0.375    0.421875],[ 0  0  0 -3 -1  0 -3],"[ 0.          0.          0.         -0.17560564 -0.05853521  0.
 -0.17560564]",[2655 1016 3947  932 1653  737  775],"[-0.04492188  0.09375     0.          0.14453125  0.09375    -0.05859375
 -0.01367188]","[0.01171875 0.36328125 1.453125   0.39648438 0.36328125 0.37109375
 0.421875  ]",[0. 0. 0. 0. 0. 0. 0.],background
6,[ 1 31  9  8  9  8],[0.046875 1.453125 0.421875 0.375    0.421875 0.375   ],[ 0  0 -4 -2 -4 -2],[ 0.          0.         -0.23414086 -0.11707043 -0.23414086 -0.11707043],[2651 4743  404  899  339  752],[-0.04492188  0.          0.14453125  0.0703125  -0.01367188 -0.0703125 ],[0.01171875 1.453125   0.39648438 0.36914062 0.421875   0.36914062],[0. 0. 0. 0. 0. 0.],background
8,[ 1 10 31  7  8 10  7  8],[0.046875 0.46875  1.453125 0.328125 0.375    0.46875  0.328125 0.375   ],[ 0  0  0 -6 -3  0 -6 -3],"[ 0.          0.          0.         -0.35121129 -0.17560564  0.
 -0.35121129 -0.17560564]",[2634  710 4797  213 1061  645  196  805],"[-0.04492188  0.19140625  0.          0.02148438  0.0703125   0.015625
  0.1328125  -0.0703125 ]","[0.01171875 0.42773438 1.453125   0.328125   0.36914062 0.46875
 0.30078125 0.36914062]",[0. 0. 0. 0. 0. 0. 0. 0.],background
11,[ 1 10 31  7 12 56  8 10  7 12  8],"[0.046875 0.46875  1.453125 0.328125 0.5625   2.625    0.375    0.46875
 0.328125 0.5625   0.375   ]",[ 0  0  0 -7 -7 -4 -3  0 -7 -7 -3],"[ 0.          0.          0.         -0.4097465  -0.4097465  -0.23414086
 -0.17560564  0.         -0.4097465  -0.4097465  -0.17560564]",[2630 1509 4658  162   39  150  898 1412  148   29  720],"[-0.04492188  0.19140625  0.04492188  0.12304688  0.140625   -2.21484375
  0.046875    0.015625   -0.00976562 -0.0703125  -0.09375   ]","[0.01171875 0.42773438 1.453125   0.3046875  0.54492188 1.40820312
 0.37304688 0.46875    0.328125   0.55859375 0.36328125]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background
9,[ 1 10 31  6 56  8 10  6  8],"[0.046875 0.46875  1.453125 0.28125  2.625    0.375    0.46875  0.28125
 0.375   ]",[ 0  0  0 -5 -4 -2  0 -5 -2],"[ 0.          0.          0.         -0.29267607 -0.23414086 -0.11707043
  0.         -0.29267607 -0.11707043]",[2631 1459 1771  457  280 1182 1333  362  898],"[-0.04492188  0.17578125 -0.09179688  0.0703125  -2.296875    0.0234375
  0.         -0.03515625 -0.1171875 ]","[0.01171875 0.43554688 1.45117188 0.27148438 1.27148438 0.375
 0.46875    0.27929688 0.35546875]",[0. 0. 0. 0. 0. 0. 0. 0. 0.],background
7,[11 36  7  6 14  7  6],[0.515625 1.6875   0.328125 0.28125  0.65625  0.328125 0.28125 ],[ 0  0  4 -4 -3  4 -4],"[ 0.          0.          0.23414086 -0.23414086 -0.17560564  0.23414086
 -0.23414086]",[1199 1721  603  360  181  449  297],"[ 0.12890625 -0.79101562 -0.0625      0.05273438  0.02148438 -0.18554688
 -0.05273438]","[0.5        1.49023438 0.32226562 0.27539062 0.65625    0.27148438
 0.27539062]",[0. 0. 0. 0. 0. 0. 0.],background
7,[36  7 11  7  6  7  6],[1.6875   0.328125 0.515625 0.328125 0.28125  0.328125 0.28125 ],[ 0  1  1  7 -2  1 -2],"[ 0.          0.05853521  0.05853521  0.4097465  -0.11707043  0.05853521
 -0.11707043]",[1648 1246  959 1700  510 1032  475],"[-0.79101562 -0.04101562 -0.015625   -0.09179688 -0.05273438 -0.15429688
  0.04492188]","[1.49023438 0.32617188 0.515625   0.31445312 0.27539062 0.2890625
 0.27734375]",[0. 0. 0. 0. 0. 0. 0.],background
4,[ 7 36 11 11],[0.328125 1.6875   0.515625 0.515625],[0 0 1 1],[0.         0.         0.05853521 0.05853521],[3258 1594  945  860],[-0.02148438 -0.73828125  0.14453125 -0.03320312],[0.328125   1.51757812 0.49414062 0.515625  ],[0. 0. 0. 0.],background
5,[ 8 36  8  8  8],[0.375  1.6875 0.375  0.375  0.375 ],[ 0  0 -1  0 -1],[ 0.          0.         -0.05853521  0.         -0.05853521],[5747 1540 4719 4888 4140],[-0.12890625 -0.79101562  0.          0.         -0.140625  ],[0.3515625  1.49023438 0.375      0.375      0.34765625],[0. 0. 0. 0. 0.],background
