numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
8,[ 1 10 15 27 42 46 15 42],[0.046875 0.46875  0.703125 1.265625 1.96875  2.15625  0.703125 1.96875 ],[ 0  0  0  0  0 -4  0  0],"[ 0.          0.          0.          0.          0.         -0.23414086
  0.          0.        ]",[2560 3198 2345 3550 2034   31 2303 1988],"[-0.04492188 -0.05859375 -0.1328125   0.08007812 -0.92382812 -0.13476562
  0.2421875   0.18554688]","[0.01171875 0.46484375 0.69140625 1.26367188 1.74023438 2.15234375
 0.66015625 1.9609375 ]",[0. 0. 0. 0. 0. 0. 0. 0.],background
7,[ 1 10 15 27 42 15 42],[0.046875 0.46875  0.703125 1.265625 1.96875  0.703125 1.96875 ],[0 0 0 0 0 0 0],[0. 0. 0. 0. 0. 0. 0.],[2547 3196 2524 3519 2024 2346 1955],"[-0.04492188 -0.05859375 -0.1328125   0.08007812 -0.92382812  0.26367188
  0.18554688]","[0.01171875 0.46484375 0.69140625 1.26367188 1.74023438 0.65234375
 1.9609375 ]",[0. 0. 0. 0. 0. 0. 0.],background
7,[ 1 10 15 27 42 15 42],[0.046875 0.46875  0.703125 1.265625 1.96875  0.703125 1.96875 ],[0 0 0 0 0 0 0],[0. 0. 0. 0. 0. 0. 0.],[2534 3073 2336 3469 1974 2313 1943],"[-0.04492188 -0.05859375  0.26367188  0.08007812 -0.92382812 -0.1328125
  0.18554688]","[0.01171875 0.46484375 0.65234375 1.26367188 1.74023438 0.69140625
 1.9609375 ]",[0. 0. 0. 0. 0. 0. 0.],background
7,[ 1 10 15 27 42 15 42],[0.046875 0.46875  0.703125 1.265625 1.96875  0.703125 1.96875 ],[0 0 0 0 0 0 0],[0. 0. 0. 0. 0. 0. 0.],[2530 3052 2292 3474 1974 2106 1942],"[-0.04492188 -0.05859375  0.26367188  0.08007812 -0.92382812 -0.1328125
  0.18554688]","[0.01171875 0.46484375 0.65234375 1.26367188 1.74023438 0.69140625
 1.9609375 ]",[0. 0. 0. 0. 0. 0. 0.],background
8,[ 1 10 15 27 39 42 15 42],[0.046875 0.46875  0.703125 1.265625 1.828125 1.96875  0.703125 1.96875 ],[0 0 0 0 0 0 0 0],[0. 0. 0. 0. 0. 0. 0. 0.],[2526 2955 2315 3460 2280 1959 1954 1941],"[-0.04492188 -0.05859375  0.26367188  0.08007812 -0.34375    -0.92382812
 -0.37304688  0.18554688]","[0.01171875 0.46484375 0.65234375 1.26367188 1.796875   1.74023438
 0.59570312 1.9609375 ]",[0. 0. 0. 0. 0. 0. 0. 0.],background
7,[ 1 10 15 27 42 15 42],[0.046875 0.46875  0.703125 1.265625 1.96875  0.703125 1.96875 ],[0 0 0 0 0 0 0],[0. 0. 0. 0. 0. 0. 0.],[2520 2913 2326 3475 1944 1931 1928],"[-0.04492188 -0.05859375  0.26367188  0.08007812 -0.92382812 -0.37304688
  0.18554688]","[0.01171875 0.46484375 0.65234375 1.26367188 1.74023438 0.59570312
 1.9609375 ]",[0. 0. 0. 0. 0. 0. 0.],background
7,[ 1 10 15 27 42 15 42],[0.046875 0.46875  0.703125 1.265625 1.96875  0.703125 1.96875 ],[0 0 0 0 0 0 0],[0. 0. 0. 0. 0. 0. 0.],[2514 2898 2363 3458 1924 2004 1921],"[-0.04492188 -0.05859375  0.26367188  0.08007812 -0.92382812 -0.37304688
  0.18554688]","[0.01171875 0.46484375 0.65234375 1.26367188 1.74023438 0.59570312
 1.9609375 ]",[0. 0. 0. 0. 0. 0. 0.],background
7,[ 1 10 15 27 42 15 42],[0.046875 0.46875  0.703125 1.265625 1.96875  0.703125 1.96875 ],[0 0 0 0 0 0 0],[0. 0. 0. 0. 0. 0. 0.],[2514 2800 2383 3451 1921 2069 1909],"[-0.04492188 -0.05859375  0.26367188  0.08007812  0.18554688 -0.15429688
 -0.92382812]","[0.01171875 0.46484375 0.65234375 1.26367188 1.9609375  0.68554688
 1.74023438]",[0. 0. 0. 0. 0. 0. 0.],background
7,[ 1 10 15 27 42 15 42],[0.046875 0.46875  0.703125 1.265625 1.96875  0.703125 1.96875 ],[0 0 0 0 0 0 0],[0. 0. 0. 0. 0. 0. 0.],[2517 2699 2441 3456 1921 2310 1909],"[-0.04492188 -0.05859375  0.26367188  0.08007812  0.18554688 -0.15429688
 -0.92382812]","[0.01171875 0.46484375 0.65234375 1.26367188 1.9609375  0.68554688
 1.74023438]",[0. 0. 0. 0. 0. 0. 0.],background
7,[ 1 10 15 27 42 15 42],[0.046875 0.46875  0.703125 1.265625 1.96875  0.703125 1.96875 ],[0 0 0 0 0 0 0],[0. 0. 0. 0. 0. 0. 0.],[2511 2172 2626 3452 1916 2456 1909],"[-0.04492188 -0.05859375 -0.1328125   0.08007812 -0.92382812  0.26367188
  0.18554688]","[0.01171875 0.46484375 0.69140625 1.26367188 1.74023438 0.65234375
 1.9609375 ]",[0. 0. 0. 0. 0. 0. 0.],background
7,[ 1 10 15 27 42 15 42],[0.046875 0.46875  0.703125 1.265625 1.96875  0.703125 1.96875 ],[0 0 0 0 0 0 0],[0. 0. 0. 0. 0. 0. 0.],[2507 2057 2663 3428 1925 2466 1901],"[-0.04492188 -0.07421875 -0.1328125   0.08007812 -0.92382812  0.26367188
  0.18554688]","[0.01171875 0.46289062 0.69140625 1.26367188 1.74023438 0.65234375
 1.9609375 ]",[0. 0. 0. 0. 0. 0. 0.],background
6,[ 1 15 27 42 15 42],[0.046875 0.703125 1.265625 1.96875  0.703125 1.96875 ],[0 0 0 0 0 0],[0. 0. 0. 0. 0. 0.],[2510 2394 3410 1942 2323 1900],[-0.04492188 -0.1328125   0.08007812 -0.92382812  0.26367188  0.18554688],[0.01171875 0.69140625 1.26367188 1.74023438 0.65234375 1.9609375 ],[0. 0. 0. 0. 0. 0.],background
6,[ 1 15 27 42 15 42],[0.046875 0.703125 1.265625 1.96875  0.703125 1.96875 ],[0 0 0 0 0 0],[0. 0. 0. 0. 0. 0.],[2505 2571 3416 1951 2399 1898],[-0.04492188 -0.1328125   0.08007812 -0.92382812  0.26367188  0.18554688],[0.01171875 0.69140625 1.26367188 1.74023438 0.65234375 1.9609375 ],[0. 0. 0. 0. 0. 0.],background
8,[ 1 15 27 42 17 15 42 17],[0.046875 0.703125 1.265625 1.96875  0.796875 0.703125 1.96875  0.796875],[ 0  0  0  0 -3  0  0 -3],"[ 0.          0.          0.          0.         -0.17560564  0.
  0.         -0.17560564]",[2503 2582 3401 1958   21 2407 1884   15],"[-0.04492188 -0.1328125   0.08007812 -0.92382812  0.07421875  0.26367188
  0.18554688 -0.22460938]","[0.01171875 0.69140625 1.26367188 1.74023438 0.79296875 0.65234375
 1.9609375  0.765625  ]",[0. 0. 0. 0. 0. 0. 0. 0.],background
8,[ 1 15 27 42 17 15 42 17],[0.046875 0.703125 1.265625 1.96875  0.796875 0.703125 1.96875  0.796875],[ 0  0  0  0 -4  0  0 -4],"[ 0.          0.          0.          0.         -0.23414086  0.
  0.         -0.23414086]",[2499 2346 3404 1949   17 2316 1888   16],"[-0.04492188 -0.1328125   0.08007812 -0.92382812  0.29882812  0.26367188
  0.18554688  0.02539062]","[0.01171875 0.69140625 1.26367188 1.74023438 0.73828125 0.65234375
 1.9609375  0.796875  ]",[0. 0. 0. 0. 0. 0. 0. 0.],background
6,[ 1 15 27 42 15 42],[0.046875 0.703125 1.265625 1.96875  0.703125 1.96875 ],[0 0 0 0 0 0],[0. 0. 0. 0. 0. 0.],[2502 2242 3388 1940 2137 1890],[-0.04492188  0.26367188  0.08007812 -0.92382812 -0.1328125   0.18554688],[0.01171875 0.65234375 1.26367188 1.74023438 0.69140625 1.9609375 ],[0. 0. 0. 0. 0. 0.],background
8,[ 1 15 27 42 17 15 42 17],[0.046875 0.703125 1.265625 1.96875  0.796875 0.703125 1.96875  0.796875],[ 0  0  0  0 -3  0  0 -3],"[ 0.          0.          0.          0.         -0.17560564  0.
  0.         -0.17560564]",[2496 2297 3404 1919   23 2178 1918   22],"[-0.04492188  0.26367188  0.08007812  0.18554688  0.02539062 -0.1328125
 -0.92382812 -0.2734375 ]","[0.01171875 0.65234375 1.26367188 1.9609375  0.796875   0.69140625
 1.74023438 0.74804688]",[0. 0. 0. 0. 0. 0. 0. 0.],background
6,[ 1 15 27 42 15 42],[0.046875 0.703125 1.265625 1.96875  0.703125 1.96875 ],[0 0 0 0 0 0],[0. 0. 0. 0. 0. 0.],[2495 2309 3399 1920 2299 1906],[-0.04492188  0.26367188  0.08007812  0.18554688 -0.1328125  -0.92382812],[0.01171875 0.65234375 1.26367188 1.9609375  0.69140625 1.74023438],[0. 0. 0. 0. 0. 0.],background
7,[ 1 15 27 39 42 15 42],[0.046875 0.703125 1.265625 1.828125 1.96875  0.703125 1.96875 ],[0 0 0 0 0 0 0],[0. 0. 0. 0. 0. 0. 0.],[2494 2253 3400 2225 1916 2242 1903],"[-0.04492188  0.26367188  0.08007812 -0.34375     0.18554688 -0.1328125
 -0.92382812]","[0.01171875 0.65234375 1.26367188 1.796875   1.9609375  0.69140625
 1.74023438]",[0. 0. 0. 0. 0. 0. 0.],background
7,[ 1 15 27 39 42 15 42],[0.046875 0.703125 1.265625 1.828125 1.96875  0.703125 1.96875 ],[0 0 0 0 0 0 0],[0. 0. 0. 0. 0. 0. 0.],[2490 2276 3407 2230 1923 2249 1894],"[-0.04492188 -0.1328125   0.08007812 -0.34375     0.18554688  0.26367188
 -0.92382812]","[0.01171875 0.69140625 1.26367188 1.796875   1.9609375  0.65234375
 1.74023438]",[0. 0. 0. 0. 0. 0. 0.],background
7,[ 1 15 27 39 42 15 42],[0.046875 0.703125 1.265625 1.828125 1.96875  0.703125 1.96875 ],[0 0 0 0 0 0 0],[0. 0. 0. 0. 0. 0. 0.],[2494 2349 3401 2236 1940 2241 1893],"[-0.04492188 -0.1328125   0.08007812 -0.34375     0.18554688  0.26367188
 -0.92382812]","[0.01171875 0.69140625 1.26367188 1.796875   1.9609375  0.65234375
 1.74023438]",[0. 0. 0. 0. 0. 0. 0.],background
7,[ 1 15 27 39 42 15 42],[0.046875 0.703125 1.265625 1.828125 1.96875  0.703125 1.96875 ],[0 0 0 0 0 0 0],[0. 0. 0. 0. 0. 0. 0.],[2493 2379 3407 2241 1937 2263 1886],"[-0.04492188 -0.1328125   0.08007812 -0.34375     0.18554688  0.26367188
 -0.92382812]","[0.01171875 0.69140625 1.26367188 1.796875   1.9609375  0.65234375
 1.74023438]",[0. 0. 0. 0. 0. 0. 0.],background
7,[ 1 15 27 39 42 15 42],[0.046875 0.703125 1.265625 1.828125 1.96875  0.703125 1.96875 ],[0 0 0 0 0 0 0],[0. 0. 0. 0. 0. 0. 0.],[2492 2436 3390 2238 1937 2295 1886],"[-0.04492188 -0.1328125   0.08007812 -0.34375     0.18554688  0.26367188
 -0.92382812]","[0.01171875 0.69140625 1.26367188 1.796875   1.9609375  0.65234375
 1.74023438]",[0. 0. 0. 0. 0. 0. 0.],background
7,[ 1 15 27 39 42 15 42],[0.046875 0.703125 1.265625 1.828125 1.96875  0.703125 1.96875 ],[0 0 0 0 0 0 0],[0. 0. 0. 0. 0. 0. 0.],[2483 2321 3395 2235 1941 2287 1895],"[-0.04492188 -0.1328125   0.08007812 -0.34375     0.18554688  0.26367188
 -0.92382812]","[0.01171875 0.69140625 1.26367188 1.796875   1.9609375  0.65234375
 1.74023438]",[0. 0. 0. 0. 0. 0. 0.],background
6,[ 1 15 27 42 15 42],[0.046875 0.703125 1.265625 1.96875  0.703125 1.96875 ],[0 0 0 0 0 0],[0. 0. 0. 0. 0. 0.],[2483 2313 3400 1944 2281 1895],[-0.04492188 -0.1328125   0.08007812  0.18554688  0.26367188 -0.92382812],[0.01171875 0.69140625 1.26367188 1.9609375  0.65234375 1.74023438],[0. 0. 0. 0. 0. 0.],background
6,[ 1 15 27 42 15 42],[0.046875 0.703125 1.265625 1.96875  0.703125 1.96875 ],[0 0 0 0 0 0],[0. 0. 0. 0. 0. 0.],[2485 2291 3386 1932 2239 1890],[-0.04492188  0.26367188  0.08007812  0.18554688 -0.15429688 -0.92382812],[0.01171875 0.65234375 1.26367188 1.9609375  0.68554688 1.74023438],[0. 0. 0. 0. 0. 0.],background
