numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
5,[ 1 12 27 39 12],[0.046875 0.5625   1.265625 1.828125 0.5625  ],[ 0  0  0  0 -3],[ 0.          0.          0.          0.         -0.17560564],[2519 5804 2835 3445 1030],[-0.04492188  0.0703125   0.08007812 -0.28515625  0.03515625],[0.01171875 0.55859375 1.26367188 1.80664062 0.56054688],[0. 0. 0. 0. 0.],background
8,[ 1 12 27 39 43 12 43 12],[0.046875 0.5625   1.265625 1.828125 2.015625 0.5625   2.015625 0.5625  ],[ 0  0  0  0  0 -5  0 -5],"[ 0.          0.          0.          0.          0.         -0.29267607
  0.         -0.29267607]",[2507 3832 3713 3827 1617  621 1314  480],"[-0.04492188  0.05273438  0.08007812 -0.34375    -1.0703125   0.05273438
  0.18945312 -0.15820312]","[0.01171875 0.56054688 1.26367188 1.796875   1.70703125 0.56054688
 2.0078125  0.5390625 ]",[0. 0. 0. 0. 0. 0. 0. 0.],background
11,[ 1 12 27 39 43 43 16 12 12 43 16],"[0.046875 0.5625   1.265625 1.828125 2.015625 2.015625 0.75     0.5625
 0.5625   2.015625 0.75    ]",[ 0  0  0  0  0  3 -6 -3  0  0 -6],"[ 0.          0.          0.          0.          0.          0.17560564
 -0.35121129 -0.17560564  0.          0.         -0.35121129]",[2500 3933 2734 3891 1575   37   24  612 2833 1423   22],"[-0.04492188  0.0703125   0.08007812 -0.28515625  0.18945312  0.12695312
 -0.2109375   0.         -0.140625   -1.13476562  0.09375   ]","[0.01171875 0.55859375 1.26367188 1.80664062 2.0078125  2.01171875
 0.72070312 0.5625     0.54492188 1.66601562 0.74414062]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background
8,[ 1 12 27 39 42 16 13 42],[0.046875 0.5625   1.265625 1.828125 1.96875  0.75     0.609375 1.96875 ],[ 0  0  0  0  0  4 -6  0],"[ 0.          0.          0.          0.          0.          0.23414086
 -0.35121129  0.        ]",[2493 1433 3055 5225 1900  383  162 1706],"[-0.04492188 -0.12304688  0.08007812 -0.22851562  0.12304688 -0.0234375
 -0.05664062 -1.046875  ]","[0.01171875 0.54882812 1.26367188 1.81445312 1.96484375 0.75
 0.60742188 1.66796875]",[0. 0. 0. 0. 0. 0. 0. 0.],background
10,[ 1 27 39 42 12 16 13 12 42 13],"[0.046875 1.265625 1.828125 1.96875  0.5625   0.75     0.609375 0.5625
 1.96875  0.609375]",[ 0  0  0  0  1  4 -9 -4  0 -9],"[ 0.          0.          0.          0.          0.05853521  0.23414086
 -0.52681693 -0.23414086  0.         -0.52681693]",[2488 3041 4868 1764 2181  225  578  299 1699  493],"[-0.04492188  0.08007812 -0.22851562 -0.984375    0.03515625 -0.0703125
 -0.09570312 -0.01757812  0.12304688 -0.32421875]","[0.01171875 1.26367188 1.81445312 1.70507812 0.56054688 0.74609375
 0.6015625  0.5625     1.96484375 0.515625  ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background
15,[ 1 12 27 39 42 12 16 29 17 12 41 12 42 16 12],"[0.046875 0.5625   1.265625 1.828125 1.96875  0.5625   0.75     1.359375
 0.796875 0.5625   1.921875 0.5625   1.96875  0.75     0.5625  ]",[ 0  0  0  0  0  2  4  4  6 -6 -5 -1  0  4 -6],"[ 0.          0.          0.          0.          0.          0.11707043
  0.23414086  0.23414086  0.35121129 -0.35121129 -0.29267607 -0.05853521
  0.          0.23414086 -0.35121129]","[2485 2563 3041 5035 1728  997  121  156  275  267   21 2743 1568   95
  201]","[-0.04492188 -0.05273438  0.08007812 -0.22851562  0.12304688  0.03515625
  0.3046875  -0.04296875  0.02539062 -0.0703125  -0.12109375 -0.05273438
 -1.046875   -0.3046875  -0.28125   ]","[0.01171875 0.56054688 1.26367188 1.81445312 1.96484375 0.56054688
 0.68554688 1.359375   0.796875   0.55859375 1.91796875 0.56054688
 1.66796875 0.68554688 0.48632812]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background
11,[ 1 27 39 42 42 12 17 14 42 42 17],"[0.046875 1.265625 1.828125 1.96875  1.96875  0.5625   0.796875 0.65625
 1.96875  1.96875  0.796875]",[ 0  0  0  0  4  6  6 -3  0  4  6],"[ 0.          0.          0.          0.          0.23414086  0.35121129
  0.35121129 -0.17560564  0.          0.23414086  0.35121129]",[2480 3036 5062 1725   65   80   33   36 1541   53   33],"[-0.04492188  0.08007812 -0.22851562  0.12304688  0.18554688  0.03515625
  0.02539062  0.0625     -1.046875   -0.984375   -0.25      ]","[0.01171875 1.26367188 1.81445312 1.96484375 1.9609375  0.56054688
 0.796875   0.65429688 1.66796875 1.70507812 0.7578125 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background
7,[ 1 27 39 42 12 18 42],[0.046875 1.265625 1.828125 1.96875  0.5625   0.84375  1.96875 ],[0 0 0 0 5 6 0],"[0.         0.         0.         0.         0.29267607 0.35121129
 0.        ]",[2480 3031 5065 1729   75   40 1523],"[-0.04492188  0.08007812 -0.22851562  0.12304688  0.05273438  0.08007812
 -1.046875  ]","[0.01171875 1.26367188 1.81445312 1.96484375 0.56054688 0.83984375
 1.66796875]",[0. 0. 0. 0. 0. 0. 0.],background
7,[ 1 27 39 42 18 42 18],[0.046875 1.265625 1.828125 1.96875  0.84375  1.96875  0.84375 ],[0 0 0 0 3 0 3],"[0.         0.         0.         0.         0.17560564 0.
 0.17560564]",[2477 3023 5021 1700   62 1539   57],"[-0.04492188  0.08007812 -0.22851562  0.12304688  0.05273438 -1.046875
  0.47460938]","[0.01171875 1.26367188 1.81445312 1.96484375 0.84179688 1.66796875
 0.69726562]",[0. 0. 0. 0. 0. 0. 0.],background
6,[ 1 27 39 42 18 42],[0.046875 1.265625 1.828125 1.96875  0.84375  1.96875 ],[0 0 0 0 3 0],[0.         0.         0.         0.         0.17560564 0.        ],[2474 3025 5064 1741  119 1541],[-0.04492188  0.08007812 -0.22851562  0.12304688  0.02734375 -1.046875  ],[0.01171875 1.26367188 1.81445312 1.96484375 0.84375    1.66796875],[0. 0. 0. 0. 0. 0.],background
