numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label

6,[ 1 12 27 40 43 43],[0.046875 0.5625   1.265625 1.875    2.015625 2.015625],[0 0 0 0 0 0],[0. 0. 0. 0. 0. 0.],[2575 2661 3963 2682 1856 1393],[-0.04492188 -0.01757812  0.08007812 -0.29296875 -1.13476562  0.18945312],[0.01171875 0.5625     1.26367188 1.8515625  1.66601562 2.0078125 ],[0. 0. 0. 0. 0. 0.],background

6,[ 1 12 27 40 43 43],[0.046875 0.5625   1.265625 1.875    2.015625 2.015625],[0 0 0 0 0 0],[0. 0. 0. 0. 0. 0.],[2561 2515 3961 2668 1854 1398],[-0.04492188 -0.01757812  0.08007812 -0.29296875 -1.13476562  0.18945312],[0.01171875 0.5625     1.26367188 1.8515625  1.66601562 2.0078125 ],[0. 0. 0. 0. 0. 0.],background

6,[ 1 12 27 40 43 43],[0.046875 0.5625   1.265625 1.875    2.015625 2.015625],[0 0 0 0 0 0],[0. 0. 0. 0. 0. 0.],[2555 2389 3944 2657 1854 1388],[-0.04492188 -0.01757812  0.08007812 -0.29296875 -1.13476562  0.18945312],[0.01171875 0.5625     1.26367188 1.8515625  1.66601562 2.0078125 ],[0. 0. 0. 0. 0. 0.],background

6,[ 1 12 27 40 43 43],[0.046875 0.5625   1.265625 1.875    2.015625 2.015625],[0 0 0 0 0 0],[0. 0. 0. 0. 0. 0.],[2545 2321 3936 2651 1849 1387],[-0.04492188 -0.01757812  0.08007812 -0.29296875 -1.13476562  0.18945312],[0.01171875 0.5625     1.26367188 1.8515625  1.66601562 2.0078125 ],[0. 0. 0. 0. 0. 0.],background

6,[ 1 12 27 40 43 43],[0.046875 0.5625   1.265625 1.875    2.015625 2.015625],[0 0 0 0 0 0],[0. 0. 0. 0. 0. 0.],[2540 2265 3932 2642 1847 1396],[-0.04492188 -0.01757812  0.08007812 -0.29296875 -1.13476562  0.18945312],[0.01171875 0.5625     1.26367188 1.8515625  1.66601562 2.0078125 ],[0. 0. 0. 0. 0. 0.],background

6,[ 1 12 27 40 43 43],[0.046875 0.5625   1.265625 1.875    2.015625 2.015625],[0 0 0 0 0 0],[0. 0. 0. 0. 0. 0.],[2537 2106 3927 2638 1830 1394],[-0.04492188 -0.01757812  0.08007812 -0.29296875 -1.13476562  0.18945312],[0.01171875 0.5625     1.26367188 1.8515625  1.66601562 2.0078125 ],[0. 0. 0. 0. 0. 0.],background

6,[ 1 12 27 40 43 43],[0.046875 0.5625   1.265625 1.875    2.015625 2.015625],[0 0 0 0 0 0],[0. 0. 0. 0. 0. 0.],[2532 2064 3920 2632 1826 1409],[-0.04492188 -0.01757812  0.08007812 -0.29296875 -1.13476562  0.18945312],[0.01171875 0.5625     1.26367188 1.8515625  1.66601562 2.0078125 ],[0. 0. 0. 0. 0. 0.],background

6,[ 1 12 27 40 43 43],[0.046875 0.5625   1.265625 1.875    2.015625 2.015625],[0 0 0 0 0 0],[0. 0. 0. 0. 0. 0.],[2531 2079 3918 2618 1811 1421],[-0.04492188  0.          0.08007812 -0.29296875 -1.13476562  0.18945312],[0.01171875 0.5625     1.26367188 1.8515625  1.66601562 2.0078125 ],[0. 0. 0. 0. 0. 0.],background

