numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label

5,[ 1 27 40 42 42],[0.046875 1.265625 1.875    1.96875  1.96875 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2782 4012 3493 2241 2026],[-0.04492188  0.08007812 -0.29296875 -1.10742188  0.12304688],[0.01171875 1.26367188 1.8515625  1.62890625 1.96484375],[0. 0. 0. 0. 0.],background

6,[ 1 11 27 40 43 43],[0.046875 0.515625 1.265625 1.875    2.015625 2.015625],[0 0 0 0 0 0],[0. 0. 0. 0. 0. 0.],[2782 2296 4021 3489 2155 1593],[-0.04492188 -0.06445312  0.08007812 -0.29296875 -1.13476562  0.18945312],[0.01171875 0.51171875 1.26367188 1.8515625  1.66601562 2.0078125 ],[0. 0. 0. 0. 0. 0.],background

6,[ 1 11 27 40 43 43],[0.046875 0.515625 1.265625 1.875    2.015625 2.015625],[0 0 0 0 0 0],[0. 0. 0. 0. 0. 0.],[2778 3266 4028 3483 2131 1581],[-0.04492188 -0.04882812  0.08007812 -0.29296875 -1.13476562  0.18945312],[0.01171875 0.51367188 1.26367188 1.8515625  1.66601562 2.0078125 ],[0. 0. 0. 0. 0. 0.],background

6,[ 1 11 27 40 43 43],[0.046875 0.515625 1.265625 1.875    2.015625 2.015625],[0 0 0 0 0 0],[0. 0. 0. 0. 0. 0.],[2764 4911 3996 3477 2080 1531],[-0.04492188 -0.015625    0.08007812 -0.29296875 -1.13476562  0.18945312],[0.01171875 0.515625   1.26367188 1.8515625  1.66601562 2.0078125 ],[0. 0. 0. 0. 0. 0.],background

6,[ 1 11 27 40 43 43],[0.046875 0.515625 1.265625 1.875    2.015625 2.015625],[0 0 0 0 0 0],[0. 0. 0. 0. 0. 0.],[2767 5736 3993 3481 2083 1533],[-0.04492188 -0.015625    0.08007812 -0.29296875 -1.13476562  0.18945312],[0.01171875 0.515625   1.26367188 1.8515625  1.66601562 2.0078125 ],[0. 0. 0. 0. 0. 0.],background

