numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
6,[ 1 18 39 42 18 42],[0.046875 0.84375  1.828125 1.96875  0.84375  1.96875 ],[0 0 0 0 0 0],[0. 0. 0. 0. 0. 0.],[2554 2405 4992 2131 1756 1645],[-0.04492188  0.08007812 -0.28515625  0.12304688 -0.23828125 -1.046875  ],[0.01171875 0.83984375 1.80664062 1.96484375 0.81054688 1.66796875],[0. 0. 0. 0. 0. 0.],background
6,[ 1 18 39 42 18 42],[0.046875 0.84375  1.828125 1.96875  0.84375  1.96875 ],[0 0 0 0 0 0],[0. 0. 0. 0. 0. 0.],[2550 2412 4983 2125 1718 1675],[-0.04492188  0.08007812 -0.28515625  0.12304688 -0.23828125 -1.046875  ],[0.01171875 0.83984375 1.80664062 1.96484375 0.81054688 1.66796875],[0. 0. 0. 0. 0. 0.],background
6,[ 1 18 39 42  7 42],[0.046875 0.84375  1.828125 1.96875  0.328125 1.96875 ],[ 0  0  0  0 -5  0],[ 0.          0.          0.          0.         -0.29267607  0.        ],[2543 2652 4946 2119   20 1705],[-0.04492188  0.08007812 -0.28515625  0.12304688 -0.12304688 -1.046875  ],[0.01171875 0.83984375 1.80664062 1.96484375 0.3046875  1.66796875],[0. 0. 0. 0. 0. 0.],background
6,[ 1 18 39 42 18 42],[0.046875 0.84375  1.828125 1.96875  0.84375  1.96875 ],[0 0 0 0 0 0],[0. 0. 0. 0. 0. 0.],[2530 2540 4963 2110 1849 1726],[-0.04492188  0.08007812 -0.22851562  0.12304688 -0.23828125 -1.046875  ],[0.01171875 0.83984375 1.81445312 1.96484375 0.81054688 1.66796875],[0. 0. 0. 0. 0. 0.],background
7,[ 1 18 39 42 46 42 46],[0.046875 0.84375  1.828125 1.96875  2.15625  1.96875  2.15625 ],[ 0  0  0  0 -4  0 -4],"[ 0.          0.          0.          0.         -0.23414086  0.
 -0.23414086]",[2532 2462 4997 2104   17 1711   16],"[-0.04492188  0.08007812 -0.22851562  0.12304688 -0.80859375 -1.046875
 -0.06835938]","[0.01171875 0.83984375 1.81445312 1.96484375 2.         1.66796875
 2.15625   ]",[0. 0. 0. 0. 0. 0. 0.],background
5,[ 1 18 39 42 42],[0.046875 0.84375  1.828125 1.96875  1.96875 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2529 2426 5012 2112 1688],[-0.04492188  0.08007812 -0.22851562  0.12304688 -1.046875  ],[0.01171875 0.83984375 1.81445312 1.96484375 1.66796875],[0. 0. 0. 0. 0.],background
5,[ 1 18 39 42 42],[0.046875 0.84375  1.828125 1.96875  1.96875 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2520 2684 5005 2127 1635],[-0.04492188  0.08007812 -0.22851562  0.12304688 -1.046875  ],[0.01171875 0.83984375 1.81445312 1.96484375 1.66796875],[0. 0. 0. 0. 0.],background
5,[ 1 18 39 42 42],[0.046875 0.84375  1.828125 1.96875  1.96875 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2519 2923 4991 2145 1627],[-0.04492188  0.08007812 -0.22851562  0.12304688 -1.046875  ],[0.01171875 0.83984375 1.81445312 1.96484375 1.66796875],[0. 0. 0. 0. 0.],background
4,[18 39 42 42],[0.84375  1.828125 1.96875  1.96875 ],[0 0 0 0],[0. 0. 0. 0.],[3104 4969 2138 1608],[ 0.08007812 -0.22851562  0.12304688 -1.046875  ],[0.83984375 1.81445312 1.96484375 1.66796875],[0. 0. 0. 0.],background
5,[ 1 18 39 42 42],[0.046875 0.84375  1.828125 1.96875  1.96875 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2512 3208 4956 2135 1591],[-0.04492188  0.08007812 -0.22851562  0.12304688 -1.046875  ],[0.01171875 0.83984375 1.81445312 1.96484375 1.66796875],[0. 0. 0. 0. 0.],background
5,[ 1 18 39 42 42],[0.046875 0.84375  1.828125 1.96875  1.96875 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2509 3221 4947 2120 1562],[-0.04492188  0.08007812 -0.22851562  0.12304688 -1.046875  ],[0.01171875 0.83984375 1.81445312 1.96484375 1.66796875],[0. 0. 0. 0. 0.],background
5,[ 1 18 39 42 42],[0.046875 0.84375  1.828125 1.96875  1.96875 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2509 2871 4945 2107 1608],[-0.04492188  0.08007812 -0.22851562  0.12304688 -1.046875  ],[0.01171875 0.83984375 1.81445312 1.96484375 1.66796875],[0. 0. 0. 0. 0.],background
5,[ 1 18 39 42 42],[0.046875 0.84375  1.828125 1.96875  1.96875 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2510 2694 4947 2078 1656],[-0.04492188  0.08007812 -0.22851562  0.12304688 -1.046875  ],[0.01171875 0.83984375 1.81445312 1.96484375 1.66796875],[0. 0. 0. 0. 0.],background
4,[18 39 42 42],[0.84375  1.828125 1.96875  1.96875 ],[0 0 0 0],[0. 0. 0. 0.],[2727 4925 2065 1560],[ 0.08007812 -0.22851562  0.12304688 -1.046875  ],[0.83984375 1.81445312 1.96484375 1.66796875],[0. 0. 0. 0.],background
6,[18 27 39 42 15 42],[0.84375  1.265625 1.828125 1.96875  0.703125 1.96875 ],[0 0 0 0 2 0],[0.         0.         0.         0.         0.11707043 0.        ],[2715 2975 4931 2081  196 1593],[ 0.05273438  0.08007812 -0.22851562  0.12304688 -0.33007812 -1.046875  ],[0.84179688 1.26367188 1.81445312 1.96484375 0.62109375 1.66796875],[0. 0. 0. 0. 0. 0.],background
5,[18 27 39 42 42],[0.84375  1.265625 1.828125 1.96875  1.96875 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[1067 2983 4897 2118 1668],[ 0.05273438  0.08007812 -0.28515625  0.12304688 -1.046875  ],[0.84179688 1.26367188 1.80664062 1.96484375 1.66796875],[0. 0. 0. 0. 0.],background
6,[18 27 39 42 15 42],[0.84375  1.265625 1.828125 1.96875  0.703125 1.96875 ],[0 0 0 0 2 0],[0.         0.         0.         0.         0.11707043 0.        ],[1204 2985 4901 2098  269 1692],[ 0.08007812  0.08007812 -0.22851562  0.12304688 -0.26367188 -1.046875  ],[0.83984375 1.26367188 1.81445312 1.96484375 0.65234375 1.66796875],[0. 0. 0. 0. 0. 0.],background
5,[18 27 39 42 42],[0.84375  1.265625 1.828125 1.96875  1.96875 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2311 3002 4920 2106 1653],[ 0.05273438  0.08007812 -0.22851562  0.12304688 -1.046875  ],[0.84179688 1.26367188 1.81445312 1.96484375 1.66796875],[0. 0. 0. 0. 0.],background
5,[18 27 39 42 42],[0.84375  1.265625 1.828125 1.96875  1.96875 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2494 2945 4934 2100 1623],[ 0.08007812  0.08007812 -0.22851562  0.12304688 -1.046875  ],[0.83984375 1.26367188 1.81445312 1.96484375 1.66796875],[0. 0. 0. 0. 0.],background
5,[18 27 39 42 42],[0.84375  1.265625 1.828125 1.96875  1.96875 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2039 2904 4950 2085 1655],[ 0.05273438  0.08007812 -0.22851562  0.12304688 -1.046875  ],[0.84179688 1.26367188 1.81445312 1.96484375 1.66796875],[0. 0. 0. 0. 0.],background
6,[18 27 39 42 18 42],[0.84375  1.265625 1.828125 1.96875  0.84375  1.96875 ],[0 0 0 0 0 0],[0. 0. 0. 0. 0. 0.],[2116 2985 4984 2106 1547 1649],[ 0.08007812  0.08007812 -0.22851562  0.12304688 -0.23828125 -1.046875  ],[0.83984375 1.26367188 1.81445312 1.96484375 0.81054688 1.66796875],[0. 0. 0. 0. 0. 0.],background
6,[18 27 39 42 18 42],[0.84375  1.265625 1.828125 1.96875  0.84375  1.96875 ],[0 0 0 0 0 0],[0. 0. 0. 0. 0. 0.],[1865 3017 5007 2025 1376 1639],[ 0.08007812  0.08007812 -0.22851562  0.12304688 -0.23828125 -1.046875  ],[0.83984375 1.26367188 1.81445312 1.96484375 0.81054688 1.66796875],[0. 0. 0. 0. 0. 0.],background
7,[18 27 39 42 15 18 42],[0.84375  1.265625 1.828125 1.96875  0.703125 0.84375  1.96875 ],[0 0 0 0 5 0 0],"[0.         0.         0.         0.         0.29267607 0.
 0.        ]",[1367 3063 4982 1998   87 1020 1624],"[ 0.08007812  0.08007812 -0.22851562  0.12304688  0.04492188 -0.23828125
 -1.046875  ]","[0.83984375 1.26367188 1.81445312 1.96484375 0.70117188 0.81054688
 1.66796875]",[0. 0. 0. 0. 0. 0. 0.],background
7,[18 27 39 42 15 18 42],[0.84375  1.265625 1.828125 1.96875  0.703125 0.84375  1.96875 ],[0 0 0 0 5 0 0],"[0.         0.         0.         0.         0.29267607 0.
 0.        ]",[1212 3052 4958 1993   75  922 1659],"[ 0.08007812  0.08007812 -0.22851562  0.12304688  0.06640625 -0.23828125
 -1.046875  ]","[0.83984375 1.26367188 1.81445312 1.96484375 0.69921875 0.81054688
 1.66796875]",[0. 0. 0. 0. 0. 0. 0.],background
6,[18 27 39 42 15 42],[0.84375  1.265625 1.828125 1.96875  0.703125 1.96875 ],[0 0 0 0 3 0],[0.         0.         0.         0.         0.17560564 0.        ],[1634 2992 4965 2001   75 1645],[ 0.08007812  0.08007812 -0.22851562  0.12304688  0.08789062 -1.046875  ],[0.83984375 1.26367188 1.81445312 1.96484375 0.69726562 1.66796875],[0. 0. 0. 0. 0. 0.],background
5,[18 27 39 42 42],[0.84375  1.265625 1.828125 1.96875  1.96875 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[1498 2987 4974 2057 1662],[ 0.08007812  0.08007812 -0.22851562  0.12304688 -1.046875  ],[0.83984375 1.26367188 1.81445312 1.96484375 1.66796875],[0. 0. 0. 0. 0.],background
5,[18 27 39 42 42],[0.84375  1.265625 1.828125 1.96875  1.96875 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[1563 2979 4973 2082 1672],[ 0.08007812  0.08007812 -0.22851562  0.12304688 -1.046875  ],[0.83984375 1.26367188 1.81445312 1.96484375 1.66796875],[0. 0. 0. 0. 0.],background
6,[18 27 39 42 18 42],[0.84375  1.265625 1.828125 1.96875  0.84375  1.96875 ],[0 0 0 0 0 0],[0. 0. 0. 0. 0. 0.],[1719 2972 4970 2034 1242 1622],[ 0.08007812  0.08007812 -0.22851562  0.12304688 -0.23828125 -1.046875  ],[0.83984375 1.26367188 1.81445312 1.96484375 0.81054688 1.66796875],[0. 0. 0. 0. 0. 0.],background
5,[18 27 39 42 42],[0.84375  1.265625 1.828125 1.96875  1.96875 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[1808 2970 4964 2029 1663],[ 0.08007812  0.08007812 -0.22851562  0.12304688 -1.046875  ],[0.83984375 1.26367188 1.81445312 1.96484375 1.66796875],[0. 0. 0. 0. 0.],background
