numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
8,[ 1 27 39 42 13 14 42 13],[0.046875 1.265625 1.828125 1.96875  0.609375 0.65625  1.96875  0.609375],[  0   0   0   0   2 -13   0   2],"[ 0.          0.          0.          0.          0.11707043 -0.76095779
  0.          0.11707043]",[2627 3201 5341 1842   29  237 1681   29],"[-0.04492188  0.08007812 -0.22851562  0.12304688  0.07617188 -0.12304688
 -1.046875   -0.15234375]","[0.01171875 1.26367188 1.81445312 1.96484375 0.60546875 0.64453125
 1.66796875 0.58984375]",[0. 0. 0. 0. 0. 0. 0. 0.],background
9,[ 1 27 39 11 13 40 11 13 40],"[0.046875 1.265625 1.828125 0.515625 0.609375 1.875    0.515625 0.609375
 1.875   ]",[  0   0   0   2 -12  -5   2 -12  -5],"[ 0.          0.          0.          0.11707043 -0.70242258 -0.29267607
  0.11707043 -0.70242258 -0.29267607]",[2610 3185 5311   56  205  141   52  166  110],"[-0.04492188  0.08007812 -0.22851562 -0.19335938 -0.1328125  -0.703125
  0.015625    0.51367188  0.        ]","[0.01171875 1.26367188 1.81445312 0.47851562 0.59375    1.73828125
 0.515625   0.32617188 1.875     ]",[0. 0. 0. 0. 0. 0. 0. 0. 0.],background
7,[ 1 27 39 42 13 42 13],[0.046875 1.265625 1.828125 1.96875  0.609375 1.96875  0.609375],[ 0  0  0  0 -7  0 -7],"[ 0.         0.         0.         0.        -0.4097465  0.
 -0.4097465]",[2603 3175 5340 1855  152 1651  125],"[-0.04492188  0.08007812 -0.22851562  0.12304688 -0.1328125  -1.046875
  0.53320312]","[0.01171875 1.26367188 1.81445312 1.96484375 0.59375    1.66796875
 0.29492188]",[0. 0. 0. 0. 0. 0. 0.],background
9,[ 1 27 39 42 13 17 40 42 13],"[0.046875 1.265625 1.828125 1.96875  0.609375 0.796875 1.875    1.96875
 0.609375]",[0 0 0 0 3 6 6 0 3],"[0.         0.         0.         0.         0.17560564 0.35121129
 0.35121129 0.         0.17560564]",[2591 3162 5252 1816  160  146  122 1627  133],"[-0.04492188  0.08007812 -0.22851562  0.12304688 -0.11523438  0.
  0.1171875  -1.046875    0.22851562]","[0.01171875 1.26367188 1.81445312 1.96484375 0.59960938 0.796875
 1.87109375 1.66796875 0.56445312]",[0. 0. 0. 0. 0. 0. 0. 0. 0.],background
10,[ 1 27 39 42 17 14 13 14 42 14],"[0.046875 1.265625 1.828125 1.96875  0.796875 0.65625  0.609375 0.65625
 1.96875  0.65625 ]",[ 0  0  0  0  5  9 14 -2  0 -2],"[ 0.          0.          0.          0.          0.29267607  0.52681693
  0.81949301 -0.11707043  0.         -0.11707043]",[2589 3159 5217 1828  166   96   63   76 1620   61],"[-0.04492188  0.08007812 -0.22851562  0.12304688 -0.02539062  0.2265625
 -0.05664062 -0.08203125 -1.046875    0.20507812]","[0.01171875 1.26367188 1.81445312 1.96484375 0.796875   0.6171875
 0.60742188 0.65039062 1.66796875 0.62304688]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background
19,[ 1 27 39 42 17 41 19 19 15 15 20 45 14 42 17 15 20 45 14],"[0.046875 1.265625 1.828125 1.96875  0.796875 1.921875 0.890625 0.890625
 0.703125 0.703125 0.9375   2.109375 0.65625  1.96875  0.796875 0.703125
 0.9375   2.109375 0.65625 ]","[  0   0   0   0   3   3  22  24  25  27 -21  -3  -2   0   3  27 -21  -3
  -2]","[ 0.          0.          0.          0.          0.17560564  0.17560564
  1.28777473  1.40484515  1.46338037  1.5804508  -1.22923951 -0.17560564
 -0.11707043  0.          0.17560564  1.5804508  -1.22923951 -0.17560564
 -0.11707043]","[2583 3153 5259 1804   16   43   42   37   30   28   24   48   54 1645
   12   20   22   37   42]","[-0.04492188  0.08007812 -0.22851562  0.12304688 -0.125      -0.12109375
  0.02734375  0.02734375 -0.04492188 -0.06640625 -0.14648438 -0.59375
 -0.08203125 -1.046875    0.29882812 -0.33007812  0.20507812  0.26367188
  0.14453125]","[0.01171875 1.26367188 1.81445312 1.96484375 0.78710938 1.91796875
 0.890625   0.890625   0.70117188 0.69921875 0.92578125 2.02539062
 0.65039062 1.66796875 0.73828125 0.62109375 0.9140625  2.09375
 0.640625  ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background
8,[ 1 27 39 42 41 17 42 17],[0.046875 1.265625 1.828125 1.96875  1.921875 0.796875 1.96875  0.796875],[ 0  0  0  0  3 26  0 26],"[0.         0.         0.         0.         0.17560564 1.52191558
 0.         1.52191558]",[2582 3151 5228 1944   81   28 1658   20],"[-0.04492188  0.08007812 -0.22851562  0.12304688 -0.06054688  0.02539062
 -1.046875    0.29882812]","[0.01171875 1.26367188 1.81445312 1.96484375 1.921875   0.796875
 1.66796875 0.73828125]",[0. 0. 0. 0. 0. 0. 0. 0.],background
6,[ 1 27 39 42 19 42],[0.046875 1.265625 1.828125 1.96875  0.890625 1.96875 ],[0 0 0 0 5 0],[0.         0.         0.         0.         0.29267607 0.        ],[2573 3142 5214 1940   37 1628],[-0.04492188  0.08007812 -0.22851562  0.12304688 -0.16796875 -1.046875  ],[0.01171875 1.26367188 1.81445312 1.96484375 0.875      1.66796875],[0. 0. 0. 0. 0. 0.],background
5,[ 1 27 39 42 42],[0.046875 1.265625 1.828125 1.96875  1.96875 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2572 3140 5216 1756 1624],[-0.04492188  0.08007812 -0.22851562  0.18554688 -1.046875  ],[0.01171875 1.26367188 1.81445312 1.9609375  1.66796875],[0. 0. 0. 0. 0.],background
6,[ 1 27 39 42 19 42],[0.046875 1.265625 1.828125 1.96875  0.890625 1.96875 ],[ 0  0  0  0 -4  0],[ 0.          0.          0.          0.         -0.23414086  0.        ],[2573 3138 5217 1792   21 1673],[-0.04492188  0.08007812 -0.22851562  0.12304688  0.25       -1.046875  ],[0.01171875 1.26367188 1.81445312 1.96484375 0.85546875 1.66796875],[0. 0. 0. 0. 0. 0.],background
