numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
5,[ 3  6 20  3  6],[0.140625 0.28125  0.9375   0.140625 0.28125 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[ 2796  5305 13553  2416  4311],[ 0.04882812  0.          0.          0.1015625  -0.10546875],[0.1328125  0.28125    0.9375     0.09765625 0.26171875],[0. 0. 0. 0. 0.],background
5,[ 3  6 20  3  6],[0.140625 0.28125  0.9375   0.140625 0.28125 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[ 2776  3940 16473  2400  3158],[ 0.04882812  0.          0.          0.1015625  -0.10546875],[0.1328125  0.28125    0.9375     0.09765625 0.26171875],[0. 0. 0. 0. 0.],background
4,[ 3 20  6  3],[0.140625 0.9375   0.28125  0.140625],[0 0 1 0],[0.         0.         0.05853521 0.        ],[ 2769 17614  3629  2396],[0.04882812 0.         0.         0.1015625 ],[0.1328125  0.9375     0.28125    0.09765625],[0. 0. 0. 0.],background
4,[ 3 20  7  3],[0.140625 0.9375   0.328125 0.140625],[0 0 1 0],[0.         0.         0.05853521 0.        ],[ 2767 18329  3550  2393],[0.04882812 0.         0.         0.1015625 ],[0.1328125  0.9375     0.328125   0.09765625],[0. 0. 0. 0.],background
4,[ 3 20  7  3],[0.140625 0.9375   0.328125 0.140625],[0 0 1 0],[0.         0.         0.05853521 0.        ],[ 2759 19602  2408  2386],[0.04882812 0.         0.         0.1015625 ],[0.1328125  0.9375     0.328125   0.09765625],[0. 0. 0. 0.],background
4,[ 1  3 20  3],[0.046875 0.140625 0.9375   0.140625],[0 0 0 0],[0. 0. 0. 0.],[ 2722  2756 20046  2383],[-0.04492188  0.04882812  0.02929688  0.1015625 ],[0.01171875 0.1328125  0.9375     0.09765625],[0. 0. 0. 0.],background
5,[ 3 20  7 17  3],[0.140625 0.9375   0.328125 0.796875 0.140625],[ 0  0  1 -4  0],[ 0.          0.          0.05853521 -0.23414086  0.        ],[ 2751 19491  3564    39  2378],[0.04882812 0.02929688 0.         0.02539062 0.1015625 ],[0.1328125  0.9375     0.328125   0.796875   0.09765625],[0. 0. 0. 0. 0.],background
5,[ 3 20  7  3  7],[0.140625 0.9375   0.328125 0.140625 0.328125],[0 0 1 0 1],[0.         0.         0.05853521 0.         0.05853521],[ 2749 18941  4062  2376  2985],[ 0.04882812  0.02929688 -0.00976562  0.1015625  -0.1328125 ],[0.1328125  0.9375     0.328125   0.09765625 0.30078125],[0. 0. 0. 0. 0.],background
6,[ 3  7 20 17  3  7],[0.140625 0.328125 0.9375   0.796875 0.140625 0.328125],[ 0  0  0 -4  0  0],[ 0.          0.          0.         -0.23414086  0.          0.        ],[ 2744  3893 17039    45  2373  3020],[ 0.04882812 -0.00976562  0.02929688 -0.07421875  0.1015625  -0.14453125],[0.1328125  0.328125   0.9375     0.79296875 0.09765625 0.29492188],[0. 0. 0. 0. 0. 0.],background
5,[ 3  7 20  3  7],[0.140625 0.328125 0.9375   0.140625 0.328125],[0 0 0 0 0],[0. 0. 0. 0. 0.],[ 2742  3208 17062  2370  2556],[ 0.04882812 -0.02148438  0.02929688  0.1015625  -0.14453125],[0.1328125  0.328125   0.9375     0.09765625 0.29492188],[0. 0. 0. 0. 0.],background
3,[ 3 20  3],[0.140625 0.9375   0.140625],[0 0 0],[0. 0. 0.],[ 2741 17685  2370],[0.04882812 0.02929688 0.1015625 ],[0.1328125  0.9375     0.09765625],[0. 0. 0.],background
3,[ 3 20  3],[0.140625 0.9375   0.140625],[0 0 0],[0. 0. 0.],[ 2735 18884  2365],[0.04882812 0.02929688 0.1015625 ],[0.1328125  0.9375     0.09765625],[0. 0. 0.],background
3,[ 3 20  3],[0.140625 0.9375   0.140625],[0 0 0],[0. 0. 0.],[ 2736 19213  2366],[0.04882812 0.02929688 0.1015625 ],[0.1328125  0.9375     0.09765625],[0. 0. 0.],background
3,[ 3 20  3],[0.140625 0.9375   0.140625],[0 0 0],[0. 0. 0.],[ 2732 19455  2363],[0.04882812 0.02929688 0.1015625 ],[0.1328125  0.9375     0.09765625],[0. 0. 0.],background
3,[ 3 20  3],[0.140625 0.9375   0.140625],[0 0 0],[0. 0. 0.],[ 2732 19421  2364],[0.04882812 0.02929688 0.1015625 ],[0.1328125  0.9375     0.09765625],[0. 0. 0.],background
5,[ 3  7 20  3  7],[0.140625 0.328125 0.9375   0.140625 0.328125],[0 0 0 0 0],[0. 0. 0. 0. 0.],[ 2730  3152 18674  2359  3123],[ 0.04882812 -0.14453125  0.02929688  0.1015625  -0.00976562],[0.1328125  0.29492188 0.9375     0.09765625 0.328125  ],[0. 0. 0. 0. 0.],background
5,[ 3  7 20  3  7],[0.140625 0.328125 0.9375   0.140625 0.328125],[0 0 0 0 0],[0. 0. 0. 0. 0.],[ 2731  3398 18192  2360  3316],[ 0.04882812 -0.1328125   0.02929688  0.1015625  -0.00976562],[0.1328125  0.30078125 0.9375     0.09765625 0.328125  ],[0. 0. 0. 0. 0.],background
5,[ 3  7 20  3  7],[0.140625 0.328125 0.9375   0.140625 0.328125],[0 0 0 0 0],[0. 0. 0. 0. 0.],[ 2728  3479 17656  2358  3366],[ 0.04882812 -0.1328125   0.02929688  0.1015625  -0.00976562],[0.1328125  0.30078125 0.9375     0.09765625 0.328125  ],[0. 0. 0. 0. 0.],background
5,[ 3  7 20  3  7],[0.140625 0.328125 0.9375   0.140625 0.328125],[0 0 0 0 0],[0. 0. 0. 0. 0.],[ 2727  3115 16987  2358  3082],[ 0.04882812 -0.1328125   0.02929688  0.1015625  -0.00976562],[0.1328125  0.30078125 0.9375     0.09765625 0.328125  ],[0. 0. 0. 0. 0.],slideUp
5,[ 3  7 20  3  7],[0.140625 0.328125 0.9375   0.140625 0.328125],[0 0 0 0 0],[0. 0. 0. 0. 0.],[ 2724  3128 16895  2355  3052],[ 0.04882812 -0.00976562  0.02929688  0.1015625  -0.1328125 ],[0.1328125  0.328125   0.9375     0.09765625 0.30078125],[0. 0. 0. 0. 0.],slideUp
3,[ 3 20  3],[0.140625 0.9375   0.140625],[0 0 0],[0. 0. 0.],[ 2723 17023  2356],[0.04882812 0.02929688 0.1015625 ],[0.1328125  0.9375     0.09765625],[0. 0. 0.],slideUp
3,[ 3 20  3],[0.140625 0.9375   0.140625],[0 0 0],[0. 0. 0.],[ 2725 16875  2356],[0.04882812 0.02929688 0.1015625 ],[0.1328125  0.9375     0.09765625],[0. 0. 0.],slideUp
11,[ 1  3 20  7 58  6 14  3  7 58 14],"[0.046875 0.140625 0.9375   0.328125 2.71875  0.28125  0.65625  0.140625
 0.328125 2.71875  0.65625 ]",[ 0  0  0  2  3 -7 -4  0  2  3 -4],"[ 0.          0.          0.          0.11707043  0.17560564 -0.4097465
 -0.23414086  0.          0.11707043  0.17560564 -0.23414086]",[ 2691  2721 17500   677    35   206   113  2350   605    33    94],"[-0.04492188  0.04882812  0.02929688 -0.05078125 -0.33984375  0.00976562
 -0.26757812  0.1015625  -0.17382812 -1.18945312 -0.02148438]","[0.01171875 0.1328125  0.9375     0.32421875 2.69726562 0.28125
 0.59960938 0.09765625 0.27734375 2.4453125  0.65625   ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],slideUp
8,[ 1  3 20  7 16  3  7 16],[0.046875 0.140625 0.9375   0.328125 0.75     0.140625 0.328125 0.75    ],[ 0  0  0  3 -4  0  3 -4],"[ 0.          0.          0.          0.17560564 -0.23414086  0.
  0.17560564 -0.23414086]",[ 2688  2721 17829   308    52  2355   256    48],"[-0.04492188  0.04882812  0.02929688 -0.05078125  0.0234375   0.1015625
 -0.17382812 -0.2578125 ]","[0.01171875 0.1328125  0.9375     0.32421875 0.75       0.09765625
 0.27734375 0.70507812]",[0. 0. 0. 0. 0. 0. 0. 0.],slideUp
4,[ 1  3 20  3],[0.046875 0.140625 0.9375   0.140625],[0 0 0 0],[0. 0. 0. 0.],[ 2698  2719 18615  2350],[-0.04492188  0.04882812  0.02929688  0.1015625 ],[0.01171875 0.1328125  0.9375     0.09765625],[0. 0. 0. 0.],slideUp
6,[ 1  3 20  8  3  8],[0.046875 0.140625 0.9375   0.375    0.140625 0.375   ],[0 0 0 2 0 2],[0.         0.         0.         0.11707043 0.         0.11707043],[ 2697  2719 19032  2167  2351  1562],[-0.04492188  0.04882812  0.02929688  0.          0.1015625  -0.140625  ],[0.01171875 0.1328125  0.9375     0.375      0.09765625 0.34765625],[0. 0. 0. 0. 0. 0.],slideUp
8,[ 1  3 20  6  8  3  6  8],[0.046875 0.140625 0.9375   0.28125  0.375    0.140625 0.28125  0.375   ],[0 0 0 2 2 0 2 2],"[0.         0.         0.         0.11707043 0.11707043 0.
 0.11707043 0.11707043]",[ 2693  2717 15440   858   706  2347   786   692],"[-0.04492188  0.04882812  0.02929688 -0.00976562  0.          0.1015625
 -0.11523438 -0.15234375]","[0.01171875 0.1328125  0.9375     0.28125    0.375      0.09765625
 0.2578125  0.34179688]",[0. 0. 0. 0. 0. 0. 0. 0.],slideUp
4,[ 1  3 20  3],[0.046875 0.140625 0.9375   0.140625],[0 0 0 0],[0. 0. 0. 0.],[ 2692  2716 13677  2348],[-0.04492188  0.04882812  0.          0.1015625 ],[0.01171875 0.1328125  0.9375     0.09765625],[0. 0. 0. 0.],background
5,[ 3 20  8  3  8],[0.140625 0.9375   0.375    0.140625 0.375   ],[0 0 1 0 1],[0.         0.         0.05853521 0.         0.05853521],[ 2715 14635  1953  2347  1939],[ 0.04882812  0.          0.          0.1015625  -0.140625  ],[0.1328125  0.9375     0.375      0.09765625 0.34765625],[0. 0. 0. 0. 0.],background
5,[ 1  3 20  6  3],[0.046875 0.140625 0.9375   0.28125  0.140625],[0 0 0 2 0],[0.         0.         0.         0.11707043 0.        ],[ 2690  2714 15709   905  2345],[-0.04492188  0.04882812  0.02929688  0.00976562  0.1015625 ],[0.01171875 0.1328125  0.9375     0.28125    0.09765625],[0. 0. 0. 0. 0.],background
4,[ 3 20  7  3],[0.140625 0.9375   0.328125 0.140625],[0 0 2 0],[0.         0.         0.11707043 0.        ],[ 2713 14845  1110  2347],[0.04882812 0.02929688 0.02148438 0.1015625 ],[0.1328125  0.9375     0.328125   0.09765625],[0. 0. 0. 0.],background
4,[ 1  3 20  3],[0.046875 0.140625 0.9375   0.140625],[0 0 0 0],[0. 0. 0. 0.],[ 2694  2714 14512  2344],[-0.04492188  0.04882812  0.02929688  0.1015625 ],[0.01171875 0.1328125  0.9375     0.09765625],[0. 0. 0. 0.],background
4,[ 1  3 20  3],[0.046875 0.140625 0.9375   0.140625],[0 0 0 0],[0. 0. 0. 0.],[ 2684  2713 15623  2345],[-0.04492188  0.04882812  0.          0.1015625 ],[0.01171875 0.1328125  0.9375     0.09765625],[0. 0. 0. 0.],background
