numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
4,[ 1 11 26 50],[0.046875 0.515625 1.21875  2.34375 ],[0 0 0 0],[0. 0. 0. 0.],[ 2848  1366 10710  1028],[-0.04492188 -0.015625    0.          0.14648438],[0.01171875 0.515625   1.21875    2.33984375],[0. 0. 0. 0.],background
4,[ 1 11 26 50],[0.046875 0.515625 1.21875  2.34375 ],[0 0 0 0],[0. 0. 0. 0.],[ 2843  1432 10358  1013],[-0.04492188  0.          0.          0.14648438],[0.01171875 0.515625   1.21875    2.33984375],[0. 0. 0. 0.],background
4,[ 1 11 26 50],[0.046875 0.515625 1.21875  2.34375 ],[0 0 0 0],[0. 0. 0. 0.],[ 2839  1426 10019  1001],[-0.04492188  0.          0.          0.14648438],[0.01171875 0.515625   1.21875    2.33984375],[0. 0. 0. 0.],background
4,[ 1 11 26 50],[0.046875 0.515625 1.21875  2.34375 ],[0 0 0 0],[0. 0. 0. 0.],[2836 1339 9680  968],[-0.04492188  0.          0.          0.14648438],[0.01171875 0.515625   1.21875    2.33984375],[0. 0. 0. 0.],background
4,[ 1 11 26 50],[0.046875 0.515625 1.21875  2.34375 ],[0 0 0 0],[0. 0. 0. 0.],[2827 1167 9381  913],[-0.04492188  0.          0.          0.14648438],[0.01171875 0.515625   1.21875    2.33984375],[0. 0. 0. 0.],background
3,[10 26 50],[0.46875 1.21875 2.34375],[0 0 0],[0. 0. 0.],[1014 9424  915],[0.         0.         0.14648438],[0.46875    1.21875    2.33984375],[0. 0. 0.],background
3,[10 26 50],[0.46875 1.21875 2.34375],[0 0 0],[0. 0. 0.],[1056 9602  930],[0.         0.         0.14648438],[0.46875    1.21875    2.33984375],[0. 0. 0.],background
3,[10 26 50],[0.46875 1.21875 2.34375],[0 0 0],[0. 0. 0.],[1098 9701  931],[0.         0.         0.14648438],[0.46875    1.21875    2.33984375],[0. 0. 0.],background
3,[10 26 50],[0.46875 1.21875 2.34375],[0 0 0],[0. 0. 0.],[1158 9859  932],[0.         0.         0.14648438],[0.46875    1.21875    2.33984375],[0. 0. 0.],background
3,[10 26 50],[0.46875 1.21875 2.34375],[0 0 0],[0. 0. 0.],[1164 9867  930],[0.         0.         0.14648438],[0.46875    1.21875    2.33984375],[0. 0. 0.],background
3,[10 26 50],[0.46875 1.21875 2.34375],[0 0 0],[0. 0. 0.],[1143 9797  927],[0.         0.         0.14648438],[0.46875    1.21875    2.33984375],[0. 0. 0.],background
