numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
2,[ 1 29],[0.046875 1.359375],[0 0],[0. 0.],[2547 1832],[-0.04492188  0.        ],[0.01171875 1.359375  ],[0. 0.],background
2,[ 1 29],[0.046875 1.359375],[0 0],[0. 0.],[2540 2012],[-0.04492188  0.        ],[0.01171875 1.359375  ],[0. 0.],background
2,[ 1 30],[0.046875 1.40625 ],[0 0],[0. 0.],[2531 1900],[-0.04492188  0.        ],[0.01171875 1.40625   ],[0. 0.],background
3,[ 1  7 41],[0.046875 0.328125 1.921875],[ 0  3 -1],[ 0.          0.17560564 -0.05853521],[2523   70 1520],[-0.04492188  0.03125    -0.12109375],[0.01171875 0.32617188 1.91796875],[0. 0. 0.],background
4,[ 1 30  8 40],[0.046875 1.40625  0.375    1.875   ],[ 0  0  2 -1],[ 0.          0.          0.11707043 -0.05853521],[2516 1933  142 1669],[-0.04492188 -0.04492188  0.0234375   0.        ],[0.01171875 1.40625    0.375      1.875     ],[0. 0. 0. 0.],background
2,[29  8],[1.359375 0.375   ],[0 2],[0.         0.11707043],[1640  171],[0.       0.046875],[1.359375   0.37304688],[0. 0.],background
3,[29 40 40],[1.359375 1.875    1.875   ],[ 0 -1 -1],[ 0.         -0.05853521 -0.05853521],[1608  895  656],[ 0.         -0.05859375 -0.76171875],[1.359375   1.875      1.71289062],[0. 0. 0.],background
2,[29 40],[1.359375 1.875   ],[ 0 -2],[ 0.         -0.11707043],[1537  566],[ 0.         -0.17578125],[1.359375  1.8671875],[0. 0.],background
7,[29  9 18  8 40 18  8],[1.359375 0.421875 0.84375  0.375    1.875    0.84375  0.375   ],[ 0  3  4  6 -1  4  6],"[ 0.          0.17560564  0.23414086  0.35121129 -0.05853521  0.23414086
  0.35121129]",[1524   95   69  212 1367   56  168],"[ 0.          0.05273438 -0.26367188  0.05859375 -0.05859375  0.05273438
 -0.08203125]","[1.359375   0.41796875 0.80078125 0.37109375 1.875      0.84179688
 0.36523438]",[0. 0. 0. 0. 0. 0. 0.],background
4,[29  9  9  8],[1.359375 0.421875 0.421875 0.375   ],[0 3 6 9],[0.         0.17560564 0.35121129 0.52681693],[1872  286  546  491],[0.         0.0390625  0.01367188 0.046875  ],[1.359375   0.41992188 0.421875   0.37304688],[0. 0. 0. 0.],background
6,[29 10  9 46  9 46],[1.359375 0.46875  0.421875 2.15625  0.421875 2.15625 ],[0 2 5 6 9 6],[0.         0.11707043 0.29267607 0.35121129 0.52681693 0.35121129],[1019 2518 1707   25 1203   22],[ 0.          0.02929688  0.         -0.60742188  0.0390625   0.203125  ],[1.359375   0.46875    0.421875   2.0703125  0.41992188 2.14648438],[0. 0. 0. 0. 0. 0.],background
6,[10 10 10 13 49 13],[0.46875  0.46875  0.46875  0.609375 2.296875 0.609375],[ 0  4  7 -4 -2 -4],[ 0.          0.23414086  0.4097465  -0.23414086 -0.11707043 -0.23414086],[ 784 2899 2322   54  120   46],[ 0.05859375  0.         -0.02929688 -0.07617188 -0.359375   -0.45703125],[0.46484375 0.46875    0.46875    0.60546875 2.26953125 0.40234375],[0. 0. 0. 0. 0. 0.],background
8,[10 11 10 18 13 49 10 10],[0.46875  0.515625 0.46875  0.84375  0.609375 2.296875 0.46875  0.46875 ],[ 0  3  5  8 -4 -2  0  5],"[ 0.          0.17560564  0.29267607  0.46828172 -0.23414086 -0.11707043
  0.          0.29267607]",[3107 4704 1847   96   94  125 2323 1752],"[-0.1328125  -0.06445312  0.          0.08007812 -0.15234375 -0.28710938
  0.02929688 -0.19140625]","[0.44921875 0.51171875 0.46875    0.83984375 0.58984375 2.27929688
 0.46875    0.42773438]",[0. 0. 0. 0. 0. 0. 0. 0.],background
