numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
3,[ 6 24  6],[0.28125 1.125   0.28125],[0 0 0],[0. 0. 0.],[10394   628  7953],[ 0.02734375 -0.2109375   0.12304688],[0.27929688 1.10546875 0.25390625],[0. 0. 0.],background
3,[ 6 24 55],[0.28125  1.125    2.578125],[0 0 0],[0. 0. 0.],[10393   711   558],[ 0.02734375 -0.2109375  -2.17578125],[0.27929688 1.10546875 1.38476562],[0. 0. 0.],background
3,[ 5 55  5],[0.234375 2.578125 0.234375],[0 0 0],[0. 0. 0.],[7897  573 6058],[-0.03710938 -2.25585938  0.03710938],[0.23242188 1.24804688 0.23242188],[0. 0. 0.],background
5,[ 1  6 55 10 10],[0.046875 0.28125  2.578125 0.46875  0.46875 ],[0 0 0 1 1],[0.         0.         0.         0.05853521 0.05853521],[2603 6179  553  308  275],[-0.04492188  0.00976562 -2.17578125 -0.17578125 -0.015625  ],[0.01171875 0.28125    1.38476562 0.43554688 0.46875   ],[0. 0. 0. 0. 0.],background
4,[55  6 10  6],[2.578125 0.28125  0.46875  0.28125 ],[0 1 1 1],[0.         0.05853521 0.05853521 0.05853521],[ 558 8240  582 7496],[-2.17578125  0.10546875 -0.015625    0.        ],[1.38476562 0.26171875 0.46875    0.28125   ],[0. 0. 0. 0.],background
4,[ 1  6 10  6],[0.046875 0.28125  0.46875  0.28125 ],[0 1 2 1],[0.         0.05853521 0.11707043 0.05853521],[ 2596 10748   363 10293],[-0.04492188  0.          0.         -0.11523438],[0.01171875 0.28125    0.46875    0.2578125 ],[0. 0. 0. 0.],background
3,[ 1  6 55],[0.046875 0.28125  2.578125],[0 0 0],[0. 0. 0.],[2588 9352  521],[-0.04492188 -0.00976562 -2.17578125],[0.01171875 0.28125    1.38476562],[0. 0. 0.],background
2,[ 6 55],[0.28125  2.578125],[0 0],[0. 0.],[11055   588],[ 0.02734375 -2.17578125],[0.27929688 1.38476562],[0. 0.],background
2,[6 6],[0.28125 0.28125],[0 0],[0. 0.],[4644 3859],[-0.05273438  0.0625    ],[0.27539062 0.27539062],[0. 0.],background
2,[5 5],[0.234375 0.234375],[0 0],[0. 0.],[3748 2839],[ 0.03710938 -0.05078125],[0.23242188 0.22851562],[0. 0.],background
3,[ 5 55  5],[0.234375 2.578125 0.234375],[0 0 0],[0. 0. 0.],[8370  592 7129],[-0.08789062 -2.17578125 -0.015625  ],[0.21679688 1.38476562 0.234375  ],[0. 0. 0.],background
5,[ 6 55 34  6 34],[0.28125  2.578125 1.59375  0.28125  1.59375 ],[ 0  0 -4  0 -4],[ 0.          0.         -0.23414086  0.         -0.23414086],[6097  573   20 5886   17],[-0.08789062 -2.17578125 -0.15039062  0.03515625  0.54882812],[0.26757812 1.38476562 1.58789062 0.27929688 1.49609375],[0. 0. 0. 0. 0.],background
6,[ 6 28 55 34  6 34],[0.28125  1.3125   2.578125 1.59375  0.28125  1.59375 ],[ 0  0  0 -3  0 -3],[ 0.          0.          0.         -0.17560564  0.         -0.17560564],[5314  860  593   57 5239   49],[ 0.10546875 -0.24609375 -2.25585938  0.49804688 -0.12304688 -0.25      ],[0.26171875 1.2890625  1.24804688 1.51367188 0.25390625 1.57421875],[0. 0. 0. 0. 0. 0.],background
4,[ 5 28 33  5],[0.234375 1.3125   1.546875 0.234375],[0 0 3 0],[0.         0.         0.17560564 0.        ],[7754  959   40 6220],[ 0.         -0.20507812 -0.29101562 -0.08789062],[0.234375   1.296875   1.51953125 0.21679688],[0. 0. 0. 0.],background
