numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
12,[ 1 26 29 50 13  6 30 33 10 26  6 30],"[0.046875 1.21875  1.359375 2.34375  0.609375 0.28125  1.40625  1.546875
 0.46875  1.21875  0.28125  1.40625 ]",[0 0 0 0 2 3 3 3 5 0 3 3],"[0.         0.         0.         0.         0.11707043 0.17560564
 0.17560564 0.17560564 0.29267607 0.         0.17560564 0.17560564]",[2823 9668 8444 2507 1537 7369  236  257  170 9438 6068  168],"[-0.04492188 -0.45703125 -0.04296875  0.14648438  0.11523438  0.1328125
 -0.52734375  0.         -0.02929688  0.          0.02734375  0.703125  ]","[0.01171875 1.13085938 1.359375   2.33984375 0.59960938 0.24804688
 1.3046875  1.546875   0.46875    1.21875    0.27929688 1.21875   ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background
10,[ 1 26 29 50  6 13 40 26  6 13],"[0.046875 1.21875  1.359375 2.34375  0.28125  0.609375 1.875    1.21875
 0.28125  0.609375]",[0 0 0 0 2 2 3 0 2 2],"[0.         0.         0.         0.         0.11707043 0.11707043
 0.17560564 0.         0.11707043 0.11707043]",[2814 7030 6638 2089 6908 1745  234 6207 6611 1275],"[-0.04492188 -0.49609375  0.          0.22070312 -0.11523438  0.11523438
 -0.1171875  -0.0390625  -0.00976562 -0.11523438]","[0.01171875 1.11328125 1.359375   2.33398438 0.2578125  0.59960938
 1.87109375 1.21875    0.28125    0.59960938]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background
6,[26 29 50  6 10 26],[1.21875  1.359375 2.34375  0.28125  0.46875  1.21875 ],[0 0 0 1 4 0],[0.         0.         0.         0.05853521 0.23414086 0.        ],[7337 6869 2117 7785  123 6397],[-0.49609375  0.          0.22070312  0.01757812  0.015625   -0.0390625 ],[1.11328125 1.359375   2.33398438 0.28125    0.46875    1.21875   ],[0. 0. 0. 0. 0. 0.],background
5,[26 50  6 26  6],[1.21875 2.34375 0.28125 1.21875 0.28125],[0 0 1 0 1],[0.         0.         0.05853521 0.         0.05853521],[14738  3042  6266 13890  5271],[ 0.          0.14648438  0.05273438 -0.45703125 -0.05273438],[1.21875    2.33984375 0.27539062 1.13085938 0.27539062],[0. 0. 0. 0. 0.],background
6,[ 1  6 26 29 50 26],[0.046875 0.28125  1.21875  1.359375 2.34375  1.21875 ],[0 0 0 0 0 0],[0. 0. 0. 0. 0. 0.],[ 2794  3932 18468 11867  3147 15805],[-0.04492188  0.0625      0.          0.          0.14648438 -0.45703125],[0.01171875 0.27539062 1.21875    1.359375   2.33984375 1.13085938],[0. 0. 0. 0. 0. 0.],background
5,[ 1 26 29 50 26],[0.046875 1.21875  1.359375 2.34375  1.21875 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2786 6311 6010 2983 5469],[-0.04492188 -0.11523438 -0.04296875  0.14648438 -0.53320312],[0.01171875 1.21289062 1.359375   2.33984375 1.09570312],[0. 0. 0. 0. 0.],background
5,[ 1 26 29 50 26],[0.046875 1.21875  1.359375 2.34375  1.21875 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2785 5834 4501 3050 5571],[-0.04492188 -0.49609375 -0.0859375   0.22070312 -0.0390625 ],[0.01171875 1.11328125 1.35742188 2.33398438 1.21875   ],[0. 0. 0. 0. 0.],background
5,[ 1 26 29 50 26],[0.046875 1.21875  1.359375 2.34375  1.21875 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2773 6109 4517 2989 5559],[-0.04492188 -0.45703125 -0.0859375   0.22070312  0.        ],[0.01171875 1.13085938 1.35742188 2.33398438 1.21875   ],[0. 0. 0. 0. 0.],background
5,[ 1 26 29 50 26],[0.046875 1.21875  1.359375 2.34375  1.21875 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2774 5848 5017 2929 5078],[-0.04492188 -0.45703125 -0.0859375   0.14648438 -0.0390625 ],[0.01171875 1.13085938 1.35742188 2.33984375 1.21875   ],[0. 0. 0. 0. 0.],background
5,[ 1 26 29 50 26],[0.046875 1.21875  1.359375 2.34375  1.21875 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2770 6557 4742 2938 6036],[-0.04492188 -0.45703125 -0.12695312  0.14648438  0.        ],[0.01171875 1.13085938 1.35351562 2.33984375 1.21875   ],[0. 0. 0. 0. 0.],background
4,[ 1 26 50 26],[0.046875 1.21875  2.34375  1.21875 ],[0 0 0 0],[0. 0. 0. 0.],[2770 8624 2993 8377],[-0.04492188  0.0390625   0.14648438 -0.41992188],[0.01171875 1.21875    2.33984375 1.14453125],[0. 0. 0. 0.],background
4,[ 1 26 50 26],[0.046875 1.21875  2.34375  1.21875 ],[0 0 0 0],[0. 0. 0. 0.],[2766 9193 3033 8781],[-0.04492188  0.0390625   0.14648438 -0.41992188],[0.01171875 1.21875    2.33984375 1.14453125],[0. 0. 0. 0.],background
4,[ 1 26 50 26],[0.046875 1.21875  2.34375  1.21875 ],[0 0 0 0],[0. 0. 0. 0.],[2764 9473 3031 8990],[-0.04492188  0.0390625   0.22070312 -0.41992188],[0.01171875 1.21875    2.33398438 1.14453125],[0. 0. 0. 0.],background
4,[ 1 26 50 26],[0.046875 1.21875  2.34375  1.21875 ],[0 0 0 0],[0. 0. 0. 0.],[2763 9366 3091 8909],[-0.04492188  0.0390625   0.14648438 -0.41992188],[0.01171875 1.21875    2.33984375 1.14453125],[0. 0. 0. 0.],background
4,[ 1 26 50 26],[0.046875 1.21875  2.34375  1.21875 ],[0 0 0 0],[0. 0. 0. 0.],[2758 8746 3100 8479],[-0.04492188  0.0390625   0.14648438 -0.45703125],[0.01171875 1.21875    2.33984375 1.13085938],[0. 0. 0. 0.],background
5,[ 1 26 29 50 26],[0.046875 1.21875  1.359375 2.34375  1.21875 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2759 4560 6387 2736 4445],[-0.04492188 -0.15234375 -0.04296875  0.14648438 -0.53320312],[0.01171875 1.20898438 1.359375   2.33984375 1.09570312],[0. 0. 0. 0. 0.],background
7,[ 1 26 29 50  6 26  6],[0.046875 1.21875  1.359375 2.34375  0.28125  1.21875  0.28125 ],[ 0  0  0  0 -1  0 -1],"[ 0.          0.          0.          0.         -0.05853521  0.
 -0.05853521]",[ 2755 11209 10312  2581  1029  9063   806],"[-0.04492188 -0.0390625   0.          0.14648438  0.04492188 -0.49609375
 -0.0625    ]","[0.01171875 1.21875    1.359375   2.33984375 0.27734375 1.11328125
 0.27539062]",[0. 0. 0. 0. 0. 0. 0.],background
