numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label

4,[ 1  3 20  3],[0.046875 0.140625 0.9375   0.140625],[0 0 0 0],[0. 0. 0. 0.],[ 2762  2421 19122  2223],[-0.04492188  0.0390625   0.02929688  0.09765625],[0.01171875 0.13476562 0.9375     0.1015625 ],[0. 0. 0. 0.],background

4,[ 1  3 20  3],[0.046875 0.140625 0.9375   0.140625],[0 0 0 0],[0. 0. 0. 0.],[ 2740  2405 18984  2209],[-0.04492188  0.0390625   0.02929688  0.09765625],[0.01171875 0.13476562 0.9375     0.1015625 ],[0. 0. 0. 0.],background

4,[ 1  3 20  3],[0.046875 0.140625 0.9375   0.140625],[0 0 0 0],[0. 0. 0. 0.],[ 2733  2399 19184  2205],[-0.04492188  0.0390625   0.02929688  0.09765625],[0.01171875 0.13476562 0.9375     0.1015625 ],[0. 0. 0. 0.],background

4,[ 1  3 20  3],[0.046875 0.140625 0.9375   0.140625],[0 0 0 0],[0. 0. 0. 0.],[ 2730  2398 19044  2202],[-0.04492188  0.0390625   0.02929688  0.09765625],[0.01171875 0.13476562 0.9375     0.1015625 ],[0. 0. 0. 0.],background

4,[ 1  3 20  3],[0.046875 0.140625 0.9375   0.140625],[0 0 0 0],[0. 0. 0. 0.],[ 2713  2388 18820  2193],[-0.04492188  0.0390625   0.02929688  0.09765625],[0.01171875 0.13476562 0.9375     0.1015625 ],[0. 0. 0. 0.],background

4,[ 1  3 20  3],[0.046875 0.140625 0.9375   0.140625],[0 0 0 0],[0. 0. 0. 0.],[ 2719  2385 18831  2191],[-0.04492188  0.0390625   0.02929688  0.09765625],[0.01171875 0.13476562 0.9375     0.1015625 ],[0. 0. 0. 0.],background

4,[ 1  3 20  3],[0.046875 0.140625 0.9375   0.140625],[0 0 0 0],[0. 0. 0. 0.],[ 2708  2381 18991  2185],[-0.04492188  0.0390625   0.02929688  0.09765625],[0.01171875 0.13476562 0.9375     0.1015625 ],[0. 0. 0. 0.],background

4,[ 1  3 20  3],[0.046875 0.140625 0.9375   0.140625],[0 0 0 0],[0. 0. 0. 0.],[ 2705  2380 18948  2185],[-0.04492188  0.0390625   0.02929688  0.09765625],[0.01171875 0.13476562 0.9375     0.1015625 ],[0. 0. 0. 0.],background

7,[ 1  3 20 15 36  3 15],[0.046875 0.140625 0.9375   0.703125 1.6875   0.140625 0.703125],[ 0  0  0  5 -4  0  5],"[ 0.          0.          0.          0.29267607 -0.23414086  0.
  0.29267607]",[ 2703  2377 18901   128    65  2181    96],"[-0.04492188  0.0390625   0.02929688  0.61523438 -0.47460938  0.09765625
 -0.4609375 ]","[0.01171875 0.13476562 0.9375     0.33984375 1.61914062 0.1015625
 0.53125   ]",[0. 0. 0. 0. 0. 0. 0.],background

7,[ 1  3 20 22 15 36  3],[0.046875 0.140625 0.9375   1.03125  0.703125 1.6875   0.140625],[ 0  0  0  3  5 -3  0],"[ 0.          0.          0.          0.17560564  0.29267607 -0.17560564
  0.        ]",[ 2700  2375 19031   162   143    33  2181],"[-0.04492188  0.0390625   0.02929688 -0.06445312 -0.4609375  -0.47460938
  0.09765625]","[0.01171875 0.13476562 0.9375     1.02929688 0.53125    1.61914062
 0.1015625 ]",[0. 0. 0. 0. 0. 0. 0.],background

5,[ 1  3 20 15  3],[0.046875 0.140625 0.9375   0.703125 0.140625],[0 0 0 5 0],[0.         0.         0.         0.29267607 0.        ],[ 2703  2373 19008   167  2180],[-0.04492188  0.0390625   0.02929688 -0.484375    0.09765625],[0.01171875 0.13476562 0.9375     0.50976562 0.1015625 ],[0. 0. 0. 0. 0.],background

4,[ 1  3 20  3],[0.046875 0.140625 0.9375   0.140625],[0 0 0 0],[0. 0. 0. 0.],[ 2698  2370 18746  2179],[-0.04492188  0.0390625   0.02929688  0.09765625],[0.01171875 0.13476562 0.9375     0.1015625 ],[0. 0. 0. 0.],background

4,[ 1  3 20  3],[0.046875 0.140625 0.9375   0.140625],[0 0 0 0],[0. 0. 0. 0.],[ 2700  2371 18803  2176],[-0.04492188  0.0390625   0.02929688  0.09765625],[0.01171875 0.13476562 0.9375     0.1015625 ],[0. 0. 0. 0.],background

4,[ 1  3 20  3],[0.046875 0.140625 0.9375   0.140625],[0 0 0 0],[0. 0. 0. 0.],[ 2697  2367 18887  2175],[-0.04492188  0.0390625   0.02929688  0.09765625],[0.01171875 0.13476562 0.9375     0.1015625 ],[0. 0. 0. 0.],background

6,[ 1  3 20 17  3 17],[0.046875 0.140625 0.9375   0.796875 0.140625 0.796875],[0 0 0 3 0 3],[0.         0.         0.         0.17560564 0.         0.17560564],[ 2691  2367 19004   104  2172    99],[-0.04492188  0.0390625   0.02929688  0.          0.09765625 -0.29882812],[0.01171875 0.13476562 0.9375     0.796875   0.1015625  0.73828125],[0. 0. 0. 0. 0. 0.],background

6,[ 1  3 20 35 14  3],[0.046875 0.140625 0.9375   1.640625 0.65625  0.140625],[0 0 0 2 3 0],[0.         0.         0.         0.11707043 0.17560564 0.        ],[ 2693  2364 19654   449   319  2170],[-0.04492188  0.0390625   0.02929688 -0.359375   -0.30859375  0.09765625],[0.01171875 0.13476562 0.9375     1.6015625  0.58007812 0.1015625 ],[0. 0. 0. 0. 0. 0.],background

7,[ 1  3 20 34 14 15  3],[0.046875 0.140625 0.9375   1.59375  0.65625  0.703125 0.140625],[ 0  0  0  2  6 -2  0],"[ 0.          0.          0.          0.11707043  0.35121129 -0.11707043
  0.        ]",[ 2691  2363 19957   315    69   150  2170],"[-0.04492188  0.0390625   0.02929688 -0.3984375   0.08203125 -0.39648438
  0.09765625]","[0.01171875 0.13476562 0.9375     1.54296875 0.65039062 0.58203125
 0.1015625 ]",[0. 0. 0. 0. 0. 0. 0.],background

6,[ 1  3 20 35 14  3],[0.046875 0.140625 0.9375   1.640625 0.65625  0.140625],[0 0 0 3 6 0],[0.         0.         0.         0.17560564 0.35121129 0.        ],[ 2692  2362 20372   447    68  2170],[-0.04492188  0.0390625   0.02929688 -0.41015625  0.08203125  0.09765625],[0.01171875 0.13476562 0.9375     1.58789062 0.65039062 0.1015625 ],[0. 0. 0. 0. 0. 0.],background

5,[ 1  3 20 35  3],[0.046875 0.140625 0.9375   1.640625 0.140625],[0 0 0 4 0],[0.         0.         0.         0.23414086 0.        ],[ 2686  2361 20846   274  2169],[-0.04492188  0.0390625   0.02929688 -0.41015625  0.09765625],[0.01171875 0.13476562 0.9375     1.58789062 0.1015625 ],[0. 0. 0. 0. 0.],background

6,[ 1  3 20 47  3 47],[0.046875 0.140625 0.9375   2.203125 0.140625 2.203125],[0 0 0 3 0 3],[0.         0.         0.         0.17560564 0.         0.17560564],[ 2690  2362 20544   179  2171   169],[-0.04492188  0.0390625   0.02929688 -0.06835938  0.09765625  0.7578125 ],[0.01171875 0.13476562 0.9375     2.203125   0.1015625  2.06835938],[0. 0. 0. 0. 0. 0.],background

11,[ 1  3 20 24 47 36  6  7  3 47  6],"[0.046875 0.140625 0.9375   1.125    2.203125 1.6875   0.28125  0.328125
 0.140625 2.203125 0.28125 ]",[ 0  0  0  3  3  5  7 -2  0  3  7],"[ 0.          0.          0.          0.17560564  0.17560564  0.29267607
  0.4097465  -0.11707043  0.          0.17560564  0.4097465 ]",[ 2686  2358 20063   142   140   203   150   676  2165   102   132],"[-0.04492188  0.0390625   0.02929688 -0.2109375   0.55078125 -0.421875
  0.0625      0.08203125  0.09765625 -0.27539062  0.17578125]","[0.01171875 0.13476562 0.9375     1.10546875 2.1328125  1.63476562
 0.27539062 0.31835938 0.1015625  2.18554688 0.21875   ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background

11,[ 1  3 20 24  7 37 35  7  3 24  7],"[0.046875 0.140625 0.9375   1.125    0.328125 1.734375 1.640625 0.328125
 0.140625 1.125    0.328125]",[ 0  0  0  3  6  6 -5 -2  0  3 -2],"[ 0.          0.          0.          0.17560564  0.35121129  0.35121129
 -0.29267607 -0.11707043  0.          0.17560564 -0.11707043]",[ 2693  2359 20581   159   233    91    25   643  2166   133   584],"[-0.04492188  0.0390625   0.02929688 -0.66796875  0.07226562 -0.37890625
  0.15429688  0.11328125  0.09765625 -0.24609375 -0.00976562]","[0.01171875 0.13476562 0.9375     0.90625    0.3203125  1.69335938
 1.6328125  0.30859375 0.1015625  1.09765625 0.328125  ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background

