numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
11,[ 1  3 26 29 17 14 40 16 26 29 14],"[0.046875 0.140625 1.21875  1.359375 0.796875 0.65625  1.875    0.75
 1.21875  1.359375 0.65625 ]",[ 0  0  0  0  2  3  3 -2  0  0  3],"[ 0.          0.          0.          0.          0.11707043  0.17560564
  0.17560564 -0.11707043  0.          0.          0.17560564]",[2631 2662 1799 2896  160   87  204  359 1408 2120   83],"[-0.04492188  0.0390625   0.11523438  0.          0.05078125 -0.26757812
 -0.05859375 -0.3046875  -0.34375    -0.50976562  0.26757812]","[0.01171875 0.13476562 1.21289062 1.359375   0.79492188 0.59960938
 1.875      0.68554688 1.16992188 1.25976562 0.59960938]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background
8,[ 1  3 26 29 41 26 29 41],[0.046875 0.140625 1.21875  1.359375 1.921875 1.21875  1.359375 1.921875],[0 0 0 0 4 0 0 4],"[0.         0.         0.         0.         0.23414086 0.
 0.         0.23414086]",[2619 2648 1776 2912  183 1332 2136  154],"[-0.04492188  0.0390625   0.11523438  0.         -0.48046875 -0.34375
 -0.50976562  0.6015625 ]","[0.01171875 0.13476562 1.21289062 1.359375   1.86132812 1.16992188
 1.25976562 1.82617188]",[0. 0. 0. 0. 0. 0. 0. 0.],background
10,[ 1  3 26 29 14 41 15 26 29 41],"[0.046875 0.140625 1.21875  1.359375 0.65625  1.921875 0.703125 1.21875
 1.359375 1.921875]",[ 0  0  0  0  3  4 -2  0  0  4],"[ 0.          0.          0.          0.          0.17560564  0.23414086
 -0.11707043  0.          0.          0.23414086]",[2606 2644 1766 2919  234  317  394 1326 2116  275],"[-0.04492188  0.0390625   0.07617188  0.         -0.30859375 -0.41992188
 -0.28515625 -0.34375    -0.50976562  0.6015625 ]","[0.01171875 0.13476562 1.21679688 1.359375   0.58007812 1.875
 0.64257812 1.16992188 1.25976562 1.82617188]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background
11,[ 1  3 26 29 41 45 19 26 29 41 19],"[0.046875 0.140625 1.21875  1.359375 1.921875 2.109375 0.890625 1.21875
 1.359375 1.921875 0.890625]",[0 0 0 0 4 4 5 0 0 4 5],"[0.         0.         0.         0.         0.23414086 0.23414086
 0.29267607 0.         0.         0.23414086 0.29267607]",[2604 2637 1756 2974  241  111  111 1336 2132  205   88],"[-0.04492188  0.0390625   0.11523438  0.         -0.48046875 -0.33007812
 -0.02734375 -0.34375    -0.50976562  0.66015625  0.30664062]","[0.01171875 0.13476562 1.21289062 1.359375   1.86132812 2.08398438
 0.890625   1.16992188 1.25976562 1.8046875  0.8359375 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background
10,[ 1  3 26 29 10 19 42 26 29 10],"[0.046875 0.140625 1.21875  1.359375 0.46875  0.890625 1.96875  1.21875
 1.359375 0.46875 ]",[0 0 0 0 2 4 4 0 0 2],"[0.         0.         0.         0.         0.11707043 0.23414086
 0.23414086 0.         0.         0.11707043]",[2595 2630 1706 2940  463  102  324 1352 2122  396],"[-0.04492188  0.0390625   0.11523438  0.          0.02929688 -0.05664062
  0.61523438 -0.34375    -0.50976562 -0.1328125 ]","[0.01171875 0.13476562 1.21289062 1.359375   0.46875    0.88867188
 1.87109375 1.16992188 1.25976562 0.44921875]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background
7,[ 1  3 26 29 42 26 29],[0.046875 0.140625 1.21875  1.359375 1.96875  1.21875  1.359375],[0 0 0 0 4 0 0],"[0.         0.         0.         0.         0.23414086 0.
 0.        ]",[2592 2624 1766 2968  309 1357 2161],"[-0.04492188  0.0390625   0.07617188  0.          0.61523438 -0.34375
 -0.50976562]","[0.01171875 0.13476562 1.21679688 1.359375   1.87109375 1.16992188
 1.25976562]",[0. 0. 0. 0. 0. 0. 0.],background
12,[ 1  3 26 29 43 46 10 13 26 29 46 10],"[0.046875 0.140625 1.21875  1.359375 2.015625 2.15625  0.46875  0.609375
 1.21875  1.359375 2.15625  0.46875 ]",[ 0  0  0  0  4  4 -2 -1  0  0  4 -2],"[ 0.          0.          0.          0.          0.23414086  0.23414086
 -0.11707043 -0.05853521  0.          0.          0.23414086 -0.11707043]",[2590 2614 1570 3025  196   46  282 1701 1280 2164   38  274],"[-0.04492188  0.0390625   0.11523438  0.          0.63085938 -1.21289062
 -0.1171875   0.         -0.34375    -0.50976562  0.67382812  0.015625  ]","[0.01171875 0.13476562 1.21289062 1.359375   1.9140625  1.78320312
 0.453125   0.609375   1.16992188 1.25976562 2.04882812 0.46875   ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background
12,[ 1  3 26 29 43 46 14 26 29 43 46 14],"[0.046875 0.140625 1.21875  1.359375 2.015625 2.15625  0.65625  1.21875
 1.359375 2.015625 2.15625  0.65625 ]",[ 0  0  0  0  4  4 -1  0  0  4  4 -1],"[ 0.          0.          0.          0.          0.23414086  0.23414086
 -0.05853521  0.          0.          0.23414086  0.23414086 -0.05853521]",[2587 2617 1971 2901  213   61 1459 1406 2104  188   53 1338],"[-0.04492188  0.0390625   0.07617188  0.          0.69335938 -0.47265625
  0.08203125 -0.34375    -0.50976562 -1.19726562 -1.21289062 -0.1640625 ]","[0.01171875 0.13476562 1.21679688 1.359375   1.89257812 2.10351562
 0.65039062 1.16992188 1.25976562 1.62304688 1.78320312 0.63476562]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background
12,[ 1  3 26 29 43 47 13 26 29 43 47 13],"[0.046875 0.140625 1.21875  1.359375 2.015625 2.203125 0.609375 1.21875
 1.359375 2.015625 2.203125 0.609375]",[ 0  0  0  0  3  3 -2  0  0  3  3 -2],"[ 0.          0.          0.          0.          0.17560564  0.17560564
 -0.11707043  0.          0.          0.17560564  0.17560564 -0.11707043]",[2581 2609 1614 3042  144   67 1903 1271 2175  141   59 1427],"[-0.04492188  0.0390625   0.11523438  0.         -0.37890625 -0.34375
 -0.09570312 -0.34375    -0.50976562  0.69335938 -1.16992188  0.1328125 ]","[0.01171875 0.13476562 1.21289062 1.359375   1.98046875 2.17578125
 0.6015625  1.16992188 1.25976562 1.89257812 1.8671875  0.59375   ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background
8,[ 1  3 26 29 13 26 29 13],[0.046875 0.140625 1.21875  1.359375 0.609375 1.21875  1.359375 0.609375],[ 0  0  0  0 -1  0  0 -1],"[ 0.          0.          0.          0.         -0.05853521  0.
  0.         -0.05853521]",[2581 2611 1684 2925 1758 1468 2096 1307],"[-0.04492188  0.0390625   0.11523438  0.         -0.09570312 -0.34375
 -0.50976562  0.15234375]","[0.01171875 0.13476562 1.21289062 1.359375   0.6015625  1.16992188
 1.25976562 0.58984375]",[0. 0. 0. 0. 0. 0. 0. 0.],background
