numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
3,[ 1 29 10],[0.046875 1.359375 0.46875 ],[0 0 2],[0.         0.         0.11707043],[2555 1662  172],[-0.04492188  0.          0.04492188],[0.01171875 1.359375   0.46679688],[0. 0. 0.],background
3,[ 1 29 10],[0.046875 1.359375 0.46875 ],[0 0 1],[0.         0.         0.05853521],[2541 1706  158],[-0.04492188  0.          0.04492188],[0.01171875 1.359375   0.46679688],[0. 0. 0.],background
2,[29 10],[1.359375 0.46875 ],[0 1],[0.         0.05853521],[1720  159],[0.         0.04492188],[1.359375   0.46679688],[0. 0.],background
1,[29],[1.359375],[0],[0.],[1737],[0.],[1.359375],[0.],background
1,[29],[1.359375],[0],[0.],[1755],[0.],[1.359375],[0.],background
1,[29],[1.359375],[0],[0.],[1741],[0.],[1.359375],[0.],background
1,[29],[1.359375],[0],[0.],[1742],[0.],[1.359375],[0.],background
1,[29],[1.359375],[0],[0.],[1734],[0.],[1.359375],[0.],background
1,[29],[1.359375],[0],[0.],[1733],[0.],[1.359375],[0.],background
4,[ 1 29 15 15],[0.046875 1.359375 0.703125 0.703125],[0 0 2 2],[0.         0.         0.11707043 0.11707043],[2516 1722   62   55],[-0.04492188  0.         -0.2421875   0.39648438],[0.01171875 1.359375   0.66015625 0.58203125],[0. 0. 0. 0.],background
1,[29],[1.359375],[0],[0.],[1697],[0.],[1.359375],[0.],background
1,[29],[1.359375],[0],[0.],[1675],[0.],[1.359375],[0.],background
1,[29],[1.359375],[0],[0.],[1635],[0.],[1.359375],[0.],background
1,[29],[1.359375],[0],[0.],[1643],[0.],[1.359375],[0.],background
1,[29],[1.359375],[0],[0.],[1649],[0.],[1.359375],[0.],background
1,[29],[1.359375],[0],[0.],[1629],[0.],[1.359375],[0.],background
4,[29 10 10 10],[1.359375 0.46875  0.46875  0.46875 ],[ 0 -7 -2 -2],[ 0.         -0.4097465  -0.11707043 -0.11707043],[1634   59   74   61],[ 0.         -0.19140625 -0.1328125   0.17578125],[1.359375   0.42773438 0.44921875 0.43554688],[0. 0. 0. 0.],background
7,[29  9  9  9 35  9  9],[1.359375 0.421875 0.421875 0.421875 1.640625 0.421875 0.421875],[  0 -17 -15  -8  -3 -17 -15],"[ 0.         -0.99509865 -0.87802822 -0.46828172 -0.17560564 -0.99509865
 -0.87802822]",[1614   17   27   32   91   16   19],"[ 0.          0.1328125  -0.1328125  -0.15820312  0.         -0.29101562
 -0.30273438]","[1.359375   0.40039062 0.40039062 0.390625   1.640625   0.30664062
 0.29296875]",[0. 0. 0. 0. 0. 0. 0.],background
4,[29  8  8 35],[1.359375 0.375    0.375    1.640625],[  0 -20 -16  -3],[ 0.         -1.1707043  -0.93656344 -0.17560564],[1609   19   48   82],[ 0.         -0.22265625 -0.1640625  -0.10351562],[1.359375   0.30273438 0.33789062 1.63671875],[0. 0. 0. 0.],swipePrev
3,[29  6  6],[1.359375 0.28125  0.28125 ],[  0 -17 -15],[ 0.         -0.99509865 -0.87802822],[1609   79   75],[ 0.         -0.12304688 -0.11523438],[1.359375   0.25390625 0.2578125 ],[0. 0. 0.],swipePrev
3,[29  6  5],[1.359375 0.28125  0.234375],[  0 -16 -14],[ 0.         -0.93656344 -0.81949301],[1601   47   27],[ 0.         -0.11523438 -0.09570312],[1.359375   0.2578125  0.21484375],[0. 0. 0.],swipePrev
2,[29  5],[1.359375 0.234375],[  0 -17],[ 0.         -0.99509865],[1613   17],[ 0.         -0.08007812],[1.359375   0.22070312],[0. 0.],swipePrev
5,[29 35  6 35  6],[1.359375 1.640625 0.28125  1.640625 0.28125 ],[  0   3 -11  -9 -11],[ 0.          0.17560564 -0.64388736 -0.52681693 -0.64388736],[1612   85  173   24  143],[ 0.          0.05078125 -0.12304688 -0.71875     0.17578125],[1.359375   1.640625   0.25390625 1.47460938 0.21875   ],[0. 0. 0. 0. 0.],swipePrev
3,[29 22  5],[1.359375 1.03125  0.234375],[ 0 13 -9],[ 0.          0.76095779 -0.52681693],[1588   58  225],[ 0.         -0.515625   -0.10351562],[1.359375   0.89257812 0.2109375 ],[0. 0. 0.],swipePrev
10,[54  4  4 22 24 24  4  4 22 24],"[2.53125 0.1875  0.1875  1.03125 1.125   1.125   0.1875  0.1875  1.03125
 1.125  ]",[ 3  5 10 10 17 19  5 10 10 19],"[0.17560564 0.29267607 0.58535215 0.58535215 0.99509865 1.11216908
 0.29267607 0.58535215 0.58535215 1.11216908]",[ 149 4193 1338  109  203  205 4109 1309   81  197],"[-2.13671875 -0.09375    -0.0234375  -0.41992188 -0.421875   -0.28125
 -0.0234375  -0.09375    -0.03320312 -0.703125  ]","[1.359375   0.16210938 0.18554688 0.94335938 1.04296875 1.08984375
 0.18554688 0.16210938 1.03125    0.87890625]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],swipePrev
