numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
6,[ 1 19 33 42 17 19],[0.046875 0.890625 1.546875 1.96875  0.796875 0.890625],[ 0  0  0  0 -2  0],[ 0.          0.          0.          0.         -0.11707043  0.        ],[2657   83  691 2069  125   72],[-0.04492188  0.16796875  0.04882812  0.12304688  0.         -0.1953125 ],[0.01171875 0.875      1.546875   1.96484375 0.796875   0.86914062],[0. 0. 0. 0. 0. 0.],background
3,[42 14 14],[1.96875 0.65625 0.65625],[0 4 4],[0.         0.23414086 0.23414086],[2011   22   21],[ 0.12304688 -0.1640625   0.18554688],[1.96484375 0.63476562 0.62890625],[0. 0. 0.],background
1,[42],[1.96875],[0],[0.],[2004],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[2007],[0.12304688],[1.96484375],[0.],background
2,[42 14],[1.96875 0.65625],[ 0 -2],[ 0.         -0.11707043],[2008   50],[ 0.12304688 -0.328125  ],[1.96484375 0.56835938],[0. 0.],background
1,[42],[1.96875],[0],[0.],[2008],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[2012],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[2006],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[2004],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[2003],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[2005],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[2007],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[2003],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[2003],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1997],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1994],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1998],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1995],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1996],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1996],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1993],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1992],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1995],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1995],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1990],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1992],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1994],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1992],[0.12304688],[1.96484375],[0.],background
2,[42 21],[1.96875  0.984375],[ 0 -1],[ 0.         -0.05853521],[1996  232],[ 0.12304688 -0.43164062],[1.96484375 0.88476562],[0. 0.],background
1,[42],[1.96875],[0],[0.],[2006],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[2002],[0.12304688],[1.96484375],[0.],background
3,[20 42 21],[0.9375   1.96875  0.984375],[ 0  0 -1],[ 0.          0.         -0.05853521],[ 221 1999  269],[-0.3515625   0.12304688 -0.43164062],[0.86914062 1.96484375 0.88476562],[0. 0. 0.],background
3,[21 42 21],[0.984375 1.96875  0.984375],[0 0 0],[0. 0. 0.],[ 244 1999  191],[-0.43164062  0.12304688  0.0625    ],[0.88476562 1.96484375 0.98242188],[0. 0. 0.],background
1,[42],[1.96875],[0],[0.],[1998],[0.12304688],[1.96484375],[0.],background
2,[21 42],[0.984375 1.96875 ],[0 0],[0. 0.],[ 315 1989],[-0.40039062  0.12304688],[0.90039062 1.96484375],[0. 0.],background
3,[21 42 21],[0.984375 1.96875  0.984375],[0 0 0],[0. 0. 0.],[ 224 1992  166],[-0.43164062  0.12304688  0.12304688],[0.88476562 1.96484375 0.9765625 ],[0. 0. 0.],background
3,[21 42 21],[0.984375 1.96875  0.984375],[0 0 0],[0. 0. 0.],[ 178 2000  144],[ 0.12304688  0.12304688 -0.4609375 ],[0.9765625  1.96484375 0.86914062],[0. 0. 0.],background
1,[42],[1.96875],[0],[0.],[1999],[0.12304688],[1.96484375],[0.],background
2,[22 42],[1.03125 1.96875],[0 0],[0. 0.],[ 267 1992],[-0.03320312  0.12304688],[1.03125    1.96484375],[0. 0.],background
2,[22 42],[1.03125 1.96875],[0 0],[0. 0.],[ 270 1990],[-0.03320312  0.12304688],[1.03125    1.96484375],[0. 0.],background
1,[42],[1.96875],[0],[0.],[1996],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1999],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1997],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1998],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1995],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1993],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1993],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1994],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1991],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1987],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1989],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1991],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1989],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1990],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1989],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1990],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1991],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1991],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1991],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1994],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1996],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1994],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1994],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1994],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1994],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1992],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1993],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1993],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1993],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1990],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1991],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1992],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1997],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1997],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1997],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1996],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1998],[0.12304688],[1.96484375],[0.],background
2,[20 42],[0.9375  1.96875],[0 0],[0. 0.],[ 170 1995],[-0.32226562  0.12304688],[0.88085938 1.96484375],[0. 0.],background
2,[20 42],[0.9375  1.96875],[0 0],[0. 0.],[ 165 1994],[-0.32226562  0.12304688],[0.88085938 1.96484375],[0. 0.],background
2,[20 42],[0.9375  1.96875],[0 0],[0. 0.],[ 147 1996],[-0.32226562  0.12304688],[0.88085938 1.96484375],[0. 0.],background
2,[20 42],[0.9375  1.96875],[0 0],[0. 0.],[ 148 1991],[-0.32226562  0.12304688],[0.88085938 1.96484375],[0. 0.],background
1,[42],[1.96875],[0],[0.],[1991],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1989],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1990],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1993],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1995],[0.12304688],[1.96484375],[0.],background
1,[42],[1.96875],[0],[0.],[1994],[0.12304688],[1.96484375],[0.],background
