numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
5,[ 1  3 20 25 25],[0.046875 0.140625 0.9375   1.171875 1.171875],[0 0 0 0 0],[0. 0. 0. 0. 0.],[ 2862  2844 13138  2726  2432],[-0.04492188  0.04492188  0.02929688  0.25585938 -0.22070312],[0.01171875 0.1328125  0.9375     1.14453125 1.15039062],[0. 0. 0. 0. 0.],background
5,[ 1  3 20 25 25],[0.046875 0.140625 0.9375   1.171875 1.171875],[0 0 0 0 0],[0. 0. 0. 0. 0.],[ 2855  2832 13031  2751  2489],[-0.04492188  0.04492188  0.02929688  0.25585938 -0.22070312],[0.01171875 0.1328125  0.9375     1.14453125 1.15039062],[0. 0. 0. 0. 0.],background
5,[ 1  3 20 25 25],[0.046875 0.140625 0.9375   1.171875 1.171875],[0 0 0 0 0],[0. 0. 0. 0. 0.],[ 2843  2824 12777  2637  2505],[-0.04492188  0.04492188  0.02929688  0.25585938 -0.22070312],[0.01171875 0.1328125  0.9375     1.14453125 1.15039062],[0. 0. 0. 0. 0.],background
5,[ 1  3 20 25 25],[0.046875 0.140625 0.9375   1.171875 1.171875],[0 0 0 0 0],[0. 0. 0. 0. 0.],[ 2847  2818 12561  2674  2555],[-0.04492188  0.04492188  0.02929688  0.25585938 -0.22070312],[0.01171875 0.1328125  0.9375     1.14453125 1.15039062],[0. 0. 0. 0. 0.],background
5,[ 1  3 20 25 25],[0.046875 0.140625 0.9375   1.171875 1.171875],[0 0 0 0 0],[0. 0. 0. 0. 0.],[ 2835  2808 12877  2690  2549],[-0.04492188  0.04492188  0.02929688  0.25585938 -0.22070312],[0.01171875 0.1328125  0.9375     1.14453125 1.15039062],[0. 0. 0. 0. 0.],background
5,[ 1  3 20 25 25],[0.046875 0.140625 0.9375   1.171875 1.171875],[0 0 0 0 0],[0. 0. 0. 0. 0.],[ 2826  2805 12742  2702  2674],[-0.04492188  0.04492188  0.02929688 -0.22070312  0.25585938],[0.01171875 0.1328125  0.9375     1.15039062 1.14453125],[0. 0. 0. 0. 0.],background
5,[ 1  3 20 25 25],[0.046875 0.140625 0.9375   1.171875 1.171875],[0 0 0 0 0],[0. 0. 0. 0. 0.],[ 2823  2798 12848  2633  2631],[-0.04492188  0.04492188  0.02929688  0.25585938 -0.18359375],[0.01171875 0.1328125  0.9375     1.14453125 1.15820312],[0. 0. 0. 0. 0.],background
5,[ 1  3 20 25 25],[0.046875 0.140625 0.9375   1.171875 1.171875],[0 0 0 0 0],[0. 0. 0. 0. 0.],[ 2823  2795 12659  2669  2615],[-0.04492188  0.04492188  0.02929688  0.25585938 -0.22070312],[0.01171875 0.1328125  0.9375     1.14453125 1.15039062],[0. 0. 0. 0. 0.],background
6,[ 1  3 20 25 11 25],[0.046875 0.140625 0.9375   1.171875 0.515625 1.171875],[0 0 0 0 3 0],[0.         0.         0.         0.         0.17560564 0.        ],[ 2811  2790 12702  2596   180  2575],[-0.04492188  0.04492188  0.02929688 -0.18359375  0.35546875  0.25585938],[0.01171875 0.1328125  0.9375     1.15820312 0.375      1.14453125],[0. 0. 0. 0. 0. 0.],background
5,[ 1  3 20 25 25],[0.046875 0.140625 0.9375   1.171875 1.171875],[0 0 0 0 0],[0. 0. 0. 0. 0.],[ 2812  2789 12594  2671  2512],[-0.04492188  0.04492188  0.02929688  0.25585938 -0.22070312],[0.01171875 0.1328125  0.9375     1.14453125 1.15039062],[0. 0. 0. 0. 0.],background
5,[ 1  3 20 25 25],[0.046875 0.140625 0.9375   1.171875 1.171875],[0 0 0 0 0],[0. 0. 0. 0. 0.],[ 2811  2788 12558  2678  2558],[-0.04492188  0.04492188  0.02929688  0.25585938 -0.22070312],[0.01171875 0.1328125  0.9375     1.14453125 1.15039062],[0. 0. 0. 0. 0.],background
