numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
9,[12 29 32  8 12 42 12 29 32],"[0.5625   1.359375 1.5      0.375    0.5625   1.96875  0.5625   1.359375
 1.5     ]",[ 0  0  0 -8 -6 -5  0  0  0],"[ 0.          0.          0.         -0.46828172 -0.35121129 -0.29267607
  0.          0.          0.        ]",[1092  794  893  511   44   42 1016  767  863],"[ 0.01757812  0.12695312  0.09375     0.03515625  0.0703125  -0.0625
  0.2109375  -0.33984375 -0.46875   ]","[0.5625     1.35351562 1.49804688 0.37304688 0.55859375 1.96875
 0.52148438 1.31640625 1.42578125]",[0. 0. 0. 0. 0. 0. 0. 0. 0.],background
6,[12 31 11 16 41 31],[0.5625   1.453125 0.515625 0.75     1.921875 1.453125],[ 0  0 -6 -6 -3  0],[ 0.          0.         -0.35121129 -0.35121129 -0.17560564  0.        ],[2179  901   49   65   43  740],[ 0.10546875  0.09179688  0.12890625 -0.0234375   0.         -0.45507812],[0.55273438 1.45117188 0.5        0.75       1.921875   1.38085938],[0. 0. 0. 0. 0. 0.],background
4,[12 31 11 31],[0.5625   1.453125 0.515625 1.453125],[ 0  0 -4  0],[ 0.          0.         -0.23414086  0.        ],[1957  904   65  740],[ 0.08789062  0.04492188  0.11328125 -0.45507812],[0.5546875  1.453125   0.50390625 1.38085938],[0. 0. 0. 0.],background
6,[31 33  7 16 12 31],[1.453125 1.546875 0.328125 0.75     0.5625   1.453125],[ 0  0  6 -3 -1  0],[ 0.          0.          0.35121129 -0.17560564 -0.05853521  0.        ],[ 960  966  393  107 2290  781],[ 0.09179688 -0.484375    0.02148438 -0.09375     0.10546875 -0.45507812],[1.45117188 1.46875    0.328125   0.74414062 0.55273438 1.38085938],[0. 0. 0. 0. 0. 0.],background
16,[11 29 31  7  7 11 42 17 12 12 11 29 31  7  7 17],"[0.515625 1.359375 1.453125 0.328125 0.328125 0.515625 1.96875  0.796875
 0.5625   0.5625   0.515625 1.359375 1.453125 0.328125 0.328125 0.796875]",[ 0  0  0  2  4  4  5 -4 -3 -1  0  0  0  2  4 -4],"[ 0.          0.          0.          0.11707043  0.23414086  0.23414086
  0.29267607 -0.23414086 -0.17560564 -0.05853521  0.          0.
  0.          0.11707043  0.23414086 -0.23414086]","[ 877  822  940   84  127   54   47   83  512 1162  694  809  774   77
  103   67]","[ 0.04882812  0.12695312  0.09179688 -0.04101562  0.0625      0.
  0.          0.125       0.140625    0.08789062  0.2265625  -0.3828125
 -0.45507812  0.07226562 -0.05078125 -0.125     ]","[0.51367188 1.35351562 1.45117188 0.32617188 0.32226562 0.515625
 1.96875    0.78710938 0.54492188 0.5546875  0.46289062 1.3046875
 1.38085938 0.3203125  0.32421875 0.78710938]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background
9,[12 29 31 16 12 16 29 31 16],"[0.5625   1.359375 1.453125 0.75     0.5625   0.75     1.359375 1.453125
 0.75    ]",[ 0  0  0 -9 -3 -3  0  0 -3],"[ 0.          0.          0.         -0.52681693 -0.17560564 -0.17560564
  0.          0.         -0.17560564]",[1413  800  933   57  597   83  776  743   65],"[ 0.03515625  0.12695312  0.09179688  0.09375     0.140625   -0.046875
 -0.3828125  -0.45507812 -0.3046875 ]","[0.56054688 1.35351562 1.45117188 0.74414062 0.54492188 0.74804688
 1.3046875  1.38085938 0.68554688]",[0. 0. 0. 0. 0. 0. 0. 0. 0.],background
10,[12 31 13 12 56 12 31 13 12 56],"[0.5625   1.453125 0.609375 0.5625   2.625    0.5625   1.453125 0.609375
 0.5625   2.625   ]",[ 0  0  3 -4 -3  0  0  3 -4 -3],"[ 0.          0.          0.17560564 -0.23414086 -0.17560564  0.
  0.          0.17560564 -0.23414086 -0.17560564]",[ 765 1014  122 1432   35  678  751  101 1027   28],"[ 0.2109375   0.09179688  0.19140625  0.08789062 -2.37890625 -0.01757812
 -0.45507812 -0.01953125 -0.12304688  0.328125  ]","[0.52148438 1.45117188 0.578125   0.5546875  1.109375   0.5625
 1.38085938 0.609375   0.54882812 2.60546875]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background
9,[12 31 11 56 59 12 31 11 56],"[0.5625   1.453125 0.515625 2.625    2.765625 0.5625   1.453125 0.515625
 2.625   ]",[ 0  0 -4 -3 -3  0  0 -4 -3],"[ 0.          0.         -0.23414086 -0.17560564 -0.17560564  0.
  0.         -0.23414086 -0.17560564]",[1195  935 2053   35   36 1065  768 1520   30],"[ 0.17578125  0.09179688  0.06445312 -0.24609375 -0.34570312 -0.01757812
 -0.45507812 -0.12890625 -2.4609375 ]","[0.53515625 1.45117188 0.51171875 2.61328125 2.74414062 0.5625
 1.38085938 0.5        0.9140625 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0.],background
5,[11 31 57 11 31],[0.515625 1.453125 2.671875 0.515625 1.453125],[ 0  0 -5  0  0],[ 0.          0.         -0.29267607  0.          0.        ],[ 782 1007   24  712  811],[ 0.09765625  0.13671875  0.25       -0.11328125 -0.40820312],[0.50585938 1.44726562 2.66015625 0.50390625 1.39453125],[0. 0. 0. 0. 0.],background
4,[11 31 11 31],[0.515625 1.453125 0.515625 1.453125],[0 0 0 0],[0. 0. 0. 0.],[1513  997 1264  809],[ 0.06445312  0.13671875 -0.12890625 -0.40820312],[0.51171875 1.44726562 0.5        1.39453125],[0. 0. 0. 0.],background
6,[12 32 12 12 32 12],[0.5625 1.5    0.5625 0.5625 1.5    0.5625],[ 0  0 -2  0  0 -2],[ 0.          0.         -0.11707043  0.          0.         -0.11707043],[1341  914  836 1119  865  684],[-0.01757812  0.140625    0.08789062  0.19335938 -0.46875    -0.12304688],[0.5625     1.49414062 0.5546875  0.52734375 1.42578125 0.54882812],[0. 0. 0. 0. 0. 0.],background
4,[32 11 32 11],[1.5      0.515625 1.5      0.515625],[ 0 -2  0 -2],[ 0.         -0.11707043  0.         -0.11707043],[ 926 1345  842 1143],[ 0.140625    0.06445312 -0.46875    -0.12890625],[1.49414062 0.51171875 1.42578125 0.5       ],[0. 0. 0. 0.],background
5,[11 31 11 11 31],[0.515625 1.453125 0.515625 0.515625 1.453125],[ 0  0 -2  0  0],[ 0.          0.         -0.11707043  0.          0.        ],[ 600 1044 1447  501  782],[ 0.19335938  0.09179688  0.06445312 -0.015625   -0.40820312],[0.47851562 1.45117188 0.51171875 0.515625   1.39453125],[0. 0. 0. 0. 0.],background
4,[12 32 16 32],[0.5625 1.5    0.75   1.5   ],[ 0  0 -3  0],[ 0.          0.         -0.17560564  0.        ],[1252  962   41  811],[ 0.03515625  0.140625    0.0703125  -0.421875  ],[0.56054688 1.49414062 0.74609375 1.43945312],[0. 0. 0. 0.],background
4,[29 32 29 32],[1.359375 1.5      1.359375 1.5     ],[0 0 0 0],[0. 0. 0. 0.],[817 899 712 812],[ 0.21289062  0.140625   -0.33984375 -0.46875   ],[1.34375    1.49414062 1.31640625 1.42578125],[0. 0. 0. 0.],background
8,[12 29 32 11 12 29 32 11],[0.5625   1.359375 1.5      0.515625 0.5625   1.359375 1.5      0.515625],[ 0  0  0 -3  0  0  0 -3],"[ 0.          0.          0.         -0.17560564  0.          0.
  0.         -0.17560564]",[1032  788  927  322  902  672  802  241],"[ 0.01757812  0.21289062  0.140625    0.06445312  0.22851562 -0.33984375
 -0.421875   -0.14453125]","[0.5625     1.34375    1.49414062 0.51171875 0.51367188 1.31640625
 1.43945312 0.49414062]",[0. 0. 0. 0. 0. 0. 0. 0.],background
8,[12 29 32 14 10 12 29 32],[0.5625   1.359375 1.5      0.65625  0.46875  0.5625   1.359375 1.5     ],[ 0  0  0  3 -4  0  0  0],"[ 0.          0.          0.          0.17560564 -0.23414086  0.
  0.          0.        ]",[959 874 958  88 176 856 679 821],"[ 0.01757812  0.21289062  0.140625    0.18554688  0.015625    0.2109375
 -0.33984375 -0.46875   ]","[0.5625     1.34375    1.49414062 0.62890625 0.46875    0.52148438
 1.31640625 1.42578125]",[0. 0. 0. 0. 0. 0. 0. 0.],background
7,[12 29 32  8 12 29 32],[0.5625   1.359375 1.5      0.375    0.5625   1.359375 1.5     ],[ 0  0  0 -2  0  0  0],"[ 0.          0.          0.         -0.11707043  0.          0.
  0.        ]",[815 809 946 269 800 648 828],"[ 0.22851562  0.25585938  0.140625    0.03515625  0.01757812 -0.33984375
 -0.46875   ]","[0.51367188 1.3359375  1.49414062 0.37304688 0.5625     1.31640625
 1.42578125]",[0. 0. 0. 0. 0. 0. 0.],background
10,[12 29 32 13 57  7 12 29 32  7],"[0.5625   1.359375 1.5      0.609375 2.671875 0.328125 0.5625   1.359375
 1.5      0.328125]",[ 0  0  0  4 -4 -2  0  0  0 -2],"[ 0.          0.          0.          0.23414086 -0.23414086 -0.11707043
  0.          0.          0.         -0.11707043]",[865 791 978 250  21 165 806 659 857 122],"[ 0.01757812  0.25585938  0.140625   -0.05664062 -0.33398438  0.05078125
  0.22851562 -0.33984375 -0.46875    -0.07226562]","[0.5625     1.3359375  1.49414062 0.60742188 2.65039062 0.32421875
 0.51367188 1.31640625 1.42578125 0.3203125 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background
9,[12 29 32  9 57  7 12 29 32],"[0.5625   1.359375 1.5      0.421875 2.671875 0.328125 0.5625   1.359375
 1.5     ]",[ 0  0  0 -6 -3 -2  0  0  0],"[ 0.          0.          0.         -0.35121129 -0.17560564 -0.11707043
  0.          0.          0.        ]",[890 780 943  75  50 575 782 637 825],"[ 0.03515625  0.25585938  0.140625   -0.01367188 -0.33398438  0.00976562
  0.22851562 -0.33984375 -0.46875   ]","[0.56054688 1.3359375  1.49414062 0.421875   2.65039062 0.328125
 0.51367188 1.31640625 1.42578125]",[0. 0. 0. 0. 0. 0. 0. 0. 0.],background
8,[ 9 12 32  9 13  9 12 32],[0.421875 0.5625   1.5      0.421875 0.609375 0.421875 0.5625   1.5     ],[ 0  0  0  2 -5 -1  0  0],"[ 0.          0.          0.          0.11707043 -0.29267607 -0.05853521
  0.          0.        ]",[ 387 1005  962  186  512  691  874  852],"[ 0.          0.01757812  0.140625    0.         -0.01953125 -0.01367188
  0.22851562 -0.46875   ]","[0.421875   0.5625     1.49414062 0.421875   0.609375   0.421875
 0.51367188 1.42578125]",[0. 0. 0. 0. 0. 0. 0. 0.],background
7,[12 32  9 12 12 32  9],[0.5625   1.5      0.421875 0.5625   0.5625   1.5      0.421875],[ 0  0  2 -5  0  0  2],"[ 0.          0.          0.11707043 -0.29267607  0.          0.
  0.11707043]",[ 959  884 1250  211  816  806 1088],"[ 0.01757812  0.140625    0.01367188 -0.03515625  0.22851562 -0.46875
 -0.14453125]","[0.5625     1.49414062 0.421875   0.56054688 0.51367188 1.42578125
 0.39648438]",[0. 0. 0. 0. 0. 0. 0.],background
7,[12 31  7  7  9 12 31],[0.5625   1.453125 0.328125 0.328125 0.421875 0.5625   1.453125],[ 0  0  4  7 -4  0  0],"[ 0.          0.          0.23414086  0.4097465  -0.23414086  0.
  0.        ]",[867 970 184 349 984 753 727],"[ 0.01757812  0.09179688 -0.00976562 -0.02148438  0.05273438  0.22851562
 -0.45507812]","[0.5625     1.45117188 0.328125   0.328125   0.41796875 0.51367188
 1.38085938]",[0. 0. 0. 0. 0. 0. 0.],background
14,[12 29 32  7 14  9 12 15 12 29 32 14  9 12],"[0.5625   1.359375 1.5      0.328125 0.65625  0.421875 0.5625   0.703125
 0.5625   1.359375 1.5      0.65625  0.421875 0.5625  ]",[ 0  0  0  8 -8 -5 -5 -3  0  0  0 -8 -5 -5],"[ 0.          0.          0.          0.46828172 -0.46828172 -0.29267607
 -0.29267607 -0.17560564  0.          0.          0.         -0.46828172
 -0.29267607 -0.29267607]",[841 799 933 121  59 641 191 138 791 786 826  42 589 164],"[ 0.01757812  0.16992188  0.140625   -0.02148438  0.2265625   0.06640625
  0.          0.17578125  0.22851562 -0.33984375 -0.46875    -0.02148438
 -0.09179688  0.2109375 ]","[0.5625     1.34960938 1.49414062 0.328125   0.6171875  0.41601562
 0.5625     0.68164062 0.51367188 1.31640625 1.42578125 0.65625
 0.41210938 0.52148438]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background
11,[12 29 32  8  9 14 15 12 29 32 14],"[0.5625   1.359375 1.5      0.375    0.421875 0.65625  0.703125 0.5625
 1.359375 1.5      0.65625 ]",[ 0  0  0  4 -7 -4 -2  0  0  0 -4],"[ 0.          0.          0.          0.23414086 -0.4097465  -0.23414086
 -0.11707043  0.          0.          0.         -0.23414086]",[ 800  809  944  421 1146   46   69  791  675  837   37],"[ 0.22851562  0.21289062  0.140625   -0.01171875  0.08007812  0.2265625
  0.04492188  0.01757812 -0.33984375 -0.46875    -0.02148438]","[0.51367188 1.34375    1.49414062 0.375      0.4140625  0.6171875
 0.70117188 0.5625     1.31640625 1.42578125 0.65625   ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background
