numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
6,[ 8  8  9 14  8  9],[0.375    0.375    0.421875 0.65625  0.375    0.421875],[ 7 10 21 -2 10 21],[ 0.4097465   0.58535215  1.22923951 -0.11707043  0.58535215  1.22923951],[1474 1252 1026  362  926  783],[ 0.10546875  0.1171875   0.14453125 -0.0625     -0.03515625 -0.01367188],[0.359375   0.35546875 0.39648438 0.65429688 0.37304688 0.421875  ],[0. 0. 0. 0. 0. 0.],background
15,[29 10 13 13 10  8  8 11  8 12 10 10  8  8 12],"[1.359375 0.46875  0.609375 0.609375 0.46875  0.375    0.375    0.515625
 0.375    0.5625   0.46875  0.46875  0.375    0.375    0.5625  ]",[  0   1   4   8 -23  -7  -5  -4  -3  -2   1 -23  -7  -5  -2],"[ 0.          0.05853521  0.23414086  0.46828172 -1.34630994 -0.4097465
 -0.29267607 -0.23414086 -0.17560564 -0.11707043  0.05853521 -1.34630994
 -0.4097465  -0.29267607 -0.11707043]",[863 157 229 106 311 421 354 157 179 156 122 263 400 310 150],"[-0.25585938  0.17578125 -0.05664062 -0.01953125  0.08789062  0.08203125
  0.09375     0.06445312  0.09375     0.26367188  0.         -0.08789062
 -0.05859375 -0.046875    0.05273438]","[1.3359375  0.43554688 0.60742188 0.609375   0.4609375  0.36523438
 0.36328125 0.51171875 0.36328125 0.49609375 0.46875    0.4609375
 0.37109375 0.37304688 0.56054688]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background
7,[31 31 14  8  8  8  8],[1.453125 1.453125 0.65625  0.375    0.375    0.375    0.375   ],[  0   3   6 -25 -14  -4 -25],"[ 0.          0.17560564  0.35121129 -1.46338037 -0.81949301 -0.23414086
 -1.46338037]",[1059  157  349  463 1911 1177  332],"[ 0.04492188  0.18164062 -0.0625      0.05859375  0.1171875   0.1171875
 -0.08203125]","[1.453125   1.44140625 0.65429688 0.37109375 0.35546875 0.35546875
 0.36523438]",[0. 0. 0. 0. 0. 0. 0.],background
8,[30  8  8 53 14 30  8  8],[1.40625  0.375    0.375    2.484375 0.65625  1.40625  0.375    0.375   ],[ 0  2 -4 -3 -2  0  2 -4],"[ 0.          0.11707043 -0.23414086 -0.17560564 -0.11707043  0.
  0.11707043 -0.23414086]",[1388 1320  245   95  121 1080 1086  241],"[-0.08789062  0.15234375  0.01171875 -0.23242188 -0.0625      0.43945312
  0.01171875  0.15234375]","[1.40429688 0.34179688 0.375      2.47460938 0.65429688 1.3359375
 0.375      0.34179688]",[0. 0. 0. 0. 0. 0. 0. 0.],background
6,[14  9 13 14 10 13],[0.65625  0.421875 0.609375 0.65625  0.46875  0.609375],[11 13 14 -4 -1 14],[ 0.64388736  0.76095779  0.81949301 -0.23414086 -0.05853521  0.81949301],[ 61 934  47 180 231  44],[ 0.10351562  0.06640625  0.         -0.02148438  0.1328125   0.24804688],[0.6484375  0.41601562 0.609375   0.65625    0.44921875 0.55664062],[0. 0. 0. 0. 0. 0.],background
10,[12 29 13 12  9  9  8 12 13  9],"[0.5625   1.359375 0.609375 0.5625   0.421875 0.421875 0.375    0.5625
 0.609375 0.421875]",[  4   4   8  28  31 -12  -9   4   8 -12],"[ 0.23414086  0.23414086  0.46828172  1.63898601  1.81459166 -0.70242258
 -0.52681693  0.23414086  0.46828172 -0.70242258]",[  95   43  141   52  288  386 1655   93  106  347],"[ 0.26367188 -0.21289062 -0.09570312  0.140625    0.          0.10546875
  0.10546875  0.05273438  0.26757812 -0.06640625]","[0.49609375 1.34375    0.6015625  0.54492188 0.421875   0.40820312
 0.359375   0.56054688 0.54882812 0.41601562]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background
8,[30  8  8 12  7 30  8 12],[1.40625  0.375    0.375    0.5625   0.328125 1.40625  0.375    0.5625  ],[ 0  2  6  9 -3  0  2  9],"[ 0.          0.11707043  0.35121129  0.52681693 -0.17560564  0.
  0.11707043  0.52681693]",[1316  960  557   33  187 1122  719   29],"[-0.08789062  0.140625    0.12890625  0.03515625  0.03125     0.43945312
  0.          0.26367188]","[1.40429688 0.34765625 0.3515625  0.56054688 0.32617188 1.3359375
 0.375      0.49609375]",[0. 0. 0. 0. 0. 0. 0. 0.],background
7,[11  7  8 14 52 11  7],[0.515625 0.328125 0.375    0.65625  2.4375   0.515625 0.328125],[ 3  9 13 -4 -3  3  9],"[ 0.17560564  0.52681693  0.76095779 -0.23414086 -0.17560564  0.17560564
  0.52681693]",[  57  599 1125  250  173   53  438],"[ 0.2265625   0.10351562  0.08203125 -0.04101562  0.          0.03320312
 -0.02148438]","[0.46289062 0.3125     0.36523438 0.65429688 2.4375     0.515625
 0.328125  ]",[0. 0. 0. 0. 0. 0. 0.],background
10,[50 14 20 13 12  9  9 13  9  9],"[2.34375  0.65625  0.9375   0.609375 0.5625   0.421875 0.421875 0.609375
 0.421875 0.421875]",[  1   7  18 -30 -17 -14  -8 -30 -14  -8],"[ 0.05853521  0.4097465   1.05363387 -1.75605644 -0.99509865 -0.81949301
 -0.46828172 -1.75605644 -0.81949301 -0.46828172]",[1365  138   21  137   86 1247  678   98  977  514],"[-0.07421875  0.30859375  0.05859375  0.20898438  0.2109375   0.09179688
  0.08007812 -0.01953125 -0.06640625 -0.08007812]","[2.34375    0.58007812 0.93554688 0.57226562 0.52148438 0.41210938
 0.4140625  0.609375   0.41601562 0.4140625 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background
5,[50 14  8  8  8],[2.34375 0.65625 0.375   0.375   0.375  ],[  1   5 -12  -7  -2],[ 0.05853521  0.29267607 -0.70242258 -0.4097465  -0.11707043],[1956  174 2849  705  124],[-0.07421875 -0.08203125  0.12890625  0.12890625  0.0703125 ],[2.34375    0.65039062 0.3515625  0.3515625  0.36914062],[0. 0. 0. 0. 0.],background
