numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
2,[ 1 21],[0.046875 0.984375],[0 0],[0. 0.],[2665 7574],[-0.04492188  0.03125   ],[0.01171875 0.984375  ],[0. 0.],background
2,[ 1 21],[0.046875 0.984375],[0 0],[0. 0.],[2649 7527],[-0.04492188  0.03125   ],[0.01171875 0.984375  ],[0. 0.],background
2,[ 1 21],[0.046875 0.984375],[0 0],[0. 0.],[2649 7520],[-0.04492188  0.03125   ],[0.01171875 0.984375  ],[0. 0.],background
2,[ 1 21],[0.046875 0.984375],[0 0],[0. 0.],[2648 7502],[-0.04492188  0.03125   ],[0.01171875 0.984375  ],[0. 0.],background
2,[ 1 21],[0.046875 0.984375],[0 0],[0. 0.],[2639 7492],[-0.04492188  0.03125   ],[0.01171875 0.984375  ],[0. 0.],background
2,[ 1 21],[0.046875 0.984375],[0 0],[0. 0.],[2633 7478],[-0.04492188  0.03125   ],[0.01171875 0.984375  ],[0. 0.],background
2,[ 1 21],[0.046875 0.984375],[0 0],[0. 0.],[2631 7478],[-0.04492188  0.03125   ],[0.01171875 0.984375  ],[0. 0.],background
2,[ 1 21],[0.046875 0.984375],[0 0],[0. 0.],[2632 7485],[-0.04492188  0.03125   ],[0.01171875 0.984375  ],[0. 0.],background
2,[ 1 21],[0.046875 0.984375],[0 0],[0. 0.],[2627 7497],[-0.04492188  0.03125   ],[0.01171875 0.984375  ],[0. 0.],background
2,[ 1 21],[0.046875 0.984375],[0 0],[0. 0.],[2628 7505],[-0.04492188  0.03125   ],[0.01171875 0.984375  ],[0. 0.],background
2,[ 1 21],[0.046875 0.984375],[0 0],[0. 0.],[2625 7539],[-0.04492188  0.03125   ],[0.01171875 0.984375  ],[0. 0.],background
2,[ 1 21],[0.046875 0.984375],[0 0],[0. 0.],[2623 7578],[-0.04492188  0.03125   ],[0.01171875 0.984375  ],[0. 0.],background
2,[ 1 21],[0.046875 0.984375],[0 0],[0. 0.],[2622 7488],[-0.04492188  0.03125   ],[0.01171875 0.984375  ],[0. 0.],background
2,[ 1 21],[0.046875 0.984375],[0 0],[0. 0.],[2618 7504],[-0.04492188  0.03125   ],[0.01171875 0.984375  ],[0. 0.],background
3,[ 1 21 26],[0.046875 0.984375 1.21875 ],[0 0 0],[0. 0. 0.],[2613 7449 1761],[-0.04492188  0.03125    -0.0390625 ],[0.01171875 0.984375   1.21875   ],[0. 0. 0.],background
5,[ 1 10 21 26 10],[0.046875 0.46875  0.984375 1.21875  0.46875 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2614 2064 7459 1658 2021],[-0.04492188  0.19140625  0.03125    -0.0390625   0.015625  ],[0.01171875 0.42773438 0.984375   1.21875    0.46875   ],[0. 0. 0. 0. 0.],background
3,[ 1 21 26],[0.046875 0.984375 1.21875 ],[0 0 0],[0. 0. 0.],[2616 7432 1774],[-0.04492188  0.03125    -0.0390625 ],[0.01171875 0.984375   1.21875   ],[0. 0. 0.],background
3,[ 1 21 26],[0.046875 0.984375 1.21875 ],[0 0 0],[0. 0. 0.],[2611 7462 1668],[-0.04492188  0.03125    -0.07617188],[0.01171875 0.984375   1.21679688],[0. 0. 0.],background
3,[ 1 21 26],[0.046875 0.984375 1.21875 ],[0 0 0],[0. 0. 0.],[2611 7495 1807],[-0.04492188  0.03125    -0.0390625 ],[0.01171875 0.984375   1.21875   ],[0. 0. 0.],background
2,[ 1 21],[0.046875 0.984375],[0 0],[0. 0.],[2610 7554],[-0.04492188  0.03125   ],[0.01171875 0.984375  ],[0. 0.],background
2,[ 1 21],[0.046875 0.984375],[0 0],[0. 0.],[2613 7551],[-0.04492188  0.03125   ],[0.01171875 0.984375  ],[0. 0.],background
2,[ 1 21],[0.046875 0.984375],[0 0],[0. 0.],[2607 7459],[-0.04492188  0.03125   ],[0.01171875 0.984375  ],[0. 0.],background
