numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
5,[ 3 10 37  3 10],[0.140625 0.46875  1.734375 0.140625 0.46875 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2025  517 8877 1897  472],[0.09765625 0.02929688 0.109375   0.0390625  0.19140625],[0.1015625  0.46875    1.73046875 0.13476562 0.42773438],[0. 0. 0. 0. 0.],background
5,[ 3 10 37  3 10],[0.140625 0.46875  1.734375 0.140625 0.46875 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2015  535 8821 1888  452],[0.09765625 0.02929688 0.109375   0.0390625  0.19140625],[0.1015625  0.46875    1.73046875 0.13476562 0.42773438],[0. 0. 0. 0. 0.],background
5,[ 3 10 37  3 10],[0.140625 0.46875  1.734375 0.140625 0.46875 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2002  497 8761 1882  415],[0.09765625 0.02929688 0.109375   0.0390625  0.19140625],[0.1015625  0.46875    1.73046875 0.13476562 0.42773438],[0. 0. 0. 0. 0.],background
5,[ 3 10 37  3 10],[0.140625 0.46875  1.734375 0.140625 0.46875 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2004  448 8745 1876  400],[0.09765625 0.02929688 0.109375   0.0390625  0.19140625],[0.1015625  0.46875    1.73046875 0.13476562 0.42773438],[0. 0. 0. 0. 0.],background
5,[ 3 10 37  3 10],[0.140625 0.46875  1.734375 0.140625 0.46875 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[1994  416 8718 1873  381],[0.09765625 0.015625   0.109375   0.0390625  0.19140625],[0.1015625  0.46875    1.73046875 0.13476562 0.42773438],[0. 0. 0. 0. 0.],background
5,[ 3 10 37  3 10],[0.140625 0.46875  1.734375 0.140625 0.46875 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[1993  423 8698 1870  373],[0.09765625 0.015625   0.109375   0.0390625  0.19140625],[0.1015625  0.46875    1.73046875 0.13476562 0.42773438],[0. 0. 0. 0. 0.],background
5,[ 3 10 37  3 10],[0.140625 0.46875  1.734375 0.140625 0.46875 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[1989  423 8671 1869  377],[0.09765625 0.015625   0.109375   0.0390625  0.19140625],[0.1015625  0.46875    1.73046875 0.13476562 0.42773438],[0. 0. 0. 0. 0.],background
5,[ 3 10 37  3 10],[0.140625 0.46875  1.734375 0.140625 0.46875 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[1983  404 8653 1864  372],[0.09765625 0.015625   0.109375   0.0390625  0.19140625],[0.1015625  0.46875    1.73046875 0.13476562 0.42773438],[0. 0. 0. 0. 0.],background
5,[ 3 10 37  3 10],[0.140625 0.46875  1.734375 0.140625 0.46875 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[1984  403 8656 1861  365],[0.09765625 0.015625   0.109375   0.0390625  0.19140625],[0.1015625  0.46875    1.73046875 0.13476562 0.42773438],[0. 0. 0. 0. 0.],background
5,[ 3 10 37  3 10],[0.140625 0.46875  1.734375 0.140625 0.46875 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[1980  394 8646 1859  361],[0.09765625 0.015625   0.109375   0.0390625  0.19140625],[0.1015625  0.46875    1.73046875 0.13476562 0.42773438],[0. 0. 0. 0. 0.],background
