numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
8,[30 12 14 13 13 30 12 14],[1.40625  0.5625   0.65625  0.609375 0.609375 1.40625  0.5625   0.65625 ],[  0   2  23 -25 -22   0   2  23],"[ 0.          0.11707043  1.34630994 -1.46338037 -1.28777473  0.
  0.11707043  1.34630994]",[1152  472 1367 3476 2998 1108  414 1351],"[ 0.3515625  -0.01757812 -0.08203125 -0.09570312 -0.09570312 -0.17578125
 -0.17578125  0.14453125]","[1.36132812 0.5625     0.65039062 0.6015625  0.6015625  1.39453125
 0.53515625 0.640625  ]",[0. 0. 0. 0. 0. 0. 0. 0.],background
11,[30 33 15 15 20 37 15 19 19 30 37],"[1.40625  1.546875 0.703125 0.703125 0.9375   1.734375 0.703125 0.890625
 0.890625 1.40625  1.734375]",[  0   0  13  16  16  21  22 -31 -28   0  21],"[ 0.          0.          0.76095779  0.93656344  0.93656344  1.22923951
  1.28777473 -1.81459166 -1.63898601  0.          1.22923951]",[1003  844  596  989   78   21   68  144  163  963   18],"[-0.1328125  -0.484375    0.04492188  0.04492188  0.1171875   0.27148438
  0.04492188 -0.11132812 -0.11132812  0.39648438 -0.37890625]","[1.40039062 1.46875    0.70117188 0.70117188 0.9296875  1.71289062
 0.70117188 0.8828125  0.8828125  1.34960938 1.69335938]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background
9,[30 33 54 15 16 20 26 13 30],"[1.40625  1.546875 2.53125  0.703125 0.75     0.9375   1.21875  0.609375
 1.40625 ]",[ 0  0  6  8 13 15 24 -2  0],"[ 0.          0.          0.35121129  0.46828172  0.76095779  0.87802822
  1.40484515 -0.11707043  0.        ]",[1039  787   75  196  130  342   31  337 1000],"[ 0.3515625  -0.484375    0.08007812 -0.04492188  0.046875    0.02929688
  0.11523438 -0.28515625 -0.1328125 ]","[1.36132812 1.46875    2.53125    0.70117188 0.74804688 0.9375
 1.21289062 0.5390625  1.40039062]",[0. 0. 0. 0. 0. 0. 0. 0. 0.],background
12,[30 33 16 17 21 21 21 21 13 30 21 13],"[1.40625  1.546875 0.75     0.796875 0.984375 0.984375 0.984375 0.984375
 0.609375 1.40625  0.984375 0.609375]",[  0   0   2   4 -13  -9  -6  -3  -2   0 -13  -2],"[ 0.          0.          0.11707043  0.23414086 -0.76095779 -0.52681693
 -0.35121129 -0.17560564 -0.11707043  0.         -0.76095779 -0.11707043]",[1181  989   67   88  180  540  276  163  210  999  140  164],"[-0.1328125  -0.484375    0.0234375   0.09960938 -0.0625     -0.03125
 -0.03125    -0.03125    -0.07617188  0.3515625  -0.40039062  0.3046875 ]","[1.40039062 1.46875    0.75       0.79101562 0.98242188 0.984375
 0.984375   0.984375   0.60546875 1.36132812 0.90039062 0.52734375]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background
7,[30 21 21 19 13 30 13],[1.40625  0.984375 0.984375 0.890625 0.609375 1.40625  0.609375],[  0 -14 -12  -5  -2   0  -2],"[ 0.         -0.81949301 -0.70242258 -0.29267607 -0.11707043  0.
 -0.11707043]",[1130  436  466  921  245  963  242],"[-0.17578125 -0.03125    -0.0625     -0.05664062 -0.1328125   0.3515625
 -0.32421875]","[1.39453125 0.984375   0.98242188 0.88867188 0.59375    1.36132812
 0.515625  ]",[0. 0. 0. 0. 0. 0. 0.],background
8,[30 11  7 19 18 16 30  7],[1.40625  0.515625 0.328125 0.890625 0.84375  0.75     1.40625  0.328125],[  0   3   4 -15 -12  -4   0   4],"[ 0.          0.17560564  0.23414086 -0.87802822 -0.70242258 -0.23414086
  0.          0.23414086]",[1079   26   88  748  817 1380  898   77],"[-0.17578125  0.04882812  0.0625      0.02734375  0.          0.046875
  0.3515625  -0.05078125]","[1.39453125 0.51367188 0.32226562 0.890625   0.84375    0.74804688
 1.36132812 0.32421875]",[0. 0. 0. 0. 0. 0. 0. 0.],background
11,[11 30  8 26 18 17 21 16 16 11 30],"[0.515625 1.40625  0.375    1.21875  0.84375  0.796875 0.984375 0.75
 0.75     0.515625 1.40625 ]",[  0   0   5 -20 -16 -13  -8  -6  -3   0   0],"[ 0.          0.          0.29267607 -1.1707043  -0.93656344 -0.76095779
 -0.46828172 -0.35121129 -0.17560564  0.          0.        ]",[ 248  957  124   53 1714 1228   42 1254  242  191  743],"[-0.015625   -0.17578125  0.05859375  0.07617188  0.05273438  0.
  0.03125     0.046875    0.046875   -0.20898438  0.3515625 ]","[0.515625   1.39453125 0.37109375 1.21679688 0.84179688 0.796875
 0.984375   0.74804688 0.74804688 0.47070312 1.36132812]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background
7,[30  8 18 16 17 16 30],[1.40625  0.375    0.84375  0.75     0.796875 0.75     1.40625 ],[  0   3 -18 -16 -14  -7   0],"[ 0.          0.17560564 -1.05363387 -0.93656344 -0.81949301 -0.4097465
  0.        ]",[1051  136  710  680 1228  912 1029],"[-0.22070312  0.05859375  0.08007812  0.0703125   0.07421875  0.0703125
  0.30859375]","[1.38867188 0.37109375 0.83984375 0.74609375 0.79296875 0.74609375
 1.37304688]",[0. 0. 0. 0. 0. 0. 0.],background
8,[30 13 18 22 15 29 15 30],[1.40625  0.609375 0.84375  1.03125  0.703125 1.359375 0.703125 1.40625 ],[  0   2 -31 -31 -22 -21 -14   0],"[ 0.          0.11707043 -1.81459166 -1.81459166 -1.28777473 -1.22923951
 -0.81949301  0.        ]",[1093  312   67   30 1180   40 6430 1054],"[-0.30859375 -0.24804688  0.1328125   0.19335938  0.109375    0.25585938
  0.109375    0.26367188]","[1.37304688 0.55664062 0.83398438 1.01367188 0.6953125  1.3359375
 0.6953125  1.38085938]",[0. 0. 0. 0. 0. 0. 0. 0.],background
8,[30 13 14 14 14 54  8 30],[1.40625  0.609375 0.65625  0.65625  0.65625  2.53125  0.375    1.40625 ],[  0   2 -24 -22 -14 -14  -2   0],"[ 0.          0.11707043 -1.40484515 -1.28777473 -0.81949301 -0.81949301
 -0.11707043  0.        ]",[1054  183 1094  821  910   32  136 1002],"[-0.30859375 -0.24804688  0.14453125  0.1640625   0.12304688  0.08007812
  0.05859375  0.22070312]","[1.37304688 0.55664062 0.640625   0.63476562 0.64453125 2.53125
 0.37109375 1.38867188]",[0. 0. 0. 0. 0. 0. 0. 0.],background
