numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label

2,[ 1 25],[0.046875 1.171875],[0 0],[0. 0.],[2839 2027],[-0.04492188  0.03710938],[0.01171875 1.171875  ],[0. 0.],goodBackground

2,[ 1 25],[0.046875 1.171875],[0 0],[0. 0.],[2829 2058],[-0.04492188  0.03710938],[0.01171875 1.171875  ],[0. 0.],goodBackground

2,[ 1 25],[0.046875 1.171875],[0 0],[0. 0.],[2815 2081],[-0.04492188  0.03710938],[0.01171875 1.171875  ],[0. 0.],goodBackground

2,[ 1 25],[0.046875 1.171875],[0 0],[0. 0.],[2807 2147],[-0.04492188  0.03710938],[0.01171875 1.171875  ],[0. 0.],goodBackground

2,[ 1 25],[0.046875 1.171875],[0 0],[0. 0.],[2801 2173],[-0.04492188  0.03710938],[0.01171875 1.171875  ],[0. 0.],goodBackground

2,[ 1 25],[0.046875 1.171875],[0 0],[0. 0.],[2793 2164],[-0.04492188  0.03710938],[0.01171875 1.171875  ],[0. 0.],goodBackground

2,[ 1 25],[0.046875 1.171875],[0 0],[0. 0.],[2794 2182],[-0.04492188  0.03710938],[0.01171875 1.171875  ],[0. 0.],goodBackground

2,[ 1 25],[0.046875 1.171875],[0 0],[0. 0.],[2789 2227],[-0.04492188  0.03710938],[0.01171875 1.171875  ],[0. 0.],goodBackground

2,[ 1 25],[0.046875 1.171875],[0 0],[0. 0.],[2790 2228],[-0.04492188  0.03710938],[0.01171875 1.171875  ],[0. 0.],goodBackground

2,[ 1 25],[0.046875 1.171875],[0 0],[0. 0.],[2780 2223],[-0.04492188  0.03710938],[0.01171875 1.171875  ],[0. 0.],goodBackground

2,[ 1 25],[0.046875 1.171875],[0 0],[0. 0.],[2780 2152],[-0.04492188  0.03710938],[0.01171875 1.171875  ],[0. 0.],goodBackground

