numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
2,[11 33],[0.515625 1.546875],[0 0],[0. 0.],[5311  604],[0.2265625 0.484375 ],[0.46289062 1.46875   ],[0. 0.],goodBackground
4,[10 31 33 10],[0.46875  1.453125 1.546875 0.46875 ],[0 0 0 0],[0. 0. 0. 0.],[6405  623  721 5967],[0.234375   0.31835938 0.33789062 0.05859375],[0.40625    1.41796875 1.50976562 0.46484375],[0. 0. 0. 0.],goodBackground
4,[10 31 33 10],[0.46875  1.453125 1.546875 0.46875 ],[0 0 0 0],[0. 0. 0. 0.],[6443  628  717 5958],[0.22070312 0.31835938 0.33789062 0.04492188],[0.4140625  1.41796875 1.50976562 0.46679688],[0. 0. 0. 0.],goodBackground
4,[10 31 33 10],[0.46875  1.453125 1.546875 0.46875 ],[0 0 0 0],[0. 0. 0. 0.],[6443  632  718 5957],[0.22070312 0.31835938 0.29101562 0.04492188],[0.4140625  1.41796875 1.51953125 0.46679688],[0. 0. 0. 0.],goodBackground
4,[10 31 33 10],[0.46875  1.453125 1.546875 0.46875 ],[0 0 0 0],[0. 0. 0. 0.],[6470  636  712 5955],[0.22070312 0.31835938 0.33789062 0.04492188],[0.4140625  1.41796875 1.50976562 0.46679688],[0. 0. 0. 0.],goodBackground
4,[10 31 33 10],[0.46875  1.453125 1.546875 0.46875 ],[0 0 0 0],[0. 0. 0. 0.],[6465  632  716 5952],[0.22070312 0.31835938 0.29101562 0.04492188],[0.4140625  1.41796875 1.51953125 0.46679688],[0. 0. 0. 0.],goodBackground
4,[10 31 33 10],[0.46875  1.453125 1.546875 0.46875 ],[0 0 0 0],[0. 0. 0. 0.],[6451  618  729 5951],[0.22070312 0.36328125 0.29101562 0.04492188],[0.4140625  1.40625    1.51953125 0.46679688],[0. 0. 0. 0.],goodBackground
4,[10 31 33 10],[0.46875  1.453125 1.546875 0.46875 ],[0 0 0 0],[0. 0. 0. 0.],[6445  608  734 5946],[0.22070312 0.36328125 0.29101562 0.04492188],[0.4140625  1.40625    1.51953125 0.46679688],[0. 0. 0. 0.],goodBackground
4,[10 31 33 10],[0.46875  1.453125 1.546875 0.46875 ],[0 0 0 0],[0. 0. 0. 0.],[6438  598  739 5939],[0.22070312 0.36328125 0.29101562 0.04492188],[0.4140625  1.40625    1.51953125 0.46679688],[0. 0. 0. 0.],goodBackground
4,[10 31 33 10],[0.46875  1.453125 1.546875 0.46875 ],[0 0 0 0],[0. 0. 0. 0.],[6435  590  745 5934],[0.22070312 0.36328125 0.29101562 0.04492188],[0.4140625  1.40625    1.51953125 0.46679688],[0. 0. 0. 0.],goodBackground
