numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
7,[ 1  3 24 47  8  3  8],[0.046875 0.140625 1.125    2.203125 0.375    0.140625 0.375   ],[0 0 0 0 1 0 1],"[0.         0.         0.         0.         0.05853521 0.
 0.05853521]",[ 2595  2342 18487  1188   897  2236   819],"[-0.04492188  0.1015625   0.03515625  0.06835938  0.0703125   0.04492188
  0.2109375 ]","[0.01171875 0.09765625 1.125      2.203125   0.36914062 0.1328125
 0.31054688]",[0. 0. 0. 0. 0. 0. 0.],background
7,[ 1  9 24 47 13  9 13],[0.046875 0.421875 1.125    2.203125 0.609375 0.421875 0.609375],[0 0 0 0 3 0 3],"[0.         0.         0.         0.         0.17560564 0.
 0.17560564]",[ 2523  1474 17116  1080   452  1468   442],"[-0.04492188  0.0390625   0.0703125   0.13867188  0.22851562  0.19726562
  0.        ]","[0.01171875 0.41992188 1.12304688 2.19921875 0.56445312 0.37304688
 0.609375  ]",[0. 0. 0. 0. 0. 0. 0.],background
11,[ 1  3  9 24 47 13 37 34  3  9 13],"[0.046875 0.140625 0.421875 1.125    2.203125 0.609375 1.734375 1.59375
 0.140625 0.421875 0.609375]",[ 0  0  0  0  0  4  4 -3  0  0  4],"[ 0.          0.          0.          0.          0.          0.23414086
  0.23414086 -0.17560564  0.          0.          0.23414086]",[ 2527  2280  1482 16832  1063   785    65    97  2178  1369   606],"[-0.04492188  0.1015625   0.19726562  0.0703125   0.13867188  0.20898438
 -0.0546875   0.19921875  0.04492188  0.0390625  -0.0390625 ]","[0.01171875 0.09765625 0.37304688 1.12304688 2.19921875 0.57226562
 1.734375   1.58203125 0.1328125  0.41992188 0.60742188]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background
8,[ 1  3  9 24 47 14  3  9],[0.046875 0.140625 0.421875 1.125    2.203125 0.65625  0.140625 0.421875],[0 0 0 0 0 4 0 0],"[0.         0.         0.         0.         0.         0.23414086
 0.         0.        ]",[ 2525  2278  1489 16771  1099  1379  2175  1289],"[-0.04492188  0.1015625   0.19726562  0.0703125   0.13867188  0.12304688
  0.04492188  0.0390625 ]","[0.01171875 0.09765625 0.37304688 1.12304688 2.19921875 0.64453125
 0.1328125  0.41992188]",[0. 0. 0. 0. 0. 0. 0. 0.],background
8,[ 1  3  9 24 47 14  3  9],[0.046875 0.140625 0.421875 1.125    2.203125 0.65625  0.140625 0.421875],[0 0 0 0 0 3 0 0],"[0.         0.         0.         0.         0.         0.17560564
 0.         0.        ]",[ 2520  2275  1476 17260  1089   652  2172  1443],"[-0.04492188  0.1015625   0.19726562  0.0703125   0.13867188  0.10351562
  0.04492188  0.0390625 ]","[0.01171875 0.09765625 0.37304688 1.12304688 2.19921875 0.6484375
 0.1328125  0.41992188]",[0. 0. 0. 0. 0. 0. 0. 0.],background
10,[ 1  3  9 24 47 13 15  3  9 13],"[0.046875 0.140625 0.421875 1.125    2.203125 0.609375 0.703125 0.140625
 0.421875 0.609375]",[0 0 0 0 0 2 2 0 0 2],"[0.         0.         0.         0.         0.         0.11707043
 0.11707043 0.         0.         0.11707043]",[ 2527  2278  1521 17255  1052   600   581  2177  1131   433],"[-0.04492188  0.1015625   0.19726562  0.0703125   0.13867188  0.20898438
  0.17578125  0.04492188  0.0390625   0.        ]","[0.01171875 0.09765625 0.37304688 1.12304688 2.19921875 0.57226562
 0.68164062 0.1328125  0.41992188 0.609375  ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background
5,[ 1  9 24 47  9],[0.046875 0.421875 1.125    2.203125 0.421875],[0 0 0 0 0],[0. 0. 0. 0. 0.],[ 2524  1569 17263  1167  1498],[-0.04492188  0.19726562  0.0703125   0.13867188  0.0390625 ],[0.01171875 0.37304688 1.12304688 2.19921875 0.41992188],[0. 0. 0. 0. 0.],background
5,[ 1  9 24 47  9],[0.046875 0.421875 1.125    2.203125 0.421875],[0 0 0 0 0],[0. 0. 0. 0. 0.],[ 2519  1610 16955  1158  1214],[-0.04492188  0.19726562  0.0703125   0.13867188  0.0390625 ],[0.01171875 0.37304688 1.12304688 2.19921875 0.41992188],[0. 0. 0. 0. 0.],background
11,[ 1  3  9 24 47 13 58 14  3  9 58],"[0.046875 0.140625 0.421875 1.125    2.203125 0.609375 2.71875  0.65625
 0.140625 0.421875 2.71875 ]",[ 0  0  0  0  0 -4 -3 -2  0  0 -3],"[ 0.          0.          0.          0.          0.         -0.23414086
 -0.17560564 -0.11707043  0.          0.         -0.17560564]",[ 2523  2273  1691 16713  1038   953    37   858  2170  1524    33],"[-0.04492188  0.1015625   0.19726562  0.0703125   0.13867188  0.19140625
  0.59570312  0.12304688  0.04492188  0.0390625   2.29492188]","[0.01171875 0.09765625 0.37304688 1.12304688 2.19921875 0.578125
 2.65234375 0.64453125 0.1328125  0.41992188 1.45898438]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background
8,[ 1  9 24 47 13 13 58  9],[0.046875 0.421875 1.125    2.203125 0.609375 0.609375 2.71875  0.421875],[ 0  0  0  0 -5 -3 -3  0],"[ 0.          0.          0.          0.         -0.29267607 -0.17560564
 -0.17560564  0.        ]",[ 2519  1704 16607  1110   358   563    45  1559],"[-0.04492188  0.19726562  0.0703125   0.06835938  0.15234375  0.171875
 -2.125       0.0390625 ]","[0.01171875 0.37304688 1.12304688 2.203125   0.58984375 0.58398438
 1.69726562 0.41992188]",[0. 0. 0. 0. 0. 0. 0. 0.],background
