numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
3,[ 1 15 52],[0.046875 0.703125 2.4375  ],[0 0 0],[0. 0. 0.],[2631 4035 6366],[-0.04492188  0.02148438  0.15234375],[0.01171875 0.703125   2.43359375],[0. 0. 0.],slideDown
5,[ 1 15 52 44 14],[0.046875 0.703125 2.4375   2.0625   0.65625 ],[ 0  0  0 -5 -3],[ 0.          0.          0.         -0.29267607 -0.17560564],[2542 3902 6559   32 1591],[-0.04492188  0.02148438  0.15234375  0.12890625  0.02148438],[0.01171875 0.703125   2.43359375 2.05859375 0.65625   ],[0. 0. 0. 0. 0.],background
3,[ 1 15 52],[0.046875 0.703125 2.4375  ],[0 0 0],[0. 0. 0.],[2516 3900 6189],[-0.04492188  0.04492188  0.15234375],[0.01171875 0.70117188 2.43359375],[0. 0. 0.],background
3,[ 1 15 52],[0.046875 0.703125 2.4375  ],[0 0 0],[0. 0. 0.],[2517 3893 6186],[-0.04492188  0.04492188  0.15234375],[0.01171875 0.70117188 2.43359375],[0. 0. 0.],background
3,[ 1 15 52],[0.046875 0.703125 2.4375  ],[0 0 0],[0. 0. 0.],[2519 3895 6189],[-0.04492188  0.02148438  0.15234375],[0.01171875 0.703125   2.43359375],[0. 0. 0.],background
3,[ 1 15 52],[0.046875 0.703125 2.4375  ],[0 0 0],[0. 0. 0.],[2516 3893 6190],[-0.04492188  0.02148438  0.15234375],[0.01171875 0.703125   2.43359375],[0. 0. 0.],background
3,[ 1 15 52],[0.046875 0.703125 2.4375  ],[0 0 0],[0. 0. 0.],[2514 3897 6193],[-0.04492188  0.04492188  0.15234375],[0.01171875 0.70117188 2.43359375],[0. 0. 0.],background
3,[ 1 15 52],[0.046875 0.703125 2.4375  ],[0 0 0],[0. 0. 0.],[2515 3906 6194],[-0.04492188  0.04492188  0.15234375],[0.01171875 0.70117188 2.43359375],[0. 0. 0.],background
3,[ 1 15 52],[0.046875 0.703125 2.4375  ],[0 0 0],[0. 0. 0.],[2517 3914 6196],[-0.04492188  0.04492188  0.15234375],[0.01171875 0.70117188 2.43359375],[0. 0. 0.],background
3,[ 1 15 52],[0.046875 0.703125 2.4375  ],[0 0 0],[0. 0. 0.],[2517 3917 6197],[-0.04492188  0.04492188  0.15234375],[0.01171875 0.70117188 2.43359375],[0. 0. 0.],background
