numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label

5,[ 3 14 37  3 14],[0.140625 0.65625  1.734375 0.140625 0.65625 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2183  311 7689 2001  270],[0.03515625 0.         0.109375   0.09179688 0.24609375],[0.13671875 0.65625    1.73046875 0.10546875 0.609375  ],[0. 0. 0. 0. 0.],background

3,[ 3 37  3],[0.140625 1.734375 0.140625],[0 0 0],[0. 0. 0.],[2172 7614 1991],[0.03515625 0.109375   0.09179688],[0.13671875 1.73046875 0.10546875],[0. 0. 0.],background

5,[ 3 15 37  3 15],[0.140625 0.703125 1.734375 0.140625 0.703125],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2188  313 7566 2028  252],[0.03515625 0.02148438 0.109375   0.09179688 0.28515625],[0.13671875 0.703125   1.73046875 0.10546875 0.64257812],[0. 0. 0. 0. 0.],background

5,[ 3 14 37  3 14],[0.140625 0.65625  1.734375 0.140625 0.65625 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2435  352 7403 2269  288],[0.0390625  0.26757812 0.109375   0.09179688 0.04101562],[0.13476562 0.59960938 1.73046875 0.10546875 0.65429688],[0. 0. 0. 0. 0.],background

5,[ 3 14 37  3 14],[0.140625 0.65625  1.734375 0.140625 0.65625 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2321  396 7353 2163  335],[0.0390625  0.28710938 0.109375   0.09179688 0.0625    ],[0.13476562 0.58984375 1.73046875 0.10546875 0.65429688],[0. 0. 0. 0. 0.],background

3,[ 3 37  3],[0.140625 1.734375 0.140625],[0 0 0],[0. 0. 0.],[2363 7263 2203],[0.0390625  0.109375   0.09179688],[0.13476562 1.73046875 0.10546875],[0. 0. 0.],background

3,[ 3 37  3],[0.140625 1.734375 0.140625],[0 0 0],[0. 0. 0.],[2165 7276 2013],[0.03515625 0.109375   0.09179688],[0.13671875 1.73046875 0.10546875],[0. 0. 0.],background

5,[ 3 15 37  3 15],[0.140625 0.703125 1.734375 0.140625 0.703125],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2215  327 7313 2064  251],[0.03515625 0.04492188 0.109375   0.09179688 0.30859375],[0.13671875 0.70117188 1.73046875 0.10546875 0.6328125 ],[0. 0. 0. 0. 0.],background

4,[ 3 14 37  3],[0.140625 0.65625  1.734375 0.140625],[0 0 0 0],[0. 0. 0. 0.],[2143  416 7439 1981],[0.03515625 0.04101562 0.109375   0.09179688],[0.13671875 0.65429688 1.73046875 0.10546875],[0. 0. 0. 0.],background

3,[ 3 37  3],[0.140625 1.734375 0.140625],[0 0 0],[0. 0. 0.],[2145 7504 1979],[0.03515625 0.109375   0.09179688],[0.13671875 1.73046875 0.10546875],[0. 0. 0.],background

3,[ 3 37  3],[0.140625 1.734375 0.140625],[0 0 0],[0. 0. 0.],[2141 7543 1971],[0.03515625 0.109375   0.09179688],[0.13671875 1.73046875 0.10546875],[0. 0. 0.],background

4,[ 3 14 37  3],[0.140625 0.65625  1.734375 0.140625],[0 0 0 0],[0. 0. 0. 0.],[2141  546 7538 1969],[0.03515625 0.0625     0.109375   0.09179688],[0.13671875 0.65429688 1.73046875 0.10546875],[0. 0. 0. 0.],background

3,[ 3 37  3],[0.140625 1.734375 0.140625],[0 0 0],[0. 0. 0.],[2143 7528 1970],[0.03515625 0.109375   0.09179688],[0.13671875 1.73046875 0.10546875],[0. 0. 0.],background

5,[ 3 14 37  3 14],[0.140625 0.65625  1.734375 0.140625 0.65625 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2141  394 7542 1965  363],[ 0.03515625  0.26757812  0.109375    0.09179688 -0.34960938],[0.13671875 0.59960938 1.73046875 0.10546875 0.55664062],[0. 0. 0. 0. 0.],background

5,[ 3 14 37  3 14],[0.140625 0.65625  1.734375 0.140625 0.65625 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2139  429 7523 1964  353],[ 0.03515625  0.24609375  0.109375    0.09179688 -0.34960938],[0.13671875 0.609375   1.73046875 0.10546875 0.55664062],[0. 0. 0. 0. 0.],background

3,[ 3 37  3],[0.140625 1.734375 0.140625],[0 0 0],[0. 0. 0.],[2137 7437 1964],[0.03515625 0.109375   0.09179688],[0.13671875 1.73046875 0.10546875],[0. 0. 0.],background

5,[ 3 14 37  3 14],[0.140625 0.65625  1.734375 0.140625 0.65625 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2137  333 7366 1964  317],[ 0.03515625 -0.08203125  0.109375    0.09179688  0.10351562],[0.13671875 0.65039062 1.73046875 0.10546875 0.6484375 ],[0. 0. 0. 0. 0.],background

3,[ 3 37  3],[0.140625 1.734375 0.140625],[0 0 0],[0. 0. 0.],[2133 7246 1960],[0.03515625 0.109375   0.09179688],[0.13671875 1.73046875 0.10546875],[0. 0. 0.],background

3,[ 3 37  3],[0.140625 1.734375 0.140625],[0 0 0],[0. 0. 0.],[2132 7236 1960],[0.03515625 0.109375   0.09179688],[0.13671875 1.73046875 0.10546875],[0. 0. 0.],background

3,[ 3 37  3],[0.140625 1.734375 0.140625],[0 0 0],[0. 0. 0.],[2133 7295 1962],[0.03515625 0.109375   0.09179688],[0.13671875 1.73046875 0.10546875],[0. 0. 0.],background

5,[ 3 14 37  3 14],[0.140625 0.65625  1.734375 0.140625 0.65625 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2132  384 7285 1960  372],[0.03515625 0.26757812 0.109375   0.09179688 0.02148438],[0.13671875 0.59960938 1.73046875 0.10546875 0.65625   ],[0. 0. 0. 0. 0.],background

5,[ 3 14 37  3 14],[0.140625 0.65625  1.734375 0.140625 0.65625 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2130  370 7243 1958  365],[0.03515625 0.02148438 0.109375   0.09179688 0.26757812],[0.13671875 0.65625    1.73046875 0.10546875 0.59960938],[0. 0. 0. 0. 0.],background

6,[ 3 15 37 39  3 15],[0.140625 0.703125 1.734375 1.828125 0.140625 0.703125],[ 0  0  0 -3  0  0],[ 0.          0.          0.         -0.17560564  0.          0.        ],[2128  290 7236   27 1956  236],[ 0.03515625  0.28515625  0.109375   -0.68554688  0.09179688 -0.37304688],[0.13671875 0.64257812 1.73046875 1.6953125  0.10546875 0.59570312],[0. 0. 0. 0. 0. 0.],background

5,[ 3 15 37  3 15],[0.140625 0.703125 1.734375 0.140625 0.703125],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2130  289 7276 1957  231],[0.03515625 0.33007812 0.109375   0.09179688 0.06640625],[0.13671875 0.62109375 1.73046875 0.10546875 0.69921875],[0. 0. 0. 0. 0.],background

5,[ 3 14 37  3 14],[0.140625 0.65625  1.734375 0.140625 0.65625 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2129  402 7284 1949  287],[0.03515625 0.24609375 0.109375   0.09179688 0.02148438],[0.13671875 0.609375   1.73046875 0.10546875 0.65625   ],[0. 0. 0. 0. 0.],background

4,[ 3 14 37  3],[0.140625 0.65625  1.734375 0.140625],[0 0 0 0],[0. 0. 0. 0.],[2128  372 7276 1950],[0.03515625 0.24609375 0.109375   0.09179688],[0.13671875 0.609375   1.73046875 0.10546875],[0. 0. 0. 0.],background

6,[ 3 14 37 12  3 14],[0.140625 0.65625  1.734375 0.5625   0.140625 0.65625 ],[0 0 0 3 0 0],[0.         0.         0.         0.17560564 0.         0.        ],[2129  418 7314  143 1952  396],[0.03515625 0.         0.109375   0.45703125 0.09179688 0.24609375],[0.13671875 0.65625    1.73046875 0.328125   0.10546875 0.609375  ],[0. 0. 0. 0. 0. 0.],background

5,[ 3 14 37  3 14],[0.140625 0.65625  1.734375 0.140625 0.65625 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2128  354 7359 1950  261],[0.03515625 0.24609375 0.109375   0.09179688 0.        ],[0.13671875 0.609375   1.73046875 0.10546875 0.65625   ],[0. 0. 0. 0. 0.],background

6,[ 3 14 37 15  3 15],[0.140625 0.65625  1.734375 0.703125 0.140625 0.703125],[0 0 0 2 0 2],[0.         0.         0.         0.11707043 0.         0.11707043],[2125  330 7400  294 1949  235],[ 0.03515625  0.26757812  0.109375   -0.04492188  0.09179688 -0.30859375],[0.13671875 0.59960938 1.73046875 0.70117188 0.10546875 0.6328125 ],[0. 0. 0. 0. 0. 0.],background

