numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
6,[ 9 24  7 12 39  7],[0.421875 1.125    0.328125 0.5625   1.828125 0.328125],[ 0  0  2  3 -2  2],[ 0.          0.          0.11707043  0.17560564 -0.11707043  0.11707043],[ 3234 21339  1545   305   173  1183],[ 0.10546875  0.0703125   0.0625     -0.03515625  0.171875   -0.0625    ],[0.40820312 1.12304688 0.32226562 0.56054688 1.8203125  0.32226562],[0. 0. 0. 0. 0. 0.],background
9,[ 3  7 24 55  8  3  7 55  8],"[0.140625 0.328125 1.125    2.578125 0.375    0.140625 0.328125 2.578125
 0.375   ]",[ 0  0  0 -3 -2  0  0 -3 -2],"[ 0.          0.          0.         -0.17560564 -0.11707043  0.
  0.         -0.17560564 -0.11707043]",[2098 1197 6487   59 2302 1934 1107   48 2211],"[ 0.09765625  0.0625      0.0703125  -2.25585938 -0.0234375   0.04492188
  0.18554688  1.93359375  0.1171875 ]","[0.1015625  0.32226562 1.12304688 1.24804688 0.375      0.1328125
 0.27148438 1.70507812 0.35546875]",[0. 0. 0. 0. 0. 0. 0. 0. 0.],background
7,[ 3  7 24  8 13  3  8],[0.140625 0.328125 1.125    0.375    0.609375 0.140625 0.375   ],[ 0  0  0 -2 -2  0 -2],"[ 0.          0.          0.         -0.11707043 -0.11707043  0.
 -0.11707043]",[2098 1020 3644 2125  487 1936 1646],"[ 0.09765625  0.08203125  0.          0.10546875  0.07617188  0.04492188
 -0.03515625]","[0.1015625  0.31835938 1.125      0.359375   0.60546875 0.1328125
 0.37304688]",[0. 0. 0. 0. 0. 0. 0.],background
3,[25  7  7],[1.171875 0.328125 0.328125],[ 0 -1 -1],[ 0.         -0.05853521 -0.05853521],[3081 2820 2297],[ 0.03710938  0.0625     -0.0625    ],[1.171875   0.32226562 0.32226562],[0. 0. 0.],background
3,[ 7 25 25],[0.328125 1.171875 1.171875],[0 0 0],[0. 0. 0.],[3437 1637 1346],[0.05078125 0.03710938 0.4765625 ],[0.32421875 1.171875   1.0703125 ],[0. 0. 0.],background
4,[ 7 25  7 25],[0.328125 1.171875 0.328125 1.171875],[0 0 0 0],[0. 0. 0. 0.],[1497 1680 1192 1247],[ 0.09179688  0.         -0.02148438  0.43945312],[0.31445312 1.171875   0.328125   1.0859375 ],[0. 0. 0. 0.],background
4,[ 7 25  7 25],[0.328125 1.171875 0.328125 1.171875],[0 0 0 0],[0. 0. 0. 0.],[2753 2012 2623 1777],[-0.09179688  0.          0.02148438  0.43945312],[0.31445312 1.171875   0.328125   1.0859375 ],[0. 0. 0. 0.],background
6,[ 3  6 25  3  6 25],[0.140625 0.28125  1.171875 0.140625 0.28125  1.171875],[0 0 0 0 0 0],[0. 0. 0. 0. 0. 0.],[2093 4384 2029 1930 3625 1723],[ 0.09765625  0.03515625  0.          0.04492188 -0.0703125   0.43945312],[0.1015625  0.27929688 1.171875   0.1328125  0.27148438 1.0859375 ],[0. 0. 0. 0. 0. 0.],background
4,[ 6  8 25 25],[0.28125  0.375    1.171875 1.171875],[0 0 0 0],[0. 0. 0. 0.],[2296 2587 1755 1255],[-0.01757812  0.046875    0.03710938  0.4765625 ],[0.28125    0.37304688 1.171875   1.0703125 ],[0. 0. 0. 0.],background
4,[ 6 26  6 26],[0.28125 1.21875 0.28125 1.21875],[0 0 0 0],[0. 0. 0. 0.],[3465 1398 2540 1183],[ 0.04492188  0.         -0.05273438  0.45703125],[0.27734375 1.21875    0.27539062 1.13085938],[0. 0. 0. 0.],background
