numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
11,[ 1  3 24 47  9  9 32 39  3  9  9],"[0.046875 0.140625 1.125    2.203125 0.421875 0.421875 1.5      1.828125
 0.140625 0.421875 0.421875]",[ 0  0  0  0  3  6  6 -2  0  3  6],"[ 0.          0.          0.          0.          0.17560564  0.35121129
  0.35121129 -0.11707043  0.          0.17560564  0.35121129]",[ 2543  2251 16468  1136   849  1750    29   197  2130   830  1652],"[-0.04492188  0.1015625   0.0703125   0.13867188  0.22460938  0.2109375
  0.046875    0.28515625  0.04492188  0.06640625  0.05273438]","[0.01171875 0.09765625 1.12304688 2.19921875 0.35742188 0.36523438
 1.5        1.80664062 0.1328125  0.41601562 0.41796875]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background
13,[ 1  3 24 47 18 18 27 40 18 18 30  3 18],"[0.046875 0.140625 1.125    2.203125 0.84375  0.84375  1.265625 1.875
 0.84375  0.84375  1.40625  0.140625 0.84375 ]",[  0   0   0   0   3   5   5   6  14  16 -12   0  16],"[ 0.          0.          0.          0.          0.17560564  0.29267607
  0.29267607  0.35121129  0.81949301  0.93656344 -0.70242258  0.
  0.93656344]","[ 2481  2194 16849  1094    54    55    70    59   443   347   135  2079
   282]","[-0.04492188  0.1015625   0.0703125   0.13867188 -0.10546875  0.
  0.08007812  0.1171875  -0.08007812 -0.02734375  0.          0.04492188
 -0.34375   ]","[0.01171875 0.09765625 1.12304688 2.19921875 0.83789062 0.84375
 1.26367188 1.87109375 0.83984375 0.84375    1.40625    0.1328125
 0.77148438]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background
10,[ 1  3 24 47 18 20 24 29  3 24],"[0.046875 0.140625 1.125    2.203125 0.84375  0.9375   1.125    1.359375
 0.140625 1.125   ]",[ 0  0  0  0  5  9 10 -8  0 10],"[ 0.          0.          0.          0.          0.29267607  0.52681693
  0.58535215 -0.46828172  0.          0.58535215]",[ 2477  2192 17165  1116   632   765    40    97  2076    36],"[-0.04492188  0.1015625   0.0703125   0.13867188  0.05273438  0.
 -1.08984375  0.          0.04492188 -0.421875  ]","[0.01171875 0.09765625 1.12304688 2.19921875 0.84179688 0.9375
 0.27929688 1.359375   0.1328125  1.04296875]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background
13,[ 1  3 24 47 19 19 56 20 44 29 32  3 29],"[0.046875 0.140625 1.125    2.203125 0.890625 0.890625 2.625    0.9375
 2.0625   1.359375 1.5      0.140625 1.359375]",[ 0  0  0  0  2  4  5  7  7 -4 -4  0 -4],"[ 0.          0.          0.          0.          0.11707043  0.23414086
  0.29267607  0.4097465   0.4097465  -0.23414086 -0.23414086  0.
 -0.23414086]","[ 2480  2193 17013  1101   155   164    45   919    36    20    69  2077
    18]","[-0.04492188  0.1015625   0.0703125   0.13867188  0.05664062  0.
  2.54296875  0.          0.06445312 -0.46679688  0.          0.04492188
  0.04296875]","[0.01171875 0.09765625 1.12304688 2.19921875 0.88867188 0.890625
 0.65039062 0.9375     2.0625     1.27734375 1.5        0.1328125
 1.359375  ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background
5,[ 1  3 24 47  3],[0.046875 0.140625 1.125    2.203125 0.140625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[ 2479  2194 16990  1080  2076],[-0.04492188  0.1015625   0.0703125   0.13867188  0.04492188],[0.01171875 0.09765625 1.12304688 2.19921875 0.1328125 ],[0. 0. 0. 0. 0.],background
5,[ 1  3 24 47  3],[0.046875 0.140625 1.125    2.203125 0.140625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[ 2478  2191 16763  1069  2075],[-0.04492188  0.1015625   0.0703125   0.13867188  0.04492188],[0.01171875 0.09765625 1.12304688 2.19921875 0.1328125 ],[0. 0. 0. 0. 0.],background
5,[ 1  3 24 47  3],[0.046875 0.140625 1.125    2.203125 0.140625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[ 2474  2190 16890  1074  2074],[-0.04492188  0.1015625   0.0703125   0.13867188  0.04492188],[0.01171875 0.09765625 1.12304688 2.19921875 0.1328125 ],[0. 0. 0. 0. 0.],background
12,[ 1  3 24 47 28 32 20 44 24 20 18  3],"[0.046875 0.140625 1.125    2.203125 1.3125   1.5      0.9375   2.0625
 1.125    0.9375   0.84375  0.140625]",[ 0  0  0  0  5  6 -6 -6 -5 -4 -2  0],"[ 0.          0.          0.          0.          0.29267607  0.35121129
 -0.35121129 -0.35121129 -0.29267607 -0.23414086 -0.11707043  0.        ]",[ 2478  2192 17405  1067   106    28   317    29    27   214   279  2074],"[-0.04492188  0.1015625   0.0703125   0.13867188  0.04101562  0.046875
  0.02929688  0.06445312  0.0703125   0.05859375  0.05273438  0.04492188]","[0.01171875 0.09765625 1.12304688 2.19921875 1.3125     1.5
 0.9375     2.0625     1.12304688 0.93554688 0.84179688 0.1328125 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background
7,[ 1  3 24 47 43 19  3],[0.046875 0.140625 1.125    2.203125 2.015625 0.890625 0.140625],[ 0  0  0  0 -6 -5  0],"[ 0.          0.          0.          0.         -0.35121129 -0.29267607
  0.        ]",[ 2482  2190 17874  1067    40   276  2073],"[-0.04492188  0.1015625   0.0703125   0.13867188  0.12695312  0.05664062
  0.04492188]","[0.01171875 0.09765625 1.12304688 2.19921875 2.01171875 0.88867188
 0.1328125 ]",[0. 0. 0. 0. 0. 0. 0.],background
12,[ 1  3 24 47 30 18 29 19 18 18  3 30],"[0.046875 0.140625 1.125    2.203125 1.40625  0.84375  1.359375 0.890625
 0.84375  0.84375  0.140625 1.40625 ]",[  0   0   0   0  15 -15 -15 -12  -9  -3   0  15],"[ 0.          0.          0.          0.          0.87802822 -0.87802822
 -0.87802822 -0.70242258 -0.52681693 -0.17560564  0.          0.87802822]",[ 2481  2189 17684  1053    50    30    40   145   146    86  2075    36],"[-0.04492188  0.1015625   0.0703125   0.13867188  0.17578125  0.08007812
  0.25585938  0.13867188  0.1328125   0.15820312  0.04492188 -0.3515625 ]","[0.01171875 0.09765625 1.12304688 2.19921875 1.39453125 0.83984375
 1.3359375  0.87890625 0.83398438 0.828125   0.1328125  1.36132812]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background
10,[ 1  3 24 47 25 31 17 17 18  3],"[0.046875 0.140625 1.125    2.203125 1.171875 1.453125 0.796875 0.796875
 0.84375  0.140625]",[  0   0   0   0   3  17 -13  -8  -2   0],"[ 0.          0.          0.          0.          0.17560564  0.99509865
 -0.76095779 -0.46828172 -0.11707043  0.        ]",[ 2480  2189 17573  1052    81    56   231   185   221  2073],"[-0.04492188  0.1015625   0.0703125   0.13867188  0.14648438  0.2265625
  0.15039062  0.15039062  0.10546875  0.04492188]","[0.01171875 0.09765625 1.12304688 2.19921875 1.16210938 1.43554688
 0.78320312 0.78320312 0.83789062 0.1328125 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background
