numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
7,[10 25 49 13 15 10 13],[0.46875  1.171875 2.296875 0.609375 0.703125 0.46875  0.609375],[ 0  0  0  3 -4  0  3],"[ 0.          0.          0.          0.17560564 -0.23414086  0.
  0.17560564]",[ 1875 10236  1189    68    62  1815    49],"[ 0.04492188  0.109375    0.07226562  0.22851562  0.109375   -0.14648438
 -0.34375   ]","[0.46679688 1.16601562 2.296875   0.56445312 0.6953125  0.4453125
 0.50390625]",[0. 0. 0. 0. 0. 0. 0.],background
4,[10 25 49 10],[0.46875  1.171875 2.296875 0.46875 ],[0 0 0 0],[0. 0. 0. 0.],[ 1695 10039  1235  1584],[-0.14648438  0.07421875  0.07226562  0.04492188],[0.4453125  1.16992188 2.296875   0.46679688],[0. 0. 0. 0.],background
4,[10 25 49 10],[0.46875  1.171875 2.296875 0.46875 ],[0 0 0 0],[0. 0. 0. 0.],[1794 9953 1232 1717],[-0.14648438  0.07421875  0.07226562  0.04492188],[0.4453125  1.16992188 2.296875   0.46679688],[0. 0. 0. 0.],background
4,[10 25 49 10],[0.46875  1.171875 2.296875 0.46875 ],[0 0 0 0],[0. 0. 0. 0.],[1762 9903 1223 1749],[-0.14648438  0.07421875  0.07226562  0.04492188],[0.4453125  1.16992188 2.296875   0.46679688],[0. 0. 0. 0.],background
4,[10 25 49 10],[0.46875  1.171875 2.296875 0.46875 ],[0 0 0 0],[0. 0. 0. 0.],[1831 9850 1238 1826],[ 0.04492188  0.07421875  0.07226562 -0.14648438],[0.46679688 1.16992188 2.296875   0.4453125 ],[0. 0. 0. 0.],background
4,[10 25 49 10],[0.46875  1.171875 2.296875 0.46875 ],[0 0 0 0],[0. 0. 0. 0.],[1660 9800 1195 1639],[-0.14648438  0.07421875  0.07226562  0.04492188],[0.4453125  1.16992188 2.296875   0.46679688],[0. 0. 0. 0.],background
4,[10 25 49 10],[0.46875  1.171875 2.296875 0.46875 ],[0 0 0 0],[0. 0. 0. 0.],[1788 9756 1205 1746],[ 0.04492188  0.07421875  0.07226562 -0.14648438],[0.46679688 1.16992188 2.296875   0.4453125 ],[0. 0. 0. 0.],background
4,[10 25 49 10],[0.46875  1.171875 2.296875 0.46875 ],[0 0 0 0],[0. 0. 0. 0.],[1714 9724 1209 1703],[ 0.04492188  0.07421875  0.07226562 -0.14648438],[0.46679688 1.16992188 2.296875   0.4453125 ],[0. 0. 0. 0.],background
4,[10 25 49 10],[0.46875  1.171875 2.296875 0.46875 ],[0 0 0 0],[0. 0. 0. 0.],[1736 9708 1222 1694],[-0.14648438  0.07421875  0.07226562  0.04492188],[0.4453125  1.16992188 2.296875   0.46679688],[0. 0. 0. 0.],background
4,[10 25 49 10],[0.46875  1.171875 2.296875 0.46875 ],[0 0 0 0],[0. 0. 0. 0.],[1744 9753 1220 1744],[ 0.04492188  0.07421875  0.07226562 -0.14648438],[0.46679688 1.16992188 2.296875   0.4453125 ],[0. 0. 0. 0.],background
4,[10 25 49 10],[0.46875  1.171875 2.296875 0.46875 ],[0 0 0 0],[0. 0. 0. 0.],[1734 9746 1215 1732],[ 0.04492188  0.07421875  0.07226562 -0.14648438],[0.46679688 1.16992188 2.296875   0.4453125 ],[0. 0. 0. 0.],background
4,[10 25 49 10],[0.46875  1.171875 2.296875 0.46875 ],[0 0 0 0],[0. 0. 0. 0.],[1740 9809 1213 1728],[-0.14648438  0.07421875  0.07226562  0.04492188],[0.4453125  1.16992188 2.296875   0.46679688],[0. 0. 0. 0.],background
4,[10 25 49 10],[0.46875  1.171875 2.296875 0.46875 ],[0 0 0 0],[0. 0. 0. 0.],[1732 9849 1205 1729],[ 0.04492188  0.109375    0.07226562 -0.14648438],[0.46679688 1.16601562 2.296875   0.4453125 ],[0. 0. 0. 0.],background
4,[10 25 49 10],[0.46875  1.171875 2.296875 0.46875 ],[0 0 0 0],[0. 0. 0. 0.],[1769 9708 1223 1697],[-0.14648438  0.07421875  0.07226562  0.04492188],[0.4453125  1.16992188 2.296875   0.46679688],[0. 0. 0. 0.],background
4,[10 25 49 10],[0.46875  1.171875 2.296875 0.46875 ],[0 0 0 0],[0. 0. 0. 0.],[1804 9651 1232 1673],[-0.14648438  0.07421875  0.07226562  0.04492188],[0.4453125  1.16992188 2.296875   0.46679688],[0. 0. 0. 0.],background
4,[10 25 49 10],[0.46875  1.171875 2.296875 0.46875 ],[0 0 0 0],[0. 0. 0. 0.],[1779 9692 1218 1691],[-0.14648438  0.07421875  0.07226562  0.04492188],[0.4453125  1.16992188 2.296875   0.46679688],[0. 0. 0. 0.],background
4,[10 25 49 10],[0.46875  1.171875 2.296875 0.46875 ],[0 0 0 0],[0. 0. 0. 0.],[1760 9860 1178 1747],[ 0.04492188  0.109375    0.07226562 -0.14648438],[0.46679688 1.16601562 2.296875   0.4453125 ],[0. 0. 0. 0.],background
