numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
5,[ 1 18 39 43 43],[0.046875 0.84375  1.828125 2.015625 2.015625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2670  176 2356 1685 1546],[-0.04492188  0.          0.         -0.44140625  0.31445312],[0.01171875 0.84375    1.828125   1.96679688 1.99023438],[0. 0. 0. 0. 0.],background
5,[ 1 18 39 43 43],[0.046875 0.84375  1.828125 2.015625 2.015625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2610  397 2318 1646 1513],[-0.04492188  0.          0.         -0.44140625  0.31445312],[0.01171875 0.84375    1.828125   1.96679688 1.99023438],[0. 0. 0. 0. 0.],background
5,[ 1 18 39 43 43],[0.046875 0.84375  1.828125 2.015625 2.015625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2600  391 2313 1646 1514],[-0.04492188  0.          0.         -0.44140625  0.31445312],[0.01171875 0.84375    1.828125   1.96679688 1.99023438],[0. 0. 0. 0. 0.],background
5,[ 1 18 39 43 43],[0.046875 0.84375  1.828125 2.015625 2.015625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2606  392 2313 1645 1515],[-0.04492188  0.          0.         -0.44140625  0.31445312],[0.01171875 0.84375    1.828125   1.96679688 1.99023438],[0. 0. 0. 0. 0.],background
5,[ 1 18 39 43 43],[0.046875 0.84375  1.828125 2.015625 2.015625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2603  390 2312 1643 1513],[-0.04492188  0.          0.         -0.44140625  0.31445312],[0.01171875 0.84375    1.828125   1.96679688 1.99023438],[0. 0. 0. 0. 0.],background
5,[ 1 18 39 43 43],[0.046875 0.84375  1.828125 2.015625 2.015625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2604  401 2315 1648 1508],[-0.04492188  0.          0.         -0.44140625  0.31445312],[0.01171875 0.84375    1.828125   1.96679688 1.99023438],[0. 0. 0. 0. 0.],background
5,[ 1 18 39 43 43],[0.046875 0.84375  1.828125 2.015625 2.015625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2604  412 2312 1651 1512],[-0.04492188  0.          0.         -0.44140625  0.31445312],[0.01171875 0.84375    1.828125   1.96679688 1.99023438],[0. 0. 0. 0. 0.],background
5,[ 1 18 39 43 43],[0.046875 0.84375  1.828125 2.015625 2.015625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2601  396 2309 1651 1516],[-0.04492188  0.          0.         -0.44140625  0.31445312],[0.01171875 0.84375    1.828125   1.96679688 1.99023438],[0. 0. 0. 0. 0.],background
5,[ 1 18 39 43 43],[0.046875 0.84375  1.828125 2.015625 2.015625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2601  391 2311 1646 1511],[-0.04492188  0.          0.         -0.44140625  0.31445312],[0.01171875 0.84375    1.828125   1.96679688 1.99023438],[0. 0. 0. 0. 0.],background
5,[ 1 18 39 43 43],[0.046875 0.84375  1.828125 2.015625 2.015625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2600  377 2309 1648 1510],[-0.04492188  0.          0.         -0.44140625  0.31445312],[0.01171875 0.84375    1.828125   1.96679688 1.99023438],[0. 0. 0. 0. 0.],background
5,[ 1 18 39 43 43],[0.046875 0.84375  1.828125 2.015625 2.015625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2599  396 2303 1657 1511],[-0.04492188  0.          0.         -0.44140625  0.31445312],[0.01171875 0.84375    1.828125   1.96679688 1.99023438],[0. 0. 0. 0. 0.],background
5,[ 1 18 39 43 43],[0.046875 0.84375  1.828125 2.015625 2.015625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2598  364 2293 1652 1513],[-0.04492188  0.          0.         -0.44140625  0.31445312],[0.01171875 0.84375    1.828125   1.96679688 1.99023438],[0. 0. 0. 0. 0.],background
5,[ 1 18 39 43 43],[0.046875 0.84375  1.828125 2.015625 2.015625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2603  344 2292 1651 1512],[-0.04492188  0.          0.         -0.44140625  0.31445312],[0.01171875 0.84375    1.828125   1.96679688 1.99023438],[0. 0. 0. 0. 0.],background
7,[ 1 18 22 39 43 22 43],[0.046875 0.84375  1.03125  1.828125 2.015625 1.03125  2.015625],[0 0 0 0 0 0 0],[0. 0. 0. 0. 0. 0. 0.],[2597  342   81 2289 1657   72 1510],"[-0.04492188  0.          0.06445312  0.         -0.44140625 -0.32226562
  0.31445312]","[0.01171875 0.84375    1.02929688 1.828125   1.96679688 0.98046875
 1.99023438]",[0. 0. 0. 0. 0. 0. 0.],background
7,[ 1 18 22 39 43 22 43],[0.046875 0.84375  1.03125  1.828125 2.015625 1.03125  2.015625],[0 0 0 0 0 0 0],[0. 0. 0. 0. 0. 0. 0.],[2594  332   79 2287 1657   74 1510],"[-0.04492188  0.          0.06445312  0.         -0.44140625 -0.32226562
  0.31445312]","[0.01171875 0.84375    1.02929688 1.828125   1.96679688 0.98046875
 1.99023438]",[0. 0. 0. 0. 0. 0. 0.],background
7,[ 1 18 22 39 43 22 43],[0.046875 0.84375  1.03125  1.828125 2.015625 1.03125  2.015625],[0 0 0 0 0 0 0],[0. 0. 0. 0. 0. 0. 0.],[2595  305   83 2287 1657   73 1509],"[-0.04492188  0.          0.06445312  0.         -0.44140625 -0.32226562
  0.31445312]","[0.01171875 0.84375    1.02929688 1.828125   1.96679688 0.98046875
 1.99023438]",[0. 0. 0. 0. 0. 0. 0.],background
5,[ 1 18 39 43 43],[0.046875 0.84375  1.828125 2.015625 2.015625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2598  280 2287 1659 1508],[-0.04492188  0.          0.         -0.44140625  0.31445312],[0.01171875 0.84375    1.828125   1.96679688 1.99023438],[0. 0. 0. 0. 0.],background
5,[ 1 18 39 43 43],[0.046875 0.84375  1.828125 2.015625 2.015625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2601  262 2285 1661 1508],[-0.04492188  0.          0.         -0.44140625  0.31445312],[0.01171875 0.84375    1.828125   1.96679688 1.99023438],[0. 0. 0. 0. 0.],background
5,[ 1 18 39 43 43],[0.046875 0.84375  1.828125 2.015625 2.015625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2595  254 2278 1660 1508],[-0.04492188  0.02734375  0.         -0.44140625  0.31445312],[0.01171875 0.84375    1.828125   1.96679688 1.99023438],[0. 0. 0. 0. 0.],background
7,[ 1 18 22 39 43 22 43],[0.046875 0.84375  1.03125  1.828125 2.015625 1.03125  2.015625],[0 0 0 0 0 0 0],[0. 0. 0. 0. 0. 0. 0.],[2593  256   81 2280 1660   74 1507],"[-0.04492188  0.02734375  0.06445312  0.         -0.44140625 -0.32226562
  0.31445312]","[0.01171875 0.84375    1.02929688 1.828125   1.96679688 0.98046875
 1.99023438]",[0. 0. 0. 0. 0. 0. 0.],background
7,[ 1 18 22 39 43 22 43],[0.046875 0.84375  1.03125  1.828125 2.015625 1.03125  2.015625],[0 0 0 0 0 0 0],[0. 0. 0. 0. 0. 0. 0.],[2594  263   82 2275 1662   72 1507],"[-0.04492188  0.02734375  0.06445312  0.         -0.44140625 -0.32226562
  0.31445312]","[0.01171875 0.84375    1.02929688 1.828125   1.96679688 0.98046875
 1.99023438]",[0. 0. 0. 0. 0. 0. 0.],background
7,[ 1 18 22 39 43 22 43],[0.046875 0.84375  1.03125  1.828125 2.015625 1.03125  2.015625],[0 0 0 0 0 0 0],[0. 0. 0. 0. 0. 0. 0.],[2597  270   81 2278 1664   70 1507],"[-0.04492188  0.          0.06445312  0.         -0.44140625 -0.32226562
  0.31445312]","[0.01171875 0.84375    1.02929688 1.828125   1.96679688 0.98046875
 1.99023438]",[0. 0. 0. 0. 0. 0. 0.],background
7,[ 1 18 22 39 43 22 43],[0.046875 0.84375  1.03125  1.828125 2.015625 1.03125  2.015625],[0 0 0 0 0 0 0],[0. 0. 0. 0. 0. 0. 0.],[2593  276   81 2274 1662   70 1508],"[-0.04492188  0.          0.06445312  0.         -0.44140625 -0.32226562
  0.31445312]","[0.01171875 0.84375    1.02929688 1.828125   1.96679688 0.98046875
 1.99023438]",[0. 0. 0. 0. 0. 0. 0.],background
5,[ 1 18 39 43 43],[0.046875 0.84375  1.828125 2.015625 2.015625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2594  275 2273 1656 1504],[-0.04492188  0.02734375  0.         -0.44140625  0.31445312],[0.01171875 0.84375    1.828125   1.96679688 1.99023438],[0. 0. 0. 0. 0.],background
5,[ 1 18 39 43 43],[0.046875 0.84375  1.828125 2.015625 2.015625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2595  254 2275 1655 1503],[-0.04492188  0.          0.         -0.44140625  0.31445312],[0.01171875 0.84375    1.828125   1.96679688 1.99023438],[0. 0. 0. 0. 0.],background
5,[ 1 18 39 43 43],[0.046875 0.84375  1.828125 2.015625 2.015625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2593  231 2266 1651 1501],[-0.04492188  0.          0.         -0.44140625  0.31445312],[0.01171875 0.84375    1.828125   1.96679688 1.99023438],[0. 0. 0. 0. 0.],background
5,[ 1 18 39 43 43],[0.046875 0.84375  1.828125 2.015625 2.015625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2599  219 2273 1652 1501],[-0.04492188  0.02734375  0.         -0.44140625  0.31445312],[0.01171875 0.84375    1.828125   1.96679688 1.99023438],[0. 0. 0. 0. 0.],background
5,[ 1 18 39 43 43],[0.046875 0.84375  1.828125 2.015625 2.015625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2596  223 2274 1650 1498],[-0.04492188  0.05273438  0.         -0.44140625  0.31445312],[0.01171875 0.84179688 1.828125   1.96679688 1.99023438],[0. 0. 0. 0. 0.],background
5,[ 1 18 39 43 43],[0.046875 0.84375  1.828125 2.015625 2.015625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2595  223 2271 1647 1498],[-0.04492188  0.02734375  0.         -0.44140625  0.31445312],[0.01171875 0.84375    1.828125   1.96679688 1.99023438],[0. 0. 0. 0. 0.],background
5,[ 1 18 39 43 43],[0.046875 0.84375  1.828125 2.015625 2.015625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2588  229 2272 1650 1497],[-0.04492188  0.05273438  0.         -0.44140625  0.31445312],[0.01171875 0.84179688 1.828125   1.96679688 1.99023438],[0. 0. 0. 0. 0.],background
5,[ 1 18 39 43 43],[0.046875 0.84375  1.828125 2.015625 2.015625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2590  223 2270 1648 1497],[-0.04492188  0.02734375  0.         -0.44140625  0.31445312],[0.01171875 0.84375    1.828125   1.96679688 1.99023438],[0. 0. 0. 0. 0.],background
5,[ 1 18 39 43 43],[0.046875 0.84375  1.828125 2.015625 2.015625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2591  212 2271 1645 1499],[-0.04492188  0.02734375  0.         -0.44140625  0.31445312],[0.01171875 0.84375    1.828125   1.96679688 1.99023438],[0. 0. 0. 0. 0.],background
5,[ 1 18 39 43 43],[0.046875 0.84375  1.828125 2.015625 2.015625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2587  216 2274 1644 1502],[-0.04492188  0.02734375  0.         -0.44140625  0.31445312],[0.01171875 0.84375    1.828125   1.96679688 1.99023438],[0. 0. 0. 0. 0.],background
5,[ 1 18 39 43 43],[0.046875 0.84375  1.828125 2.015625 2.015625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2590  221 2273 1642 1501],[-0.04492188  0.02734375  0.         -0.44140625  0.31445312],[0.01171875 0.84375    1.828125   1.96679688 1.99023438],[0. 0. 0. 0. 0.],background
