numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
5,[ 3 23  7  3 23],[0.140625 1.078125 0.328125 0.140625 1.078125],[0 0 2 0 0],[0.         0.         0.11707043 0.         0.        ],[2144 3370  426 2030 2412],[ 0.1015625  -0.1015625   0.05078125  0.04492188 -0.50585938],[0.09765625 1.07421875 0.32421875 0.1328125  0.953125  ],[0. 0. 0. 0. 0.],background
5,[ 3 24  7  3 24],[0.140625 1.125    0.328125 0.140625 1.125   ],[0 0 2 0 0],[0.         0.         0.11707043 0.         0.        ],[2135 3067  449 2023 2372],[ 0.1015625   0.03515625  0.05078125  0.04492188 -0.5625    ],[0.09765625 1.125      0.32421875 0.1328125  0.97460938],[0. 0. 0. 0. 0.],background
4,[ 3 24  7  3],[0.140625 1.125    0.328125 0.140625],[0 0 2 0],[0.         0.         0.11707043 0.        ],[2125 3145  425 2011],[0.1015625  0.03515625 0.05078125 0.04492188],[0.09765625 1.125      0.32421875 0.1328125 ],[0. 0. 0. 0.],background
4,[ 3 24  7  3],[0.140625 1.125    0.328125 0.140625],[0 0 1 0],[0.         0.         0.05853521 0.        ],[2120 3215  508 2008],[0.1015625  0.03515625 0.05078125 0.04492188],[0.09765625 1.125      0.32421875 0.1328125 ],[0. 0. 0. 0.],background
3,[ 3 24  3],[0.140625 1.125    0.140625],[0 0 0],[0. 0. 0.],[2115 3241 2004],[0.1015625  0.         0.04492188],[0.09765625 1.125      0.1328125 ],[0. 0. 0.],background
3,[ 3 23  3],[0.140625 1.078125 0.140625],[0 0 0],[0. 0. 0.],[2113 3551 2004],[ 0.1015625  -0.06835938  0.04492188],[0.09765625 1.07617188 0.1328125 ],[0. 0. 0.],background
3,[ 3 23  3],[0.140625 1.078125 0.140625],[0 0 0],[0. 0. 0.],[2113 3530 2001],[ 0.1015625  -0.06835938  0.04492188],[0.09765625 1.07617188 0.1328125 ],[0. 0. 0.],background
7,[ 3 23 29  9  9  3 29],[0.140625 1.078125 1.359375 0.421875 0.421875 0.140625 1.359375],[0 0 3 4 8 0 3],"[0.         0.         0.17560564 0.23414086 0.46828172 0.
 0.17560564]",[2108 3459   20   36   27 1995   19],"[ 0.1015625  -0.06835938 -0.3828125   0.          0.01367188  0.04492188
  0.12695312]","[0.09765625 1.07617188 1.3046875  0.421875   0.421875   0.1328125
 1.35351562]",[0. 0. 0. 0. 0. 0. 0.],background
8,[ 3 23 29  9 14  3 29 14],[0.140625 1.078125 1.359375 0.421875 0.65625  0.140625 1.359375 0.65625 ],[ 0  0  3  4 -2  0  3 -2],"[ 0.          0.          0.17560564  0.23414086 -0.11707043  0.
  0.17560564 -0.11707043]",[2106 3471   19   52   91 1994   16   82],"[ 0.1015625  -0.06835938 -0.33984375  0.0390625  -0.26757812  0.04492188
  0.16992188 -0.02148438]","[0.09765625 1.07617188 1.31640625 0.41992188 0.59960938 0.1328125
 1.34960938 0.65625   ]",[0. 0. 0. 0. 0. 0. 0. 0.],background
7,[ 3 23 25  7  9  3 25],[0.140625 1.078125 1.171875 0.328125 0.421875 0.140625 1.171875],[ 0  0  0  1 -9  0  0],"[ 0.          0.          0.          0.05853521 -0.52681693  0.
  0.        ]",[2102 3493 2361  524   59 1990 1988],"[ 0.1015625  -0.06835938  0.109375    0.0625      0.0390625   0.04492188
 -0.25585938]","[0.09765625 1.07617188 1.16601562 0.32226562 0.41992188 0.1328125
 1.14453125]",[0. 0. 0. 0. 0. 0. 0.],background
