numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
3,[25 48 13],[1.171875 2.25     0.609375],[0 0 4],[0.         0.         0.23414086],[13976  1143    98],[ 0.03710938 -1.6875     -0.26757812],[1.171875   1.48828125 0.54882812],[0. 0. 0.],background
3,[25 48 14],[1.171875 2.25     0.65625 ],[0 0 4],[0.         0.         0.23414086],[13744  1133    64],[ 0.03710938 -1.6875     -0.28710938],[1.171875   1.48828125 0.58984375],[0. 0. 0.],background
3,[25 48 14],[1.171875 2.25     0.65625 ],[0 0 3],[0.         0.         0.17560564],[13141  1138    82],[ 0.         -1.6875     -0.26757812],[1.171875   1.48828125 0.59960938],[0. 0. 0.],background
3,[25 48 14],[1.171875 2.25     0.65625 ],[0 0 3],[0.         0.         0.17560564],[12957  1134    70],[ 0.         -1.6875     -0.30859375],[1.171875   1.48828125 0.58007812],[0. 0. 0.],background
2,[25 48],[1.171875 2.25    ],[0 0],[0. 0.],[12997  1141],[ 0.     -1.6875],[1.171875   1.48828125],[0. 0.],background
3,[25 48 55],[1.171875 2.25     2.578125],[ 0  0 -3],[ 0.          0.         -0.17560564],[13335  1117    35],[ 0.03710938 -1.6875      0.        ],[1.171875   1.48828125 2.578125  ],[0. 0. 0.],background
2,[25 48],[1.171875 2.25    ],[0 0],[0. 0.],[13520  1112],[ 0.03710938 -1.6875    ],[1.171875   1.48828125],[0. 0.],background
1,[25],[1.171875],[0],[0.],[13703],[0.03710938],[1.171875],[0.],background
1,[25],[1.171875],[0],[0.],[13700],[0.03710938],[1.171875],[0.],background
1,[25],[1.171875],[0],[0.],[13687],[0.03710938],[1.171875],[0.],background
1,[25],[1.171875],[0],[0.],[13724],[0.03710938],[1.171875],[0.],background
1,[25],[1.171875],[0],[0.],[13665],[0.03710938],[1.171875],[0.],background
5,[25 48 35 32 32],[1.171875 2.25     1.640625 1.5      1.5     ],[0 0 3 4 4],[0.         0.         0.17560564 0.23414086 0.23414086],[13684  1077   129    50    42],[ 0.03710938 -1.6875     -0.10351562 -0.5625      0.        ],[1.171875   1.48828125 1.63671875 1.390625   1.5       ],[0. 0. 0. 0. 0.],background
4,[25 48 32 32],[1.171875 2.25     1.5      1.5     ],[0 0 3 3],[0.         0.         0.17560564 0.17560564],[13633  1079    71    61],[ 0.03710938 -1.6875     -0.046875   -0.609375  ],[1.171875   1.48828125 1.5        1.37109375],[0. 0. 0. 0.],background
2,[25 48],[1.171875 2.25    ],[0 0],[0. 0.],[13381  1107],[ 0.03710938 -1.6875    ],[1.171875   1.48828125],[0. 0.],background
3,[25 48 54],[1.171875 2.25     2.53125 ],[ 0  0 -2],[ 0.          0.         -0.11707043],[13158  1114   184],[ 0.03710938 -1.6875     -0.31640625],[1.171875   1.48828125 2.51171875],[0. 0. 0.],background
2,[25 48],[1.171875 2.25    ],[0 0],[0. 0.],[12798  1115],[ 0.     -1.6875],[1.171875   1.48828125],[0. 0.],background
2,[25 48],[1.171875 2.25    ],[0 0],[0. 0.],[12851  1115],[ 0.     -1.6875],[1.171875   1.48828125],[0. 0.],background
7,[25 48 32 35 53 32 35],[1.171875 2.25     1.5      1.640625 2.484375 1.5      1.640625],[ 0  0 -7 -6 -2 -7 -6],"[ 0.          0.         -0.4097465  -0.35121129 -0.11707043 -0.4097465
 -0.35121129]",[12828  1122    52    55   192    42    39],"[ 0.         -1.6875     -0.1875     -0.15429688 -0.31054688 -0.75
 -0.87109375]","[1.171875   1.48828125 1.48828125 1.6328125  2.46484375 1.29882812
 1.390625  ]",[0. 0. 0. 0. 0. 0. 0.],background
4,[25 48 11 53],[1.171875 2.25     0.515625 2.484375],[  0   0 -25  -5],[ 0.          0.         -1.46338037 -0.29267607],[13263  1103    31    29],[ 0.         -1.6875     -0.2734375  -0.31054688],[1.171875   1.48828125 0.4375     2.46484375],[0. 0. 0. 0.],background
