numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
5,[ 3 11 37  3 11],[0.140625 0.515625 1.734375 0.140625 0.515625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2044  336 7737 1910  323],[ 0.03515625  0.04882812  0.0546875   0.09179688 -0.20898438],[0.13671875 0.51367188 1.734375   0.10546875 0.47070312],[0. 0. 0. 0. 0.],background
5,[ 3 11 37  3 11],[0.140625 0.515625 1.734375 0.140625 0.515625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2041  343 7615 1901  300],[ 0.03515625 -0.2265625   0.0546875   0.09179688 -0.5       ],[0.13671875 0.46289062 1.734375   0.10546875 0.12695312],[0. 0. 0. 0. 0.],background
4,[ 3 37 14  3],[0.140625 1.734375 0.65625  0.140625],[ 0  0 -4  0],[ 0.          0.         -0.23414086  0.        ],[2031 7331   46 1894],[ 0.03515625  0.109375   -0.12304688  0.09179688],[0.13671875 1.73046875 0.64453125 0.10546875],[0. 0. 0. 0.],background
7,[ 3 37 11 13  3 11 13],[0.140625 1.734375 0.515625 0.609375 0.140625 0.515625 0.609375],[ 0  0  1 -3  0  1 -3],"[ 0.          0.          0.05853521 -0.17560564  0.          0.05853521
 -0.17560564]",[2025 7326  360   30 1895  334   29],"[ 0.03515625  0.0546875  -0.2265625  -0.11523438  0.09179688 -0.03320312
  0.53320312]","[0.13671875 1.734375   0.46289062 0.59960938 0.10546875 0.515625
 0.29492188]",[0. 0. 0. 0. 0. 0. 0.],background
5,[ 3 11 37  3 11],[0.140625 0.515625 1.734375 0.140625 0.515625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2017  434 7536 1886  423],[ 0.03515625 -0.14453125  0.0546875   0.09179688  0.06445312],[0.13671875 0.49414062 1.734375   0.10546875 0.51171875],[0. 0. 0. 0. 0.],background
6,[ 3 11 37 13  3 11],[0.140625 0.515625 1.734375 0.609375 0.140625 0.515625],[ 0  0  0 -3  0  0],[ 0.          0.          0.         -0.17560564  0.          0.        ],[2017  362 7610   24 1885  326],[ 0.03515625  0.015625    0.0546875  -0.05664062  0.09179688 -0.19335938],[0.13671875 0.515625   1.734375   0.60742188 0.10546875 0.47851562],[0. 0. 0. 0. 0. 0.],background
5,[ 3 11 37  3 11],[0.140625 0.515625 1.734375 0.140625 0.515625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2012  342 7524 1881  247],[ 0.03515625 -0.20898438  0.0546875   0.09179688 -0.04882812],[0.13671875 0.47070312 1.734375   0.10546875 0.51367188],[0. 0. 0. 0. 0.],background
3,[ 3 37  3],[0.140625 1.734375 0.140625],[0 0 0],[0. 0. 0.],[2012 7397 1880],[0.03515625 0.0546875  0.09179688],[0.13671875 1.734375   0.10546875],[0. 0. 0.],background
4,[ 3 11 37  3],[0.140625 0.515625 1.734375 0.140625],[0 0 0 0],[0. 0. 0. 0.],[2008  240 7340 1877],[ 0.03515625 -0.11328125  0.0546875   0.09179688],[0.13671875 0.50390625 1.734375   0.10546875],[0. 0. 0. 0.],background
5,[ 3 11 37  3 11],[0.140625 0.515625 1.734375 0.140625 0.515625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2008  510 7273 1876  371],[ 0.03515625 -0.04882812  0.0546875   0.09179688 -0.2265625 ],[0.13671875 0.51367188 1.734375   0.10546875 0.46289062],[0. 0. 0. 0. 0.],background
5,[ 3 11 37  3 11],[0.140625 0.515625 1.734375 0.140625 0.515625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2006  391 7223 1873  362],[ 0.03515625 -0.06445312  0.0546875   0.09179688 -0.2265625 ],[0.13671875 0.51171875 1.734375   0.10546875 0.46289062],[0. 0. 0. 0. 0.],background
3,[ 3 37  3],[0.140625 1.734375 0.140625],[0 0 0],[0. 0. 0.],[2004 7340 1872],[0.03515625 0.0546875  0.09179688],[0.13671875 1.734375   0.10546875],[0. 0. 0.],background
3,[ 3 37  3],[0.140625 1.734375 0.140625],[0 0 0],[0. 0. 0.],[2000 7470 1869],[0.03515625 0.0546875  0.09179688],[0.13671875 1.734375   0.10546875],[0. 0. 0.],background
5,[ 3 11 37  3 11],[0.140625 0.515625 1.734375 0.140625 0.515625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2001  348 7583 1872  331],[ 0.03515625 -0.2265625   0.0546875   0.09179688 -0.04882812],[0.13671875 0.46289062 1.734375   0.10546875 0.51367188],[0. 0. 0. 0. 0.],background
5,[ 3 11 37  3 11],[0.140625 0.515625 1.734375 0.140625 0.515625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[1998  347 7384 1872  312],[ 0.03515625 -0.2265625   0.0546875   0.09179688 -0.04882812],[0.13671875 0.46289062 1.734375   0.10546875 0.51367188],[0. 0. 0. 0. 0.],background
5,[ 3 11 37  3 11],[0.140625 0.515625 1.734375 0.140625 0.515625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2001  323 7118 1878  291],[ 0.03515625 -0.2265625   0.0546875   0.09179688 -0.04882812],[0.13671875 0.46289062 1.734375   0.10546875 0.51367188],[0. 0. 0. 0. 0.],background
3,[ 3 37  3],[0.140625 1.734375 0.140625],[0 0 0],[0. 0. 0.],[2000 7257 1873],[0.03515625 0.0546875  0.09179688],[0.13671875 1.734375   0.10546875],[0. 0. 0.],background
3,[ 3 37  3],[0.140625 1.734375 0.140625],[0 0 0],[0. 0. 0.],[2000 7486 1875],[0.03515625 0.0546875  0.09179688],[0.13671875 1.734375   0.10546875],[0. 0. 0.],background
3,[ 3 37  3],[0.140625 1.734375 0.140625],[0 0 0],[0. 0. 0.],[1998 7163 1872],[0.03515625 0.0546875  0.09179688],[0.13671875 1.734375   0.10546875],[0. 0. 0.],background
5,[ 3 11 37  3 11],[0.140625 0.515625 1.734375 0.140625 0.515625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[1998  272 7119 1872  250],[ 0.03515625 -0.19335938  0.109375    0.09179688  0.29101562],[0.13671875 0.47851562 1.73046875 0.10546875 0.42578125],[0. 0. 0. 0. 0.],background
5,[ 3 11 37  3 11],[0.140625 0.515625 1.734375 0.140625 0.515625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[1998  227 7475 1870  196],[0.03515625 0.2734375  0.0546875  0.09179688 0.43554688],[0.13671875 0.4375     1.734375   0.10546875 0.27734375],[0. 0. 0. 0. 0.],background
