numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
6,[ 3 37 17 17  3 17],[0.140625 1.734375 0.796875 0.796875 0.140625 0.796875],[0 0 2 6 0 2],[0.         0.         0.11707043 0.35121129 0.         0.11707043],[2140 7874  219  109 1961  209],[ 0.03515625  0.109375    0.07421875  0.05078125  0.09179688 -0.22460938],[0.13671875 1.73046875 0.79296875 0.79492188 0.10546875 0.765625  ],[0. 0. 0. 0. 0. 0.],background
7,[ 3 37 18 52  3 18 52],[0.140625 1.734375 0.84375  2.4375   0.140625 0.84375  2.4375  ],[0 0 2 4 0 2 4],"[0.         0.         0.11707043 0.23414086 0.         0.11707043
 0.23414086]",[2129 7887  279   41 1952  261   34],"[ 0.03515625  0.0546875  -0.2109375  -2.28515625  0.09179688  0.08007812
  1.67578125]","[0.13671875 1.734375   0.81640625 0.84765625 0.10546875 0.83984375
 1.76953125]",[0. 0. 0. 0. 0. 0. 0.],background
4,[ 3 37 18  3],[0.140625 1.734375 0.84375  0.140625],[0 0 2 0],[0.         0.         0.11707043 0.        ],[2119 7496  302 1943],[0.03515625 0.109375   0.02734375 0.09179688],[0.13671875 1.73046875 0.84375    0.10546875],[0. 0. 0. 0.],background
5,[ 3 37 18  3 18],[0.140625 1.734375 0.84375  0.140625 0.84375 ],[0 0 2 0 2],[0.         0.         0.11707043 0.         0.11707043],[2115 7492  277 1940  216],[ 0.03515625  0.109375    0.02734375  0.09179688 -0.26367188],[0.13671875 1.73046875 0.84375    0.10546875 0.80078125],[0. 0. 0. 0. 0.],background
7,[ 3 37 18 47  3 18 47],[0.140625 1.734375 0.84375  2.203125 0.140625 0.84375  2.203125],[ 0  0  2 -3  0  2 -3],"[ 0.          0.          0.11707043 -0.17560564  0.          0.11707043
 -0.17560564]",[2111 8026  248   53 1936  182   39],"[ 0.03515625  0.0546875   0.02734375 -0.34375     0.09179688 -0.26367188
  0.68945312]","[0.13671875 1.734375   0.84375    2.17578125 0.10546875 0.80078125
 2.09375   ]",[0. 0. 0. 0. 0. 0. 0.],background
7,[ 3 37 18 46  3 18 46],[0.140625 1.734375 0.84375  2.15625  0.140625 0.84375  2.15625 ],[ 0  0  1 -3  0  1 -3],"[ 0.          0.          0.05853521 -0.17560564  0.          0.05853521
 -0.17560564]",[2107 7779  213   51 1931  213   37],"[ 0.03515625  0.109375   -0.26367188 -0.203125    0.09179688  0.02734375
  0.7421875 ]","[0.13671875 1.73046875 0.80078125 2.14648438 0.10546875 0.84375
 2.02539062]",[0. 0. 0. 0. 0. 0. 0.],background
6,[ 3 37 18 46  3 18],[0.140625 1.734375 0.84375  2.15625  0.140625 0.84375 ],[ 0  0  1 -4  0  1],[ 0.          0.          0.05853521 -0.23414086  0.          0.05853521],[2104 7734  286   63 1929  243],[ 0.03515625  0.109375    0.05273438 -0.33789062  0.09179688 -0.26367188],[0.13671875 1.73046875 0.84179688 2.13085938 0.10546875 0.80078125],[0. 0. 0. 0. 0. 0.],background
5,[ 3 37 18  3 18],[0.140625 1.734375 0.84375  0.140625 0.84375 ],[0 0 1 0 1],[0.         0.         0.05853521 0.         0.05853521],[2100 7806  253 1925  181],[ 0.03515625  0.0546875   0.02734375  0.09179688 -0.26367188],[0.13671875 1.734375   0.84375    0.10546875 0.80078125],[0. 0. 0. 0. 0.],background
4,[ 3 37 18  3],[0.140625 1.734375 0.84375  0.140625],[0 0 1 0],[0.         0.         0.05853521 0.        ],[2102 7346  242 1926],[0.03515625 0.0546875  0.02734375 0.09179688],[0.13671875 1.734375   0.84375    0.10546875],[0. 0. 0. 0.],background
8,[ 3 12 37 18 12  3 12 12],[0.140625 0.5625   1.734375 0.84375  0.5625   0.140625 0.5625   0.5625  ],[ 0  0  0  1 -1  0  0 -1],"[ 0.          0.          0.          0.05853521 -0.05853521  0.
  0.         -0.05853521]",[2099  660 7228  274  704 1924  616  578],"[ 0.03515625  0.2109375   0.109375    0.05273438  0.19335938  0.09179688
 -0.01757812 -0.01757812]","[0.13671875 0.52148438 1.73046875 0.84179688 0.52734375 0.10546875
 0.5625     0.5625    ]",[0. 0. 0. 0. 0. 0. 0. 0.],background
