numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
4,[10 40 42 10],[0.46875 1.875   1.96875 0.46875],[0 0 0 0],[0. 0. 0. 0.],[4814 1043 2744 3616],[-0.22070312  0.1171875   0.12304688  0.19140625],[0.4140625  1.87109375 1.96484375 0.42773438],[0. 0. 0. 0.],background
4,[10 40 43 10],[0.46875  1.875    2.015625 0.46875 ],[0 0 0 0],[0. 0. 0. 0.],[4905 1064 2757 3934],[-0.22070312  0.1171875   0.18945312  0.19140625],[0.4140625  1.87109375 2.0078125  0.42773438],[0. 0. 0. 0.],background
4,[10 40 42 10],[0.46875 1.875   1.96875 0.46875],[0 0 0 0],[0. 0. 0. 0.],[4496 1015 2671 3774],[-0.22070312  0.1171875   0.12304688  0.19140625],[0.4140625  1.87109375 1.96484375 0.42773438],[0. 0. 0. 0.],background
4,[10 40 42 10],[0.46875 1.875   1.96875 0.46875],[0 0 0 0],[0. 0. 0. 0.],[4116 1018 2625 3502],[-0.22070312  0.1171875   0.18554688  0.19140625],[0.4140625  1.87109375 1.9609375  0.42773438],[0. 0. 0. 0.],background
4,[10 40 42 10],[0.46875 1.875   1.96875 0.46875],[0 0 0 0],[0. 0. 0. 0.],[4169  994 2605 3455],[-0.22070312  0.1171875   0.18554688  0.19140625],[0.4140625  1.87109375 1.9609375  0.42773438],[0. 0. 0. 0.],background
4,[10 40 42 10],[0.46875 1.875   1.96875 0.46875],[0 0 0 0],[0. 0. 0. 0.],[3963  999 2604 3539],[-0.22070312  0.1171875   0.18554688  0.19140625],[0.4140625  1.87109375 1.9609375  0.42773438],[0. 0. 0. 0.],background
3,[10 42 10],[0.46875 1.96875 0.46875],[0 0 0],[0. 0. 0.],[2285 2639 1836],[ 0.17578125  0.18554688 -0.015625  ],[0.43554688 1.9609375  0.46875   ],[0. 0. 0.],background
3,[40 43  8],[1.875    2.015625 0.375   ],[ 0  0 -1],[ 0.          0.         -0.05853521],[1116 2898 2083],[ 0.1171875   0.18945312 -0.046875  ],[1.87109375 2.0078125  0.37304688],[0. 0. 0.],background
3,[40 43 10],[1.875    2.015625 0.46875 ],[ 0  0 -1],[ 0.          0.         -0.05853521],[1098 3075 3383],[ 0.1171875   0.18945312 -0.07421875],[1.87109375 2.0078125  0.46289062],[0. 0. 0.],background
4,[40 43 10 10],[1.875    2.015625 0.46875  0.46875 ],[ 0  0 -1 -1],[ 0.          0.         -0.05853521 -0.05853521],[1046 3405 3134 2745],[ 0.1171875   0.12695312  0.19140625 -0.25      ],[1.87109375 2.01171875 0.42773438 0.39648438],[0. 0. 0. 0.],background
