numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label

4,[ 1 11 40 43],[0.046875 0.515625 1.875    2.015625],[0 0 0 0],[0. 0. 0. 0.],[2539  928  909 2773],[-0.04492188  0.08007812  0.17578125  0.18945312],[0.01171875 0.50976562 1.8671875  2.0078125 ],[0. 0. 0. 0.],background

4,[ 1 11 40 43],[0.046875 0.515625 1.875    2.015625],[0 0 0 0],[0. 0. 0. 0.],[2520 1018  893 2734],[-0.04492188  0.09765625  0.17578125  0.18945312],[0.01171875 0.50585938 1.8671875  2.0078125 ],[0. 0. 0. 0.],background

4,[ 1 11 40 43],[0.046875 0.515625 1.875    2.015625],[0 0 0 0],[0. 0. 0. 0.],[2520  988  894 2729],[-0.04492188  0.09765625  0.17578125  0.18945312],[0.01171875 0.50585938 1.8671875  2.0078125 ],[0. 0. 0. 0.],background

4,[ 1 11 40 43],[0.046875 0.515625 1.875    2.015625],[0 0 0 0],[0. 0. 0. 0.],[2513  883  892 2714],[-0.04492188  0.08007812  0.17578125  0.18945312],[0.01171875 0.50976562 1.8671875  2.0078125 ],[0. 0. 0. 0.],background

4,[ 1 11 40 43],[0.046875 0.515625 1.875    2.015625],[0 0 0 0],[0. 0. 0. 0.],[2506  832  888 2705],[-0.04492188  0.08007812  0.17578125  0.18945312],[0.01171875 0.50976562 1.8671875  2.0078125 ],[0. 0. 0. 0.],background

4,[ 1 11 40 43],[0.046875 0.515625 1.875    2.015625],[0 0 0 0],[0. 0. 0. 0.],[2504  754  891 2706],[-0.04492188  0.08007812  0.17578125  0.18945312],[0.01171875 0.50976562 1.8671875  2.0078125 ],[0. 0. 0. 0.],background

4,[ 1 10 40 43],[0.046875 0.46875  1.875    2.015625],[0 0 0 0],[0. 0. 0. 0.],[2498 1082  887 2695],[-0.04492188  0.1171875   0.17578125  0.18945312],[0.01171875 0.453125   1.8671875  2.0078125 ],[0. 0. 0. 0.],background

