numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label

8,[ 1  3  8 43 16 12 12  8],[0.046875 0.140625 0.375    2.015625 0.75     0.5625   0.5625   0.375   ],[ 0  0  0  0 -9 -6 -4  0],"[ 0.          0.          0.          0.         -0.52681693 -0.35121129
 -0.23414086  0.        ]",[2570 1966  298 2759   97 1108 1776  217],"[-0.04492188  0.03515625  0.12890625  0.12695312  0.0703125   0.
  0.03515625 -0.0234375 ]","[0.01171875 0.13671875 0.3515625  2.01171875 0.74609375 0.5625
 0.56054688 0.375     ]",[0. 0. 0. 0. 0. 0. 0. 0.],background

12,[ 1  3  8 40 43 15 16 12 12  8 15 12],"[0.046875 0.140625 0.375    1.875    2.015625 0.703125 0.75     0.5625
 0.5625   0.375    0.703125 0.5625  ]",[  0   0   0   0   0   2 -10  -8  -6   0   2  -6],"[ 0.          0.          0.          0.          0.          0.11707043
 -0.58535215 -0.46828172 -0.35121129  0.          0.11707043 -0.35121129]",[2555 1965  303  999 3821  130   66 1499 1984  218   96 1522],"[-0.04492188  0.03515625  0.12890625  0.1171875   0.12695312  0.06640625
  0.0703125   0.          0.03515625 -0.0234375   0.4609375  -0.17578125]","[0.01171875 0.13671875 0.3515625  1.87109375 2.01171875 0.69921875
 0.74609375 0.5625     0.56054688 0.375      0.53125    0.53515625]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background

12,[ 1  3  8 40 42 45 12 12 17  8 45 12],"[0.046875 0.140625 0.375    1.875    1.96875  2.109375 0.5625   0.5625
 0.796875 0.375    2.109375 0.5625  ]",[ 0  0  0  0  0 -7 -6 -4 -3  0 -7 -6],"[ 0.          0.          0.          0.          0.         -0.4097465
 -0.35121129 -0.23414086 -0.17560564  0.         -0.4097465  -0.35121129]",[2546 1958  304  714 2448   28 1130  922   41  219   20  897],"[-0.04492188  0.03515625  0.12890625  0.17578125  0.12304688  0.19726562
  0.01757812  0.08789062  0.05078125 -0.0234375  -0.59375    -0.19335938]","[0.01171875 0.13671875 0.3515625  1.8671875  1.96484375 2.09960938
 0.5625     0.5546875  0.79492188 0.375      2.02539062 0.52734375]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background

9,[ 1  3  8 42 13 11 11  8 11],"[0.046875 0.140625 0.375    1.96875  0.609375 0.515625 0.515625 0.375
 0.515625]",[  0   0   0   0 -19  -5  -2   0  -2],"[ 0.          0.          0.          0.         -1.11216908 -0.29267607
 -0.11707043  0.         -0.11707043]",[2537 1944  298 2907   27  290   98  223   72],"[-0.04492188  0.03515625  0.12890625  0.12304688  0.09570312  0.06445312
  0.11328125 -0.0234375  -0.08007812]","[0.01171875 0.13671875 0.3515625  1.96484375 0.6015625  0.51171875
 0.50390625 0.375      0.50976562]",[0. 0. 0. 0. 0. 0. 0. 0. 0.],background

6,[ 1  3 42 10 11 10],[0.046875 0.140625 1.96875  0.46875  0.515625 0.46875 ],[ 0  0  0 -6 -3 -6],[ 0.          0.          0.         -0.35121129 -0.17560564 -0.35121129],[2534 1946 2938   48  100   35],[-0.04492188  0.03515625  0.12304688  0.10351562  0.11328125 -0.07421875],[0.01171875 0.13671875 1.96484375 0.45703125 0.50390625 0.46289062],[0. 0. 0. 0. 0. 0.],background
