numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label

4,[ 8 11 43 43],[0.375    0.515625 2.015625 2.015625],[0 0 0 0],[0. 0. 0. 0.],[2670 1172  830  598],[-0.01171875  0.06445312  0.25195312 -0.50390625],[0.375      0.51171875 2.         1.95117188],[0. 0. 0. 0.],background

3,[ 9 43 43],[0.421875 2.015625 2.015625],[0 0 0],[0. 0. 0.],[3143  724  536],[-0.02734375  0.31445312 -0.50390625],[0.421875   1.99023438 1.95117188],[0. 0. 0.],background

3,[ 9 43 43],[0.421875 2.015625 2.015625],[0 0 0],[0. 0. 0.],[4352  693  512],[-0.01367188  0.25195312 -0.50390625],[0.421875   2.         1.95117188],[0. 0. 0.],background

3,[ 9 43 43],[0.421875 2.015625 2.015625],[0 0 0],[0. 0. 0.],[2873  685  505],[-0.02734375  0.31445312 -0.50390625],[0.421875   1.99023438 1.95117188],[0. 0. 0.],background

3,[ 9 42  9],[0.421875 1.96875  0.421875],[0 0 0],[0. 0. 0.],[1379  712 1321],[-0.171875    0.30859375  0.19726562],[0.38476562 1.9453125  0.37304688],[0. 0. 0.],background

2,[ 9 42],[0.421875 1.96875 ],[0 0],[0. 0.],[3354  747],[0.01367188 0.30859375],[0.421875  1.9453125],[0. 0.],background

2,[10 42],[0.46875 1.96875],[0 0],[0. 0.],[3270  730],[0.02929688 0.30859375],[0.46875   1.9453125],[0. 0.],background

2,[10 42],[0.46875 1.96875],[0 0],[0. 0.],[3226  731],[0.015625   0.30859375],[0.46875   1.9453125],[0. 0.],background

2,[10 42],[0.46875 1.96875],[0 0],[0. 0.],[3821  704],[0.015625   0.30859375],[0.46875   1.9453125],[0. 0.],background

2,[10 42],[0.46875 1.96875],[0 0],[0. 0.],[3664  717],[0.         0.30859375],[0.46875   1.9453125],[0. 0.],background

2,[10 42],[0.46875 1.96875],[0 0],[0. 0.],[3568  694],[0.015625   0.30859375],[0.46875   1.9453125],[0. 0.],background

2,[10 42],[0.46875 1.96875],[0 0],[0. 0.],[3705  697],[0.015625   0.30859375],[0.46875   1.9453125],[0. 0.],background

2,[10 42],[0.46875 1.96875],[0 0],[0. 0.],[3658  689],[0.015625   0.30859375],[0.46875   1.9453125],[0. 0.],background

2,[10 42],[0.46875 1.96875],[0 0],[0. 0.],[3533  692],[0.015625   0.30859375],[0.46875   1.9453125],[0. 0.],background

2,[10 42],[0.46875 1.96875],[0 0],[0. 0.],[3545  688],[0.015625   0.30859375],[0.46875   1.9453125],[0. 0.],background

2,[10 42],[0.46875 1.96875],[0 0],[0. 0.],[3273  688],[0.015625   0.30859375],[0.46875   1.9453125],[0. 0.],background

2,[10 42],[0.46875 1.96875],[0 0],[0. 0.],[3004  683],[0.015625   0.30859375],[0.46875   1.9453125],[0. 0.],background

2,[10 42],[0.46875 1.96875],[0 0],[0. 0.],[2820  675],[0.015625   0.30859375],[0.46875   1.9453125],[0. 0.],background

2,[10 42],[0.46875 1.96875],[0 0],[0. 0.],[2938  651],[0.015625   0.30859375],[0.46875   1.9453125],[0. 0.],background

2,[10 42],[0.46875 1.96875],[0 0],[0. 0.],[3308  636],[0.015625   0.30859375],[0.46875   1.9453125],[0. 0.],background

2,[10 42],[0.46875 1.96875],[0 0],[0. 0.],[3501  627],[0.02929688 0.30859375],[0.46875   1.9453125],[0. 0.],background

2,[10 42],[0.46875 1.96875],[0 0],[0. 0.],[3518  638],[0.02929688 0.30859375],[0.46875   1.9453125],[0. 0.],background

2,[10 42],[0.46875 1.96875],[0 0],[0. 0.],[3071  650],[0.02929688 0.30859375],[0.46875   1.9453125],[0. 0.],background

2,[10 42],[0.46875 1.96875],[0 0],[0. 0.],[3005  652],[0.02929688 0.30859375],[0.46875   1.9453125],[0. 0.],background

2,[10 42],[0.46875 1.96875],[0 0],[0. 0.],[2826  645],[0.02929688 0.30859375],[0.46875   1.9453125],[0. 0.],background

2,[10 42],[0.46875 1.96875],[0 0],[0. 0.],[2742  645],[0.02929688 0.30859375],[0.46875   1.9453125],[0. 0.],background

2,[10 42],[0.46875 1.96875],[0 0],[0. 0.],[2698  629],[0.02929688 0.30859375],[0.46875   1.9453125],[0. 0.],background

3,[10 42 10],[0.46875 1.96875 0.46875],[0 0 0],[0. 0. 0.],[2509  597 1905],[ 0.02929688  0.30859375 -0.16210938],[0.46875    1.9453125  0.43945312],[0. 0. 0.],background

3,[10 42 10],[0.46875 1.96875 0.46875],[0 0 0],[0. 0. 0.],[2318  576 1816],[ 0.015625    0.30859375 -0.16210938],[0.46875    1.9453125  0.43945312],[0. 0. 0.],background

3,[ 9 42  9],[0.421875 1.96875  0.421875],[0 0 0],[0. 0. 0.],[2229  563 1777],[ 0.          0.30859375 -0.15820312],[0.421875  1.9453125 0.390625 ],[0. 0. 0.],background

3,[ 9 42  9],[0.421875 1.96875  0.421875],[0 0 0],[0. 0. 0.],[2330  557 1734],[ 0.          0.36914062 -0.15820312],[0.421875   1.93359375 0.390625  ],[0. 0. 0.],background

3,[ 9 42  9],[0.421875 1.96875  0.421875],[0 0 0],[0. 0. 0.],[2322  552 1700],[ 0.          0.36914062 -0.15820312],[0.421875   1.93359375 0.390625  ],[0. 0. 0.],background

3,[ 9 42  9],[0.421875 1.96875  0.421875],[0 0 0],[0. 0. 0.],[2367  546 1697],[ 0.          0.36914062 -0.15820312],[0.421875   1.93359375 0.390625  ],[0. 0. 0.],background

2,[ 9 42],[0.421875 1.96875 ],[0 0],[0. 0.],[2415  544],[0.         0.36914062],[0.421875   1.93359375],[0. 0.],background

2,[ 9 42],[0.421875 1.96875 ],[0 0],[0. 0.],[2545  551],[0.01367188 0.36914062],[0.421875   1.93359375],[0. 0.],background

2,[ 9 42],[0.421875 1.96875 ],[0 0],[0. 0.],[2600  558],[0.01367188 0.30859375],[0.421875  1.9453125],[0. 0.],background

2,[ 9 42],[0.421875 1.96875 ],[0 0],[0. 0.],[2691  564],[0.01367188 0.30859375],[0.421875  1.9453125],[0. 0.],background

2,[ 9 42],[0.421875 1.96875 ],[0 0],[0. 0.],[2705  560],[0.01367188 0.36914062],[0.421875   1.93359375],[0. 0.],background

2,[ 9 42],[0.421875 1.96875 ],[0 0],[0. 0.],[2805  560],[0.         0.30859375],[0.421875  1.9453125],[0. 0.],background

2,[ 9 42],[0.421875 1.96875 ],[0 0],[0. 0.],[2833  556],[0.         0.30859375],[0.421875  1.9453125],[0. 0.],background

