numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label

3,[ 1  3 42],[0.046875 0.140625 1.96875 ],[0 0 0],[0. 0. 0.],[2537 1943 3116],[-0.04492188  0.03515625  0.18554688],[0.01171875 0.13671875 1.9609375 ],[0. 0. 0.],background

4,[ 1  3 10 42],[0.046875 0.140625 0.46875  1.96875 ],[0 0 0 0],[0. 0. 0. 0.],[2531 1937  236 3107],[-0.04492188  0.03515625  0.08789062  0.18554688],[0.01171875 0.13671875 0.4609375  1.9609375 ],[0. 0. 0. 0.],background

3,[ 1  3 42],[0.046875 0.140625 1.96875 ],[0 0 0],[0. 0. 0.],[2514 1926 3098],[-0.04492188  0.03515625  0.18554688],[0.01171875 0.13671875 1.9609375 ],[0. 0. 0.],background

4,[ 1  3 10 42],[0.046875 0.140625 0.46875  1.96875 ],[0 0 0 0],[0. 0. 0. 0.],[2511 1922  266 3087],[-0.04492188  0.03515625  0.07421875  0.18554688],[0.01171875 0.13671875 0.46289062 1.9609375 ],[0. 0. 0. 0.],background

4,[ 1  3 10 42],[0.046875 0.140625 0.46875  1.96875 ],[0 0 0 0],[0. 0. 0. 0.],[2510 1919  236 3089],[-0.04492188  0.03515625  0.07421875  0.18554688],[0.01171875 0.13671875 0.46289062 1.9609375 ],[0. 0. 0. 0.],background

3,[ 1  3 42],[0.046875 0.140625 1.96875 ],[0 0 0],[0. 0. 0.],[2501 1913 3004],[-0.04492188  0.03515625  0.18554688],[0.01171875 0.13671875 1.9609375 ],[0. 0. 0.],background

3,[ 1  3 42],[0.046875 0.140625 1.96875 ],[0 0 0],[0. 0. 0.],[2495 1912 2932],[-0.04492188  0.03515625  0.18554688],[0.01171875 0.13671875 1.9609375 ],[0. 0. 0.],background

3,[ 1  3 42],[0.046875 0.140625 1.96875 ],[0 0 0],[0. 0. 0.],[2493 1907 2927],[-0.04492188  0.03515625  0.18554688],[0.01171875 0.13671875 1.9609375 ],[0. 0. 0.],background

4,[ 1  3 10 42],[0.046875 0.140625 0.46875  1.96875 ],[0 0 0 0],[0. 0. 0. 0.],[2487 1905  209 2944],[-0.04492188  0.03515625  0.08789062  0.18554688],[0.01171875 0.13671875 0.4609375  1.9609375 ],[0. 0. 0. 0.],background

3,[ 1  3 42],[0.046875 0.140625 1.96875 ],[0 0 0],[0. 0. 0.],[2488 1905 2976],[-0.04492188  0.03515625  0.18554688],[0.01171875 0.13671875 1.9609375 ],[0. 0. 0.],background

3,[ 1  3 42],[0.046875 0.140625 1.96875 ],[0 0 0],[0. 0. 0.],[2488 1903 2982],[-0.04492188  0.03515625  0.18554688],[0.01171875 0.13671875 1.9609375 ],[0. 0. 0.],background

3,[ 1  3 42],[0.046875 0.140625 1.96875 ],[0 0 0],[0. 0. 0.],[2481 1902 2993],[-0.04492188  0.03515625  0.18554688],[0.01171875 0.13671875 1.9609375 ],[0. 0. 0.],background

3,[ 1  3 42],[0.046875 0.140625 1.96875 ],[0 0 0],[0. 0. 0.],[2481 1902 3010],[-0.04492188  0.03515625  0.18554688],[0.01171875 0.13671875 1.9609375 ],[0. 0. 0.],background

3,[ 1  3 42],[0.046875 0.140625 1.96875 ],[0 0 0],[0. 0. 0.],[2480 1900 3016],[-0.04492188  0.03515625  0.18554688],[0.01171875 0.13671875 1.9609375 ],[0. 0. 0.],background

4,[ 1  3  9 42],[0.046875 0.140625 0.421875 1.96875 ],[0 0 0 0],[0. 0. 0. 0.],[2480 1900  403 3015],[-0.04492188  0.03515625  0.08007812  0.18554688],[0.01171875 0.13671875 0.4140625  1.9609375 ],[0. 0. 0. 0.],background

