numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
5,[ 1  3  8 42  8],[0.046875 0.140625 0.375    1.96875  0.375   ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2574 1966  482 3037  352],[-0.04492188  0.03515625  0.15234375  0.18554688  0.        ],[0.01171875 0.13671875 0.34179688 1.9609375  0.375     ],[0. 0. 0. 0. 0.],background
5,[ 1  3  8 42  8],[0.046875 0.140625 0.375    1.96875  0.375   ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2563 1958  486 3019  347],[-0.04492188  0.03515625  0.15234375  0.18554688  0.        ],[0.01171875 0.13671875 0.34179688 1.9609375  0.375     ],[0. 0. 0. 0. 0.],background
6,[ 1  3  8 10 42  8],[0.046875 0.140625 0.375    0.46875  1.96875  0.375   ],[0 0 0 0 0 0],[0. 0. 0. 0. 0. 0.],[2561 1951  487  558 3008  346],[-0.04492188  0.03515625  0.15234375  0.07421875  0.18554688  0.        ],[0.01171875 0.13671875 0.34179688 0.46289062 1.9609375  0.375     ],[0. 0. 0. 0. 0. 0.],background
6,[ 1  3  8 10 42  8],[0.046875 0.140625 0.375    0.46875  1.96875  0.375   ],[0 0 0 0 0 0],[0. 0. 0. 0. 0. 0.],[2550 1944  489  642 2987  369],[-0.04492188  0.03515625  0.15234375  0.07421875  0.18554688  0.01171875],[0.01171875 0.13671875 0.34179688 0.46289062 1.9609375  0.375     ],[0. 0. 0. 0. 0. 0.],background
6,[ 1  3  8 10 42  8],[0.046875 0.140625 0.375    0.46875  1.96875  0.375   ],[0 0 0 0 0 0],[0. 0. 0. 0. 0. 0.],[2547 1941  489  550 2995  384],[-0.04492188  0.03515625  0.15234375  0.05859375  0.18554688  0.01171875],[0.01171875 0.13671875 0.34179688 0.46484375 1.9609375  0.375     ],[0. 0. 0. 0. 0. 0.],background
5,[ 1  3  8 42  8],[0.046875 0.140625 0.375    1.96875  0.375   ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2546 1936  487 2975  375],[-0.04492188  0.03515625  0.15234375  0.18554688  0.01171875],[0.01171875 0.13671875 0.34179688 1.9609375  0.375     ],[0. 0. 0. 0. 0.],background
5,[ 1  3  8 42  8],[0.046875 0.140625 0.375    1.96875  0.375   ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2540 1932  488 2963  353],[-0.04492188  0.03515625  0.15234375  0.18554688  0.        ],[0.01171875 0.13671875 0.34179688 1.9609375  0.375     ],[0. 0. 0. 0. 0.],background
5,[ 1  3  8 42  8],[0.046875 0.140625 0.375    1.96875  0.375   ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2534 1931  485 2959  351],[-0.04492188  0.03515625  0.15234375  0.18554688  0.        ],[0.01171875 0.13671875 0.34179688 1.9609375  0.375     ],[0. 0. 0. 0. 0.],background
5,[ 1  3  8 42  8],[0.046875 0.140625 0.375    1.96875  0.375   ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2528 1929  480 2934  368],[-0.04492188  0.03515625  0.15234375  0.18554688  0.01171875],[0.01171875 0.13671875 0.34179688 1.9609375  0.375     ],[0. 0. 0. 0. 0.],background
6,[ 1  3  8 10 42  8],[0.046875 0.140625 0.375    0.46875  1.96875  0.375   ],[0 0 0 0 0 0],[0. 0. 0. 0. 0. 0.],[2528 1927  485  454 2938  370],[-0.04492188  0.03515625  0.15234375  0.08789062  0.18554688  0.01171875],[0.01171875 0.13671875 0.34179688 0.4609375  1.9609375  0.375     ],[0. 0. 0. 0. 0. 0.],background
6,[ 1  3  8 10 42  8],[0.046875 0.140625 0.375    0.46875  1.96875  0.375   ],[0 0 0 0 0 0],[0. 0. 0. 0. 0. 0.],[2531 1926  492  560 2943  357],[-0.04492188  0.03515625  0.15234375  0.08789062  0.18554688  0.        ],[0.01171875 0.13671875 0.34179688 0.4609375  1.9609375  0.375     ],[0. 0. 0. 0. 0. 0.],background
6,[ 1  3  8 10 42  8],[0.046875 0.140625 0.375    0.46875  1.96875  0.375   ],[0 0 0 0 0 0],[0. 0. 0. 0. 0. 0.],[2525 1925  489  592 2942  359],[-0.04492188  0.03515625  0.15234375  0.08789062  0.18554688  0.        ],[0.01171875 0.13671875 0.34179688 0.4609375  1.9609375  0.375     ],[0. 0. 0. 0. 0. 0.],background
6,[ 1  3  8 10 42  8],[0.046875 0.140625 0.375    0.46875  1.96875  0.375   ],[0 0 0 0 0 0],[0. 0. 0. 0. 0. 0.],[2522 1922  481  461 2937  357],[-0.04492188  0.03515625  0.15234375  0.10351562  0.18554688  0.01171875],[0.01171875 0.13671875 0.34179688 0.45703125 1.9609375  0.375     ],[0. 0. 0. 0. 0. 0.],background
