numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
3,[ 1 10 39],[0.046875 0.46875  1.828125],[0 0 0],[0. 0. 0.],[2658 2315 3801],[-0.04492188 -0.015625   -0.85742188],[0.01171875 0.46875    1.61523438],[0. 0. 0.],background
3,[ 1 10 39],[0.046875 0.46875  1.828125],[0 0 0],[0. 0. 0.],[2638 3358 3782],[-0.04492188  0.02929688 -0.85742188],[0.01171875 0.46875    1.61523438],[0. 0. 0.],background
2,[10 39],[0.46875  1.828125],[0 0],[0. 0.],[3971 3770],[ 0.02929688 -0.85742188],[0.46875    1.61523438],[0. 0.],background
3,[ 1 10 39],[0.046875 0.46875  1.828125],[0 0 0],[0. 0. 0.],[2626 3854 3739],[-0.04492188  0.015625   -0.85742188],[0.01171875 0.46875    1.61523438],[0. 0. 0.],background
2,[10 39],[0.46875  1.828125],[0 0],[0. 0.],[3916 3736],[ 0.02929688 -0.85742188],[0.46875    1.61523438],[0. 0.],background
3,[ 1 10 39],[0.046875 0.46875  1.828125],[0 0 0],[0. 0. 0.],[2616 3687 3708],[-0.04492188  0.02929688 -0.85742188],[0.01171875 0.46875    1.61523438],[0. 0. 0.],background
3,[ 1 10 39],[0.046875 0.46875  1.828125],[0 0 0],[0. 0. 0.],[2617 3414 3669],[-0.04492188  0.02929688 -0.85742188],[0.01171875 0.46875    1.61523438],[0. 0. 0.],background
3,[ 1 10 39],[0.046875 0.46875  1.828125],[0 0 0],[0. 0. 0.],[2609 3574 3721],[-0.04492188  0.015625   -0.85742188],[0.01171875 0.46875    1.61523438],[0. 0. 0.],background
3,[10 39 50],[0.46875  1.828125 2.34375 ],[0 0 3],[0.         0.         0.17560564],[3260 3742   29],[-0.015625   -0.85742188 -0.87890625],[0.46875    1.61523438 2.17382812],[0. 0. 0.],background
3,[ 1 10 39],[0.046875 0.46875  1.828125],[0 0 0],[0. 0. 0.],[2608 2851 3710],[-0.04492188 -0.015625   -0.85742188],[0.01171875 0.46875    1.61523438],[0. 0. 0.],background
2,[10 39],[0.46875  1.828125],[0 0],[0. 0.],[2259 3691],[-0.05859375 -0.85742188],[0.46484375 1.61523438],[0. 0.],background
3,[ 1 10 39],[0.046875 0.46875  1.828125],[0 0 0],[0. 0. 0.],[2602 2586 3659],[-0.04492188 -0.04492188 -0.85742188],[0.01171875 0.46679688 1.61523438],[0. 0. 0.],background
2,[10 39],[0.46875  1.828125],[0 0],[0. 0.],[3569 3720],[-0.02929688 -0.85742188],[0.46875    1.61523438],[0. 0.],background
4,[ 1 39 10 10],[0.046875 1.828125 0.46875  0.46875 ],[0 0 1 1],[0.         0.         0.05853521 0.05853521],[2598 3725 2923 2358],[-0.04492188 -0.85742188 -0.07421875  0.08789062],[0.01171875 1.61523438 0.46289062 0.4609375 ],[0. 0. 0. 0.],background
3,[ 1 39 10],[0.046875 1.828125 0.46875 ],[0 0 1],[0.         0.         0.05853521],[2597 3852 3605],[-0.04492188 -0.85742188 -0.015625  ],[0.01171875 1.61523438 0.46875   ],[0. 0. 0.],background
3,[ 1 10 39],[0.046875 0.46875  1.828125],[0 0 0],[0. 0. 0.],[2597 1778 3890],[-0.04492188  0.02929688 -0.80078125],[0.01171875 0.46875    1.64453125],[0. 0. 0.],background
2,[10 39],[0.46875  1.828125],[0 0],[0. 0.],[4107 3812],[ 0.         -0.80078125],[0.46875    1.64453125],[0. 0.],background
2,[10 39],[0.46875  1.828125],[0 0],[0. 0.],[4064 3815],[ 0.015625   -0.80078125],[0.46875    1.64453125],[0. 0.],background
2,[10 39],[0.46875  1.828125],[0 0],[0. 0.],[4586 3790],[ 0.02929688 -0.80078125],[0.46875    1.64453125],[0. 0.],background
2,[10 39],[0.46875  1.828125],[0 0],[0. 0.],[4603 3757],[ 0.02929688 -0.85742188],[0.46875    1.61523438],[0. 0.],background
2,[10 39],[0.46875  1.828125],[0 0],[0. 0.],[4182 3782],[-0.04492188 -0.80078125],[0.46679688 1.64453125],[0. 0.],background
2,[10 39],[0.46875  1.828125],[0 0],[0. 0.],[4575 3766],[-0.05859375 -0.85742188],[0.46484375 1.61523438],[0. 0.],background
2,[10 39],[0.46875  1.828125],[0 0],[0. 0.],[4544 3836],[-0.05859375 -0.85742188],[0.46484375 1.61523438],[0. 0.],background
3,[ 1 10 39],[0.046875 0.46875  1.828125],[0 0 0],[0. 0. 0.],[2586 3865 3739],[-0.04492188 -0.02929688 -0.80078125],[0.01171875 0.46875    1.64453125],[0. 0. 0.],background
2,[ 9 39],[0.421875 1.828125],[0 0],[0. 0.],[3818 3806],[ 0.         -0.80078125],[0.421875   1.64453125],[0. 0.],background
2,[10 39],[0.46875  1.828125],[0 0],[0. 0.],[4139 3831],[ 0.         -0.85742188],[0.46875    1.61523438],[0. 0.],background
2,[ 9 39],[0.421875 1.828125],[0 0],[0. 0.],[3659 3770],[ 0.         -0.80078125],[0.421875   1.64453125],[0. 0.],background
2,[10 39],[0.46875  1.828125],[0 0],[0. 0.],[5715 3770],[-0.04492188 -0.80078125],[0.46679688 1.64453125],[0. 0.],background
2,[10 39],[0.46875  1.828125],[0 0],[0. 0.],[5152 3683],[-0.04492188 -0.80078125],[0.46679688 1.64453125],[0. 0.],background
2,[10 39],[0.46875  1.828125],[0 0],[0. 0.],[5521 3802],[-0.04492188 -0.80078125],[0.46679688 1.64453125],[0. 0.],background
2,[10 39],[0.46875  1.828125],[0 0],[0. 0.],[5239 3728],[-0.04492188 -0.80078125],[0.46679688 1.64453125],[0. 0.],background
2,[10 39],[0.46875  1.828125],[0 0],[0. 0.],[5045 3841],[-0.02929688 -0.80078125],[0.46875    1.64453125],[0. 0.],background
2,[10 39],[0.46875  1.828125],[0 0],[0. 0.],[4516 3817],[ 0.         -0.80078125],[0.46875    1.64453125],[0. 0.],background
2,[10 39],[0.46875  1.828125],[0 0],[0. 0.],[4080 3853],[ 0.015625   -0.80078125],[0.46875    1.64453125],[0. 0.],background
4,[10 25 40 25],[0.46875  1.171875 1.875    1.171875],[0 0 0 0],[0. 0. 0. 0.],[4638 1482 3888 1075],[ 0.015625    0.109375   -0.8203125  -0.33007812],[0.46875    1.16601562 1.68554688 1.125     ],[0. 0. 0. 0.],background
3,[10 25 40],[0.46875  1.171875 1.875   ],[0 0 0],[0. 0. 0.],[3422 1543 3997],[ 0.          0.14648438 -0.8203125 ],[0.46875    1.16210938 1.68554688],[0. 0. 0.],background
5,[ 1  9 25 39  9],[0.046875 0.421875 1.171875 1.828125 0.421875],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2576 2370 1723 4145 1773],[-0.04492188 -0.01367188  0.109375   -0.80078125 -0.1328125 ],[0.01171875 0.421875   1.16601562 1.64453125 0.40039062],[0. 0. 0. 0. 0.],background
3,[25 39 10],[1.171875 1.828125 0.46875 ],[ 0  0 -1],[ 0.          0.         -0.05853521],[1744 4045 3323],[ 0.109375   -0.80078125 -0.05859375],[1.16601562 1.64453125 0.46484375],[0. 0. 0.],background
