numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label

3,[ 7 43  7],[0.328125 2.015625 0.328125],[0 0 0],[0. 0. 0.],[4648 1568 4183],[-0.1640625   0.25195312 -0.04101562],[0.28515625 2.         0.32617188],[0. 0. 0.],background

4,[ 7 43 51  7],[0.328125 2.015625 2.390625 0.328125],[0 0 0 0],[0. 0. 0. 0.],[3892 1507 1211 3283],[-0.17382812  0.25195312  0.29882812 -0.04101562],[0.27734375 2.         2.37304688 0.32617188],[0. 0. 0. 0.],background

5,[ 3  7 43 51  7],[0.140625 0.328125 2.015625 2.390625 0.328125],[0 0 0 0 0],[0. 0. 0. 0. 0.],[1724 3150 1357 1078 2257],[ 0.03515625 -0.08203125  0.25195312  0.29882812  0.02148438],[0.13671875 0.31835938 2.         2.37304688 0.328125  ],[0. 0. 0. 0. 0.],background

5,[ 3  7 43 51  7],[0.140625 0.328125 2.015625 2.390625 0.328125],[0 0 0 0 0],[0. 0. 0. 0. 0.],[1713 4404 1146  882 3625],[ 0.03515625 -0.03125     0.25195312  0.29882812 -0.15429688],[0.13671875 0.32617188 2.         2.37304688 0.2890625 ],[0. 0. 0. 0. 0.],background

3,[ 7 43 51],[0.328125 2.015625 2.390625],[0 0 0],[0. 0. 0.],[8008 1122  890],[-0.00976562  0.25195312  0.29882812],[0.328125   2.         2.37304688],[0. 0. 0.],background

4,[ 3  7 43 51],[0.140625 0.328125 2.015625 2.390625],[0 0 0 0],[0. 0. 0. 0.],[1710 9502 1133  880],[0.03515625 0.         0.25195312 0.29882812],[0.13671875 0.328125   2.         2.37304688],[0. 0. 0. 0.],background

3,[ 7 43 51],[0.328125 2.015625 2.390625],[0 0 0],[0. 0. 0.],[9638 1116  869],[0.         0.25195312 0.29882812],[0.328125   2.         2.37304688],[0. 0. 0.],background

4,[ 3  7 43 51],[0.140625 0.328125 2.015625 2.390625],[0 0 0 0],[0. 0. 0. 0.],[1707 8920 1074  895],[0.03515625 0.         0.25195312 0.29882812],[0.13671875 0.328125   2.         2.37304688],[0. 0. 0. 0.],background

3,[ 7 42 51],[0.328125 1.96875  2.390625],[0 0 0],[0. 0. 0.],[8462 1040  884],[0.         0.24609375 0.29882812],[0.328125   1.953125   2.37304688],[0. 0. 0.],background

3,[ 7 43 51],[0.328125 2.015625 2.390625],[0 0 0],[0. 0. 0.],[9031 1104  871],[-0.00976562  0.25195312  0.29882812],[0.328125   2.         2.37304688],[0. 0. 0.],background

2,[ 7 43],[0.328125 2.015625],[0 0],[0. 0.],[11793  1139],[0.02148438 0.25195312],[0.328125 2.      ],[0. 0.],background

3,[ 7 43  7],[0.328125 2.015625 0.328125],[0 0 0],[0. 0. 0.],[12661  1231 10657],[ 0.02148438  0.18945312 -0.11328125],[0.328125   2.0078125  0.30859375],[0. 0. 0.],background

