numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label

1,[8],[0.375],[0],[0.],[3432],[0.08203125],[0.36523438],[0.],background

2,[8 8],[0.375 0.375],[0 0],[0. 0.],[3296 2361],[ 0.08203125 -0.05859375],[0.36523438 0.37109375],[0. 0.],background

2,[8 8],[0.375 0.375],[0 0],[0. 0.],[3249 2387],[ 0.08203125 -0.05859375],[0.36523438 0.37109375],[0. 0.],background

2,[8 8],[0.375 0.375],[0 0],[0. 0.],[3151 2356],[ 0.08203125 -0.05859375],[0.36523438 0.37109375],[0. 0.],background

2,[8 8],[0.375 0.375],[0 0],[0. 0.],[3114 2341],[ 0.08203125 -0.05859375],[0.36523438 0.37109375],[0. 0.],background

3,[ 8 54  8],[0.375   2.53125 0.375  ],[0 0 0],[0. 0. 0.],[3140  753 2342],[ 0.08203125 -0.23828125 -0.05859375],[0.36523438 2.51953125 0.37109375],[0. 0. 0.],background

3,[ 9 53  9],[0.421875 2.484375 0.421875],[0 0 0],[0. 0. 0.],[3226  708 2363],[ 0.09179688 -0.15625    -0.06640625],[0.41210938 2.48046875 0.41601562],[0. 0. 0.],background

3,[ 9 53  9],[0.421875 2.484375 0.421875],[0 0 0],[0. 0. 0.],[3280  764 2404],[ 0.09179688 -0.23242188 -0.06640625],[0.41210938 2.47460938 0.41601562],[0. 0. 0.],background

3,[ 9 53  9],[0.421875 2.484375 0.421875],[0 0 0],[0. 0. 0.],[2988  879 2210],[ 0.09179688 -0.23242188 -0.06640625],[0.41210938 2.47460938 0.41601562],[0. 0. 0.],background

3,[ 8 53  8],[0.375    2.484375 0.375   ],[0 0 0],[0. 0. 0.],[2465  637 1956],[ 0.09375    -0.23242188 -0.046875  ],[0.36328125 2.47460938 0.37304688],[0. 0. 0.],background

2,[8 8],[0.375 0.375],[0 0],[0. 0.],[2449 2015],[ 0.09375  -0.046875],[0.36328125 0.37304688],[0. 0.],background

2,[8 8],[0.375 0.375],[0 0],[0. 0.],[2449 1990],[ 0.09375  -0.046875],[0.36328125 0.37304688],[0. 0.],background

3,[ 8 50  8],[0.375   2.34375 0.375  ],[0 0 0],[0. 0. 0.],[2448  340 2005],[ 0.09375     0.14648438 -0.046875  ],[0.36328125 2.33984375 0.37304688],[0. 0. 0.],background

3,[ 8 53  8],[0.375    2.484375 0.375   ],[0 0 0],[0. 0. 0.],[2549  540 2085],[ 0.09375    -0.23242188 -0.046875  ],[0.36328125 2.47460938 0.37304688],[0. 0. 0.],background

2,[9 9],[0.421875 0.421875],[0 0],[0. 0.],[2549 2220],[ 0.10546875 -0.05273438],[0.40820312 0.41796875],[0. 0.],background

3,[ 9 50  9],[0.421875 2.34375  0.421875],[0 0 0],[0. 0. 0.],[2509  395 2167],[ 0.10546875  0.14648438 -0.05273438],[0.40820312 2.33984375 0.41796875],[0. 0. 0.],flop

2,[9 9],[0.421875 0.421875],[0 0],[0. 0.],[2512 2197],[ 0.10546875 -0.05273438],[0.40820312 0.41796875],[0. 0.],flop

2,[9 9],[0.421875 0.421875],[0 0],[0. 0.],[2496 2140],[ 0.10546875 -0.05273438],[0.40820312 0.41796875],[0. 0.],flop

3,[ 9 50  9],[0.421875 2.34375  0.421875],[0 0 0],[0. 0. 0.],[2529  344 2137],[ 0.10546875  0.14648438 -0.05273438],[0.40820312 2.33984375 0.41796875],[0. 0. 0.],flop

2,[9 9],[0.421875 0.421875],[0 0],[0. 0.],[2582 2181],[ 0.10546875 -0.05273438],[0.40820312 0.41796875],[0. 0.],flop

2,[9 9],[0.421875 0.421875],[0 0],[0. 0.],[2718 2255],[ 0.10546875 -0.05273438],[0.40820312 0.41796875],[0. 0.],flop

3,[ 9 50  9],[0.421875 2.34375  0.421875],[0 0 0],[0. 0. 0.],[3215  352 2572],[ 0.10546875  0.14648438 -0.05273438],[0.40820312 2.33984375 0.41796875],[0. 0. 0.],flop

3,[ 9 54  9],[0.421875 2.53125  0.421875],[0 0 0],[0. 0. 0.],[3571  816 2865],[ 0.09179688 -0.23828125 -0.06640625],[0.41210938 2.51953125 0.41601562],[0. 0. 0.],flop

3,[ 9 54  9],[0.421875 2.53125  0.421875],[0 0 0],[0. 0. 0.],[3231  836 2612],[ 0.09179688 -0.23828125 -0.06640625],[0.41210938 2.51953125 0.41601562],[0. 0. 0.],flop

2,[53  9],[2.484375 0.421875],[0 1],[0.         0.05853521],[ 598 4176],[-0.23242188  0.09179688],[2.47460938 0.41210938],[0. 0.],flop

3,[ 3 53  9],[0.140625 2.484375 0.421875],[0 0 1],[0.         0.         0.05853521],[1743  617 3900],[ 0.03515625 -0.23242188  0.08007812],[0.13671875 2.47460938 0.4140625 ],[0. 0. 0.],flop

10,[53  9 13 16 56 19 52 53 56 19],"[2.484375 0.421875 0.609375 0.75     2.625    0.890625 2.4375   2.484375
 2.625    0.890625]",[ 0  1  2  5 -5 -4 -3  0 -5 -4],"[ 0.          0.05853521  0.11707043  0.29267607 -0.29267607 -0.23414086
 -0.17560564  0.         -0.29267607 -0.23414086]",[ 457 2693  141   48   46   16   38  328   35   15],"[-0.23242188  0.08007812  0.09570312  0.1171875   0.328125    0.02734375
  0.22851562 -1.1640625  -0.65625    -0.30664062]","[2.47460938 0.4140625  0.6015625  0.74023438 2.60546875 0.890625
 2.42773438 2.1953125  2.54101562 0.8359375 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],flop

16,[ 1  3  9 43 14 10 10 10  9 52  9  9 43 14 10 52],"[0.046875 0.140625 0.421875 2.015625 0.65625  0.46875  0.46875  0.46875
 0.421875 2.4375   0.421875 0.421875 2.015625 0.65625  0.46875  2.4375  ]",[  0   0   0   0   5 -16 -14  -8  -6  -6  -2   0   0   5  -8  -6],"[ 0.          0.          0.          0.          0.29267607 -0.93656344
 -0.81949301 -0.46828172 -0.35121129 -0.35121129 -0.11707043  0.
  0.          0.29267607 -0.46828172 -0.35121129]","[2587 1742 1364  648  262  475  420  833 1570   25 1579 1147  489  193
  795   23]","[-0.04492188  0.03515625  0.01367188  0.37890625  0.0625     -0.08789062
 -0.05859375 -0.22070312 -0.01367188  2.36132812  0.01367188 -0.15820312
 -0.37890625 -0.18554688 -0.05859375  0.15234375]","[0.01171875 0.13671875 0.421875   1.98046875 0.65429688 0.4609375
 0.46484375 0.4140625  0.421875   0.60546875 0.421875   0.390625
 1.98046875 0.62890625 0.46484375 2.43359375]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],flop

13,[ 1  3 43  9 14 14 25  9  9  8  9 14  9],"[0.046875 0.140625 2.015625 0.421875 0.65625  0.65625  1.171875 0.421875
 0.421875 0.375    0.421875 0.65625  0.421875]",[  0   0   0   1   2   4   6 -22 -19  -9  -3   2  -3],"[ 0.          0.          0.          0.05853521  0.11707043  0.23414086
  0.35121129 -1.28777473 -1.11216908 -0.52681693 -0.17560564  0.11707043
 -0.17560564]",[2587 1742 2447  645  235  241  138 1253 1451 1751  946  182  757],"[-0.04492188  0.03515625  0.18945312  0.01367188  0.04101562  0.02148438
  0.07421875 -0.11914062 -0.09179688 -0.03515625 -0.01367188 -0.20507812
 -0.171875  ]","[0.01171875 0.13671875 2.0078125  0.421875   0.65429688 0.65625
 1.16992188 0.40429688 0.41210938 0.37304688 0.421875   0.62304688
 0.38476562]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],flop

10,[ 1  3 40 43  7  7  8  9 14  8],"[0.046875 0.140625 1.875    2.015625 0.328125 0.328125 0.375    0.421875
 0.65625  0.375   ]",[  0   0   0   0 -21 -17 -13  -2  -2 -13],"[ 0.          0.          0.          0.         -1.22923951 -0.99509865
 -0.76095779 -0.11707043 -0.11707043 -0.76095779]",[2589 1740  928 2935  337  547  445 1115  167  410],"[-0.04492188  0.03515625  0.17578125  0.18945312 -0.10351562 -0.08203125
 -0.17578125 -0.02734375 -0.02148438  0.1640625 ]","[0.01171875 0.13671875 1.8671875  2.0078125  0.3125     0.31835938
 0.33203125 0.421875   0.65625    0.33789062]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],flop

17,[ 1  3  9 32 40 43 54  6  6  6  9  9 54  6  6  6  9],"[0.046875 0.140625 0.421875 1.5      1.875    2.015625 2.53125  0.28125
 0.28125  0.28125  0.421875 0.421875 2.53125  0.28125  0.28125  0.28125
 0.421875]",[  0   0   0   0   0   0   3 -10  -7  -4  -3  -1   3 -10  -7  -4  -1],"[ 0.          0.          0.          0.          0.          0.
  0.17560564 -0.58535215 -0.4097465  -0.23414086 -0.17560564 -0.05853521
  0.17560564 -0.58535215 -0.4097465  -0.23414086 -0.05853521]","[2588 1741  221  474  962 2700   26  301  309  199  269  257   26  283
  296  192  226]","[-0.04492188  0.03515625 -0.15820312  0.          0.17578125  0.25195312
  2.37304688 -0.03515625 -0.12304688 -0.01757812 -0.0390625  -0.171875
 -0.94921875 -0.140625   -0.01757812 -0.11523438 -0.02734375]","[0.01171875 0.13671875 0.390625   1.5        1.8671875  2.
 0.88085938 0.27929688 0.25390625 0.28125    0.41992188 0.38476562
 2.34765625 0.24414062 0.28125    0.2578125  0.421875  ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],flop

8,[ 1  3 32  9  6 51  6 51],[0.046875 0.140625 1.5      0.421875 0.28125  2.390625 0.28125  2.390625],[0 0 0 1 4 4 4 4],"[0.         0.         0.         0.05853521 0.23414086 0.23414086
 0.23414086 0.23414086]",[2588 1741  281  449 2429   61 2169   45],"[-0.04492188  0.03515625  0.          0.          0.0625     -2.390625
 -0.04492188  0.22460938]","[0.01171875 0.13671875 1.5        0.421875   0.27539062 0.
 0.27734375 2.38085938]",[0. 0. 0. 0. 0. 0. 0. 0.],flop

8,[ 1  3 32  6 40 11 40 11],[0.046875 0.140625 1.5      0.28125  1.875    0.515625 1.875    0.515625],[0 0 0 3 4 6 4 6],"[0.         0.         0.         0.17560564 0.23414086 0.35121129
 0.23414086 0.35121129]",[2587 1737  193 3869   49   48   36   35],"[-0.04492188  0.03515625  0.046875    0.0625      0.17578125  0.09765625
 -0.52734375 -0.09765625]","[0.01171875 0.13671875 1.5        0.27539062 1.8671875  0.50585938
 1.79882812 0.50585938]",[0. 0. 0. 0. 0. 0. 0. 0.],background

4,[ 1  3 32  6],[0.046875 0.140625 1.5      0.28125 ],[0 0 0 2],[0.         0.         0.         0.11707043],[2584 1737  270 2768],[-0.04492188  0.03515625  0.          0.0625    ],[0.01171875 0.13671875 1.5        0.27539062],[0. 0. 0. 0.],background

4,[ 3  6 32  6],[0.140625 0.28125  1.5      0.28125 ],[0 0 0 0],[0. 0. 0. 0.],[1736 1586  529 1379],[ 0.03515625  0.04492188  0.         -0.0625    ],[0.13671875 0.27734375 1.5        0.27539062],[0. 0. 0. 0.],background

6,[ 1  3  6 32 10  6],[0.046875 0.140625 0.28125  1.5      0.46875  0.28125 ],[0 0 0 0 1 0],[0.         0.         0.         0.         0.05853521 0.        ],[2582 1734 1891  536  333 1413],[-0.04492188  0.03515625  0.04492188  0.         -0.02929688 -0.0625    ],[0.01171875 0.13671875 0.27734375 1.5        0.46875    0.27539062],[0. 0. 0. 0. 0. 0.],background

6,[ 1  3 32  7 10  7],[0.046875 0.140625 1.5      0.328125 0.46875  0.328125],[0 0 0 1 1 1],[0.         0.         0.         0.05853521 0.05853521 0.05853521],[2579 1735  455  687  372  630],[-0.04492188  0.03515625  0.          0.03125     0.         -0.09179688],[0.01171875 0.13671875 1.5        0.32617188 0.46875    0.31445312],[0. 0. 0. 0. 0. 0.],background

3,[ 3 32  7],[0.140625 1.5      0.328125],[0 0 1],[0.         0.         0.05853521],[1738  405 1016],[0.03515625 0.         0.04101562],[0.13671875 1.5        0.32617188],[0. 0. 0.],background

9,[ 1  3 32 42 10  7 13 14 10],"[0.046875 0.140625 1.5      1.96875  0.46875  0.328125 0.609375 0.65625
 0.46875 ]",[ 0  0  0  0  1  4  5 10  1],"[0.         0.         0.         0.         0.05853521 0.23414086
 0.29267607 0.58535215 0.05853521]",[2577 1735  252 1295  267  754  141   84  208],"[-0.04492188  0.03515625  0.          0.24609375  0.015625    0.03125
  0.          0.02148438 -0.16210938]","[0.01171875 0.13671875 1.5        1.953125   0.46875    0.32617188
 0.609375   0.65625    0.43945312]",[0. 0. 0. 0. 0. 0. 0. 0. 0.],background

11,[ 1  3 43 10 10 14  8 14  7 14  7],"[0.046875 0.140625 2.015625 0.46875  0.46875  0.65625  0.375    0.65625
 0.328125 0.65625  0.328125]",[ 0  0  0  1  3  5  6  8 13  5 13],"[0.         0.         0.         0.05853521 0.17560564 0.29267607
 0.35121129 0.46828172 0.76095779 0.29267607 0.76095779]",[2576 1736 1088  338  407   80 1305  154  148   57  136],"[-0.04492188  0.03515625  0.25195312  0.02929688 -0.015625   -0.24609375
 -0.01171875  0.02148438 -0.03125     0.         -0.15429688]","[0.01171875 0.13671875 2.         0.46875    0.46875    0.609375
 0.375      0.65625    0.32617188 0.65625    0.2890625 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background

