numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
5,[ 1  3 32 43 51],[0.046875 0.140625 1.5      2.015625 2.390625],[ 0  0  0  0 -3],[ 0.          0.          0.          0.         -0.17560564],[2556 1717  278 2841   53],[-0.04492188  0.03515625 -0.046875    0.18945312  0.07421875],[0.01171875 0.13671875 1.5        2.0078125  2.390625  ],[0. 0. 0. 0. 0.],background
6,[ 1  3 32 43 16 16],[0.046875 0.140625 1.5      2.015625 0.75     0.75    ],[ 0  0  0  0 -2 -2],[ 0.          0.          0.          0.         -0.11707043 -0.11707043],[2536 1705  276 2871   46   35],[-0.04492188  0.03515625  0.          0.18945312  0.7265625  -0.515625  ],[0.01171875 0.13671875 1.5        2.0078125  0.18554688 0.54492188],[0. 0. 0. 0. 0. 0.],background
7,[ 1  3 32 43 51 16 16],[0.046875 0.140625 1.5      2.015625 2.390625 0.75     0.75    ],[ 0  0  0  0  3 -2 -2],"[ 0.          0.          0.          0.          0.17560564 -0.11707043
 -0.11707043]",[2537 1704  281 2874   68   36   35],"[-0.04492188  0.03515625  0.          0.18945312  0.07421875 -0.1875
  0.28125   ]","[0.01171875 0.13671875 1.5        2.0078125  2.390625   0.7265625
 0.6953125 ]",[0. 0. 0. 0. 0. 0. 0.],background
4,[ 1  3 32 43],[0.046875 0.140625 1.5      2.015625],[0 0 0 0],[0. 0. 0. 0.],[2523 1696  281 2842],[-0.04492188  0.03515625  0.          0.18945312],[0.01171875 0.13671875 1.5        2.0078125 ],[0. 0. 0. 0.],background
3,[ 1  3 43],[0.046875 0.140625 2.015625],[0 0 0],[0. 0. 0.],[2524 1690 2885],[-0.04492188  0.03515625  0.18945312],[0.01171875 0.13671875 2.0078125 ],[0. 0. 0.],background
4,[ 1  3 32 43],[0.046875 0.140625 1.5      2.015625],[0 0 0 0],[0. 0. 0. 0.],[2522 1692  275 2851],[-0.04492188  0.03515625 -0.046875    0.18945312],[0.01171875 0.13671875 1.5        2.0078125 ],[0. 0. 0. 0.],background
3,[ 3 32 43],[0.140625 1.5      2.015625],[0 0 0],[0. 0. 0.],[1691  282 2847],[0.03515625 0.         0.18945312],[0.13671875 1.5        2.0078125 ],[0. 0. 0.],background
3,[ 3 32 43],[0.140625 1.5      2.015625],[0 0 0],[0. 0. 0.],[1687  292 2852],[0.03515625 0.         0.18945312],[0.13671875 1.5        2.0078125 ],[0. 0. 0.],background
3,[ 3 32 43],[0.140625 1.5      2.015625],[0 0 0],[0. 0. 0.],[1685  284 2862],[0.03515625 0.         0.18945312],[0.13671875 1.5        2.0078125 ],[0. 0. 0.],background
3,[ 1  3 43],[0.046875 0.140625 2.015625],[0 0 0],[0. 0. 0.],[2503 1687 2878],[-0.04492188  0.03515625  0.18945312],[0.01171875 0.13671875 2.0078125 ],[0. 0. 0.],background
3,[ 1  3 43],[0.046875 0.140625 2.015625],[0 0 0],[0. 0. 0.],[2505 1682 2874],[-0.04492188  0.03515625  0.18945312],[0.01171875 0.13671875 2.0078125 ],[0. 0. 0.],background
4,[ 1  3 40 43],[0.046875 0.140625 1.875    2.015625],[0 0 0 0],[0. 0. 0. 0.],[2499 1679  969 2893],[-0.04492188  0.03515625  0.17578125  0.18945312],[0.01171875 0.13671875 1.8671875  2.0078125 ],[0. 0. 0. 0.],background
