numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label

2,[3 7],[0.140625 0.328125],[0 0],[0. 0.],[1798 6150],[ 0.03515625 -0.04101562],[0.13671875 0.32617188],[0. 0.],background

2,[7 7],[0.328125 0.328125],[0 0],[0. 0.],[4225 3564],[ 0.         -0.11328125],[0.328125   0.30859375],[0. 0.],background

2,[7 7],[0.328125 0.328125],[0 0],[0. 0.],[5011 3608],[-0.02148438 -0.14453125],[0.328125   0.29492188],[0. 0.],background

2,[7 7],[0.328125 0.328125],[0 0],[0. 0.],[4000 3051],[-0.00976562 -0.1328125 ],[0.328125   0.30078125],[0. 0.],background

5,[3 7 7 7 7],[0.140625 0.328125 0.328125 0.328125 0.328125],[ 0  0 -1  0 -1],[ 0.          0.         -0.05853521  0.         -0.05853521],[1774 3922 4537 2969 3366],[ 0.03515625 -0.02148438 -0.02148438 -0.14453125 -0.14453125],[0.13671875 0.328125   0.328125   0.29492188 0.29492188],[0. 0. 0. 0. 0.],background

3,[ 7  7 11],[0.328125 0.328125 0.515625],[ 0 -1 -1],[ 0.         -0.05853521 -0.05853521],[3931 5481  344],[-0.03125    -0.03125     0.08007812],[0.32617188 0.32617188 0.50976562],[0. 0. 0.],background

3,[3 7 7],[0.140625 0.328125 0.328125],[ 0  0 -1],[ 0.          0.         -0.05853521],[1769 5747 6677],[ 0.03515625 -0.02148438 -0.02148438],[0.13671875 0.328125   0.328125  ],[0. 0. 0.],background

1,[7],[0.328125],[0],[0.],[5720],[-0.03125],[0.32617188],[0.],background

3,[ 7 24  7],[0.328125 1.125    0.328125],[ 0 -1  0],[ 0.         -0.05853521  0.        ],[4011  196 3332],[-0.03125     0.10546875 -0.15429688],[0.32617188 1.12109375 0.2890625 ],[0. 0. 0.],background

3,[ 7 24  7],[0.328125 1.125    0.328125],[ 0 -1  0],[ 0.         -0.05853521  0.        ],[3468  210 3270],[-0.00976562  0.0703125  -0.1328125 ],[0.328125   1.12304688 0.30078125],[0. 0. 0.],background

1,[7],[0.328125],[0],[0.],[3533],[-0.03125],[0.32617188],[0.],background

2,[7 7],[0.328125 0.328125],[0 0],[0. 0.],[7324 6226],[-0.03125    -0.15429688],[0.32617188 0.2890625 ],[0. 0.],background

6,[ 3  7 24  7  7  7],[0.140625 0.328125 1.125    0.328125 0.328125 0.328125],[ 0  0 -2 -1  0 -1],[ 0.          0.         -0.11707043 -0.05853521  0.         -0.05853521],[1758 2277  145 4326 2000 3671],[ 0.03515625  0.04101562  0.03515625  0.04101562 -0.07226562 -0.07226562],[0.13671875 0.32617188 1.125      0.32617188 0.3203125  0.3203125 ],[0. 0. 0. 0. 0. 0.],background

5,[ 1  3 23  7  7],[0.046875 0.140625 1.078125 0.328125 0.328125],[ 0  0 -3 -2 -2],[ 0.          0.         -0.17560564 -0.11707043 -0.11707043],[2605 1760  124 3206 3180],[-0.04492188  0.03515625  0.03320312 -0.09179688  0.03125   ],[0.01171875 0.13671875 1.078125   0.31445312 0.32617188],[0. 0. 0. 0. 0.],background

6,[ 1  3 13  7 13  7],[0.046875 0.140625 0.609375 0.328125 0.609375 0.328125],[ 0  0 -5 -2 -5 -2],[ 0.          0.         -0.29267607 -0.11707043 -0.29267607 -0.11707043],[2601 1759   91 2828   80 2541],[-0.04492188  0.03515625  0.05664062  0.14453125 -0.20898438  0.03125   ],[0.01171875 0.13671875 0.60742188 0.29492188 0.57226562 0.32617188],[0. 0. 0. 0. 0. 0.],background

7,[ 1  3 43 12 23  7 43],[0.046875 0.140625 2.015625 0.5625   1.078125 0.328125 2.015625],[ 0  0  0 -7 -7 -4  0],"[ 0.          0.          0.         -0.4097465  -0.4097465  -0.23414086
  0.        ]",[2596 1755  367  110   91 4506  351],"[-0.04492188  0.03515625  0.50390625 -0.10546875  0.03320312  0.03125
 -0.25195312]","[0.01171875 0.13671875 1.95117188 0.55273438 1.078125   0.32617188
 2.        ]",[0. 0. 0. 0. 0. 0. 0.],background

8,[ 1  3 43 12 22  7 43 22],[0.046875 0.140625 2.015625 0.5625   1.03125  0.328125 2.015625 1.03125 ],[ 0  0  0 -8 -8 -4  0 -8],"[ 0.          0.          0.         -0.46828172 -0.46828172 -0.23414086
  0.         -0.46828172]",[2600 1757  404  140   87 5255  378   68],"[-0.04492188  0.03515625  0.50390625 -0.10546875  0.06445312  0.03125
 -0.25195312 -0.32226562]","[0.01171875 0.13671875 1.95117188 0.55273438 1.02929688 0.32617188
 2.         0.98046875]",[0. 0. 0. 0. 0. 0. 0. 0.],background

