numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label

5,[ 1  3 43 51 12],[0.046875 0.140625 2.015625 2.390625 0.5625  ],[0 0 0 0 2],[0.         0.         0.         0.         0.11707043],[2549 1700 2206 1586 6192],[-0.04492188  0.03515625  0.18945312  0.29882812 -0.01757812],[0.01171875 0.13671875 2.0078125  2.37304688 0.5625    ],[0. 0. 0. 0. 0.],background

6,[ 1  3 43 51 13 13],[0.046875 0.140625 2.015625 2.390625 0.609375 0.609375],[0 0 0 0 2 2],[0.         0.         0.         0.         0.11707043 0.11707043],[2539 1692 2089 1647  842  816],[-0.04492188  0.03515625  0.18945312  0.29882812  0.09570312 -0.1328125 ],[0.01171875 0.13671875 2.0078125  2.37304688 0.6015625  0.59375   ],[0. 0. 0. 0. 0. 0.],background

5,[ 1  3 43 51 13],[0.046875 0.140625 2.015625 2.390625 0.609375],[0 0 0 0 2],[0.         0.         0.         0.         0.11707043],[2532 1683 2331 1674 4988],[-0.04492188  0.03515625  0.18945312  0.29882812  0.        ],[0.01171875 0.13671875 2.0078125  2.37304688 0.609375  ],[0. 0. 0. 0. 0.],background

6,[ 1  3 43 51 13 24],[0.046875 0.140625 2.015625 2.390625 0.609375 1.125   ],[0 0 0 0 2 4],[0.         0.         0.         0.         0.11707043 0.23414086],[2529 1681 2572 1644 5373   57],[-0.04492188  0.03515625  0.18945312  0.29882812  0.          0.        ],[0.01171875 0.13671875 2.0078125  2.37304688 0.609375   1.125     ],[0. 0. 0. 0. 0. 0.],background

5,[ 1  3 43 51 13],[0.046875 0.140625 2.015625 2.390625 0.609375],[0 0 0 0 2],[0.         0.         0.         0.         0.11707043],[2526 1679 2653 1626 7006],[-0.04492188  0.03515625  0.18945312  0.29882812  0.        ],[0.01171875 0.13671875 2.0078125  2.37304688 0.609375  ],[0. 0. 0. 0. 0.],background

4,[ 1 43 51 13],[0.046875 2.015625 2.390625 0.609375],[0 0 0 1],[0.         0.         0.         0.05853521],[2517 2728 1643 5123],[-0.04492188  0.18945312  0.29882812  0.        ],[0.01171875 2.0078125  2.37304688 0.609375  ],[0. 0. 0. 0.],background

4,[ 1 43 51 13],[0.046875 2.015625 2.390625 0.609375],[0 0 0 1],[0.         0.         0.         0.05853521],[2508 2736 1642 4777],[-0.04492188  0.18945312  0.29882812  0.        ],[0.01171875 2.0078125  2.37304688 0.609375  ],[0. 0. 0. 0.],background

5,[ 1  3 43 51 13],[0.046875 0.140625 2.015625 2.390625 0.609375],[0 0 0 0 1],[0.         0.         0.         0.         0.05853521],[2510 1669 2600 1557 2489],[-0.04492188  0.03515625  0.18945312  0.29882812  0.01953125],[0.01171875 0.13671875 2.0078125  2.37304688 0.609375  ],[0. 0. 0. 0. 0.],background

4,[ 1 43 51 13],[0.046875 2.015625 2.390625 0.609375],[0 0 0 1],[0.         0.         0.         0.05853521],[2505 2540 1543 3774],[-0.04492188  0.18945312  0.29882812  0.01953125],[0.01171875 2.0078125  2.37304688 0.609375  ],[0. 0. 0. 0.],background

3,[ 1 43 13],[0.046875 2.015625 0.609375],[0 0 1],[0.         0.         0.05853521],[2502 2647 5366],[-0.04492188  0.18945312  0.01953125],[0.01171875 2.0078125  0.609375  ],[0. 0. 0.],background

3,[ 1 43 13],[0.046875 2.015625 0.609375],[0 0 1],[0.         0.         0.05853521],[2503 2679 6479],[-0.04492188  0.18945312  0.        ],[0.01171875 2.0078125  0.609375  ],[0. 0. 0.],background

3,[ 1 13 43],[0.046875 0.609375 2.015625],[0 0 0],[0. 0. 0.],[2501 6401 2731],[-0.04492188  0.          0.18945312],[0.01171875 0.609375   2.0078125 ],[0. 0. 0.],background

3,[ 1 13 43],[0.046875 0.609375 2.015625],[0 0 0],[0. 0. 0.],[2498 3539 2790],[-0.04492188  0.          0.18945312],[0.01171875 0.609375   2.0078125 ],[0. 0. 0.],background

