numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label

9,[ 1  3 43 51 54  8 14 51 54],"[0.046875 0.140625 2.015625 2.390625 2.53125  0.375    0.65625  2.390625
 2.53125 ]",[ 0  0  0  3  3 -5 -1  3  3],"[ 0.          0.          0.          0.17560564  0.17560564 -0.29267607
 -0.05853521  0.17560564  0.17560564]",[2620 1760 2979   29   49   20  231   29   37],"[-0.04492188  0.03515625  0.18945312  0.59765625  0.71289062  0.1640625
 -0.02148438 -0.29882812 -0.23828125]","[0.01171875 0.13671875 2.0078125  2.31445312 2.4296875  0.33789062
 0.65625    2.37304688 2.51953125]",[0. 0. 0. 0. 0. 0. 0. 0. 0.],background

7,[ 1  3 43  8 14 14  8],[0.046875 0.140625 2.015625 0.375    0.65625  0.65625  0.375   ],[ 0  0  0 -7 -5 -2 -7],"[ 0.          0.          0.         -0.4097465  -0.29267607 -0.11707043
 -0.4097465 ]",[2606 1748 2963  153  188   79  121],"[-0.04492188  0.03515625  0.18945312  0.09375     0.02148438 -0.0625
 -0.046875  ]","[0.01171875 0.13671875 2.0078125  0.36328125 0.65625    0.65429688
 0.37304688]",[0. 0. 0. 0. 0. 0. 0.],background

14,[ 1  3 40 43  8 55 58  8 13 14  8 55  8 14],"[0.046875 0.140625 1.875    2.015625 0.375    2.578125 2.71875  0.375
 0.609375 0.65625  0.375    2.578125 0.375    0.65625 ]",[ 0  0  0  0 -9 -9 -8 -7 -6 -2 -9 -9 -7 -2],"[ 0.          0.          0.          0.         -0.52681693 -0.52681693
 -0.46828172 -0.4097465  -0.35121129 -0.11707043 -0.52681693 -0.52681693
 -0.4097465  -0.11707043]",[2595 1745  978 2897  268   37   27  488  162   52  207   34  357   38],"[-0.04492188  0.03515625  0.17578125  0.18945312  0.09375     2.09570312
  0.50976562  0.08203125  0.         -0.12304688 -0.046875   -2.09570312
 -0.05859375  0.20507812]","[0.01171875 0.13671875 1.8671875  2.0078125  0.36328125 1.50390625
 2.66992188 0.36523438 0.609375   0.64453125 0.37304688 1.50390625
 0.37109375 0.62304688]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background

10,[ 1  3 13 13 11  7 11 13  7 11],"[0.046875 0.140625 0.609375 0.609375 0.515625 0.328125 0.515625 0.609375
 0.328125 0.515625]",[  0   0   2   4 -16 -13 -13   4 -13 -13],"[ 0.          0.          0.11707043  0.23414086 -0.93656344 -0.76095779
 -0.76095779  0.23414086 -0.76095779 -0.76095779]",[2595 1742  106   59   39 2146   45   51 1706   42],"[-0.04492188  0.03515625 -0.3046875   0.1328125   0.06445312  0.02148438
  0.015625   -0.11523438 -0.10351562 -0.16210938]","[0.01171875 0.13671875 0.52734375 0.59375    0.51171875 0.328125
 0.515625   0.59960938 0.3125     0.49023438]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background

15,[ 1  3 51 11 18 12 19  7  6  6 14 14  6 14 14],"[0.046875 0.140625 2.390625 0.515625 0.84375  0.5625   0.890625 0.328125
 0.28125  0.28125  0.65625  0.65625  0.28125  0.65625  0.65625 ]",[  0   0   0 -29 -26 -24 -24 -15 -12  -8  -5  -3 -12  -5  -3],"[ 0.          0.          0.         -1.69752123 -1.52191558 -1.40484515
 -1.40484515 -0.87802822 -0.70242258 -0.46828172 -0.29267607 -0.17560564
 -0.70242258 -0.29267607 -0.17560564]","[2588 1739  850   39   40   25   45 1894 2482  509   50   67 2100   43
   49]","[-0.04492188  0.03515625  0.44921875  0.03320312  0.05273438 -0.03515625
  0.02734375  0.02148438 -0.01757812 -0.10546875 -0.08203125  0.20507812
 -0.12304688 -0.30859375  0.57421875]","[0.01171875 0.13671875 2.34765625 0.515625   0.84179688 0.56054688
 0.890625   0.328125   0.28125    0.26171875 0.65039062 0.62304688
 0.25390625 0.58007812 0.31835938]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background

