numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
5,[ 1 19 46 48 19],[0.046875 0.890625 2.15625  2.25     0.890625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2523  870 1954 1717  710],[-0.04492188  0.11132812 -0.60742188 -0.984375   -0.22265625],[0.01171875 0.8828125  2.0703125  2.0234375  0.86328125],[0. 0. 0. 0. 0.],background
5,[ 1 19 21 48 19],[0.046875 0.890625 0.984375 2.25     0.890625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2512  873  804 1667  705],[-0.04492188  0.11132812 -0.03125    -0.984375   -0.22265625],[0.01171875 0.8828125  0.984375   2.0234375  0.86328125],[0. 0. 0. 0. 0.],background
4,[ 1 19 48 19],[0.046875 0.890625 2.25     0.890625],[0 0 0 0],[0. 0. 0. 0.],[2507  866 1748  697],[-0.04492188  0.11132812 -0.984375   -0.22265625],[0.01171875 0.8828125  2.0234375  0.86328125],[0. 0. 0. 0.],background
4,[ 1 19 48 19],[0.046875 0.890625 2.25     0.890625],[0 0 0 0],[0. 0. 0. 0.],[2498  882 1673  727],[-0.04492188  0.11132812 -0.984375   -0.22265625],[0.01171875 0.8828125  2.0234375  0.86328125],[0. 0. 0. 0.],background
6,[ 1 19 46 48 19 46],[0.046875 0.890625 2.15625  2.25     0.890625 2.15625 ],[0 0 0 0 0 0],[0. 0. 0. 0. 0. 0.],[2496  836 1723 1738  682 1297],[-0.04492188  0.11132812 -0.60742188 -0.984375   -0.22265625  0.13476562],[0.01171875 0.8828125  2.0703125  2.0234375  0.86328125 2.15234375],[0. 0. 0. 0. 0. 0.],background
5,[ 1 19 46 48 19],[0.046875 0.890625 2.15625  2.25     0.890625],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2491  867 1773 1683  723],[-0.04492188  0.11132812 -0.60742188 -0.984375   -0.22265625],[0.01171875 0.8828125  2.0703125  2.0234375  0.86328125],[0. 0. 0. 0. 0.],background
6,[ 1 19 21 48 10 19],[0.046875 0.890625 0.984375 2.25     0.46875  0.890625],[0 0 0 0 2 0],[0.         0.         0.         0.         0.11707043 0.        ],[2482  857  763 1608  357  687],[-0.04492188  0.11132812 -0.03125    -0.984375   -0.14648438 -0.22265625],[0.01171875 0.8828125  0.984375   2.0234375  0.4453125  0.86328125],[0. 0. 0. 0. 0. 0.],background
7,[ 1 19 21 46 48 11 19],[0.046875 0.890625 0.984375 2.15625  2.25     0.515625 0.890625],[0 0 0 0 0 2 0],"[0.         0.         0.         0.         0.         0.11707043
 0.        ]",[2479  870  717 1889 1668  255  701],"[-0.04492188  0.11132812 -0.03125    -0.60742188 -0.984375   -0.04882812
 -0.22265625]","[0.01171875 0.8828125  0.984375   2.0703125  2.0234375  0.51367188
 0.86328125]",[0. 0. 0. 0. 0. 0. 0.],background
6,[ 1 19 21 48 11 19],[0.046875 0.890625 0.984375 2.25     0.515625 0.890625],[0 0 0 0 3 0],[0.         0.         0.         0.         0.17560564 0.        ],[2485  852  746 1674  300  705],[-0.04492188  0.11132812 -0.03125    -0.984375   -0.015625   -0.22265625],[0.01171875 0.8828125  0.984375   2.0234375  0.515625   0.86328125],[0. 0. 0. 0. 0. 0.],background
9,[ 1 19 21 46 48 12 16 19 12],"[0.046875 0.890625 0.984375 2.15625  2.25     0.5625   0.75     0.890625
 0.5625  ]",[0 0 0 0 0 4 4 0 4],"[0.         0.         0.         0.         0.         0.23414086
 0.23414086 0.         0.23414086]",[2480  861  753 1824 1665  155   56  704  138],"[-0.04492188  0.11132812 -0.03125    -0.60742188 -0.984375   -0.03515625
  0.0234375  -0.22265625 -0.2109375 ]","[0.01171875 0.8828125  0.984375   2.0703125  2.0234375  0.56054688
 0.75       0.86328125 0.52148438]",[0. 0. 0. 0. 0. 0. 0. 0. 0.],background
