numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
4,[ 1 11 47 47],[0.046875 0.515625 2.203125 2.203125],[0 0 0 0],[0. 0. 0. 0.],[2550 5054 1464 1082],[-0.04492188  0.04882812 -1.24023438 -0.4140625 ],[0.01171875 0.51367188 1.82226562 2.1640625 ],[0. 0. 0. 0.],background
4,[ 1 11 47 47],[0.046875 0.515625 2.203125 2.203125],[0 0 0 0],[0. 0. 0. 0.],[2546 4061 1518 1133],[-0.04492188  0.03320312 -1.24023438 -0.48242188],[0.01171875 0.515625   1.82226562 2.15039062],[0. 0. 0. 0.],background
2,[ 1 11],[0.046875 0.515625],[0 0],[0. 0.],[2538 2222],[-0.04492188  0.        ],[0.01171875 0.515625  ],[0. 0.],background
2,[ 1 11],[0.046875 0.515625],[0 0],[0. 0.],[2525 1945],[-0.04492188 -0.015625  ],[0.01171875 0.515625  ],[0. 0.],background
3,[ 1 48 11],[0.046875 2.25     0.515625],[0 0 1],[0.         0.         0.05853521],[2522 1530 1534],[-0.04492188 -1.0546875  -0.03320312],[0.01171875 1.98828125 0.515625  ],[0. 0. 0.],background
2,[ 1 11],[0.046875 0.515625],[0 1],[0.         0.05853521],[2516 2834],[-0.04492188 -0.015625  ],[0.01171875 0.515625  ],[0. 0.],background
2,[ 1 11],[0.046875 0.515625],[0 1],[0.         0.05853521],[2514 3705],[-0.04492188  0.        ],[0.01171875 0.515625  ],[0. 0.],background
2,[ 1 11],[0.046875 0.515625],[0 0],[0. 0.],[2515 4873],[-0.04492188  0.015625  ],[0.01171875 0.515625  ],[0. 0.],background
2,[ 1 11],[0.046875 0.515625],[0 0],[0. 0.],[2510 4765],[-0.04492188  0.        ],[0.01171875 0.515625  ],[0. 0.],background
2,[ 1 11],[0.046875 0.515625],[0 0],[0. 0.],[2513 4230],[-0.04492188  0.        ],[0.01171875 0.515625  ],[0. 0.],background
2,[ 1 11],[0.046875 0.515625],[0 0],[0. 0.],[2511 3635],[-0.04492188 -0.015625  ],[0.01171875 0.515625  ],[0. 0.],background
3,[ 1 11 48],[0.046875 0.515625 2.25    ],[0 0 0],[0. 0. 0.],[2508 3175 1496],[-0.04492188 -0.03320312 -0.984375  ],[0.01171875 0.515625   2.0234375 ],[0. 0. 0.],background
3,[ 1 11 48],[0.046875 0.515625 2.25    ],[0 0 0],[0. 0. 0.],[2507 3601 1480],[-0.04492188 -0.015625   -0.984375  ],[0.01171875 0.515625   2.0234375 ],[0. 0. 0.],background
3,[ 1 11 48],[0.046875 0.515625 2.25    ],[0 0 0],[0. 0. 0.],[2505 4738 1465],[-0.04492188  0.         -1.0546875 ],[0.01171875 0.515625   1.98828125],[0. 0. 0.],background
2,[ 1 11],[0.046875 0.515625],[0 0],[0. 0.],[2502 4674],[-0.04492188  0.        ],[0.01171875 0.515625  ],[0. 0.],background
3,[ 1 11 49],[0.046875 0.515625 2.296875],[0 0 0],[0. 0. 0.],[2499 3992 1447],[-0.04492188  0.         -0.7890625 ],[0.01171875 0.515625   2.15625   ],[0. 0. 0.],background
