numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
5,[ 1 12 46 48 46],[0.046875 0.5625   2.15625  2.25     2.15625 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2560 5890 1334 1878 1036],[-0.04492188 -0.05273438 -0.47265625 -0.9140625  -1.34765625],[0.01171875 0.56054688 2.10351562 2.05664062 1.68359375],[0. 0. 0. 0. 0.],background
5,[ 1 12 46 48 46],[0.046875 0.5625   2.15625  2.25     2.15625 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2541 5997 1340 1869 1029],[-0.04492188 -0.05273438 -0.47265625 -0.9140625  -1.34765625],[0.01171875 0.56054688 2.10351562 2.05664062 1.68359375],[0. 0. 0. 0. 0.],background
5,[ 1 12 46 48 46],[0.046875 0.5625   2.15625  2.25     2.15625 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2532 6509 1338 1887 1024],[-0.04492188 -0.05273438 -0.47265625 -0.9140625  -1.34765625],[0.01171875 0.56054688 2.10351562 2.05664062 1.68359375],[0. 0. 0. 0. 0.],background
5,[ 1 12 46 48 46],[0.046875 0.5625   2.15625  2.25     2.15625 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2524 7028 1337 1914 1004],[-0.04492188 -0.03515625 -0.47265625 -0.9140625  -1.34765625],[0.01171875 0.56054688 2.10351562 2.05664062 1.68359375],[0. 0. 0. 0. 0.],background
5,[ 1 12 46 48 46],[0.046875 0.5625   2.15625  2.25     2.15625 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2521 6386 1324 1900 1010],[-0.04492188 -0.03515625 -0.47265625 -0.9140625  -1.34765625],[0.01171875 0.56054688 2.10351562 2.05664062 1.68359375],[0. 0. 0. 0. 0.],background
5,[ 1 12 46 48 46],[0.046875 0.5625   2.15625  2.25     2.15625 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2521 6182 1325 1872 1016],[-0.04492188 -0.03515625 -0.47265625 -0.9140625  -1.34765625],[0.01171875 0.56054688 2.10351562 2.05664062 1.68359375],[0. 0. 0. 0. 0.],background
5,[ 1 12 46 48 46],[0.046875 0.5625   2.15625  2.25     2.15625 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2517 5752 1294 1869 1032],[-0.04492188 -0.05273438 -0.47265625 -0.9140625  -1.34765625],[0.01171875 0.56054688 2.10351562 2.05664062 1.68359375],[0. 0. 0. 0. 0.],background
5,[ 1 12 46 48 46],[0.046875 0.5625   2.15625  2.25     2.15625 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2511 6367 1300 1871 1031],[-0.04492188 -0.03515625 -0.47265625 -0.9140625  -1.34765625],[0.01171875 0.56054688 2.10351562 2.05664062 1.68359375],[0. 0. 0. 0. 0.],background
5,[ 1 12 46 48 46],[0.046875 0.5625   2.15625  2.25     2.15625 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2509 3949 1315 1860 1006],[-0.04492188 -0.08789062 -0.47265625 -0.9140625  -1.34765625],[0.01171875 0.5546875  2.10351562 2.05664062 1.68359375],[0. 0. 0. 0. 0.],background
5,[ 1 12 46 48 46],[0.046875 0.5625   2.15625  2.25     2.15625 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2505 4232 1300 1837 1019],[-0.04492188 -0.08789062 -0.47265625 -0.9140625  -1.34765625],[0.01171875 0.5546875  2.10351562 2.05664062 1.68359375],[0. 0. 0. 0. 0.],background
6,[ 1 12 46 48 12 46],[0.046875 0.5625   2.15625  2.25     0.5625   2.15625 ],[0 0 0 0 0 0],[0. 0. 0. 0. 0. 0.],[2506 4090 1397 1776 2951 1033],[-0.04492188  0.05273438 -0.5390625  -0.84375    -0.140625   -1.34765625],[0.01171875 0.56054688 2.08789062 2.0859375  0.54492188 1.68359375],[0. 0. 0. 0. 0. 0.],background
5,[ 1 13 46 48 46],[0.046875 0.609375 2.15625  2.25     2.15625 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2502 3710 1414 1738 1018],[-0.04492188 -0.0390625  -0.5390625  -0.9140625  -1.34765625],[0.01171875 0.60742188 2.08789062 2.05664062 1.68359375],[0. 0. 0. 0. 0.],background
4,[ 1 13 46 48],[0.046875 0.609375 2.15625  2.25    ],[0 0 0 0],[0. 0. 0. 0.],[2503 4810 1571 1596],[-0.04492188  0.         -0.5390625  -0.9140625 ],[0.01171875 0.609375   2.08789062 2.05664062],[0. 0. 0. 0.],background
4,[ 1 13 46 13],[0.046875 0.609375 2.15625  0.609375],[0 0 0 0],[0. 0. 0. 0.],[2499 2890 1636 2810],[-0.04492188 -0.15234375 -0.5390625   0.09570312],[0.01171875 0.58984375 2.08789062 0.6015625 ],[0. 0. 0. 0.],background
4,[ 1 13 46 13],[0.046875 0.609375 2.15625  0.609375],[0 0 0 0],[0. 0. 0. 0.],[2497 2964 1624 2764],[-0.04492188 -0.1328125  -0.5390625   0.09570312],[0.01171875 0.59375    2.08789062 0.6015625 ],[0. 0. 0. 0.],background
4,[ 1 12 46 12],[0.046875 0.5625   2.15625  0.5625  ],[0 0 0 0],[0. 0. 0. 0.],[2495 2823 1644 2035],[-0.04492188 -0.01757812 -0.5390625  -0.24609375],[0.01171875 0.5625     2.08789062 0.50585938],[0. 0. 0. 0.],background
5,[ 1 12 46 48 12],[0.046875 0.5625   2.15625  2.25     0.5625  ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2495 3207 1687 1586 2481],[-0.04492188 -0.10546875 -0.5390625  -0.9140625   0.08789062],[0.01171875 0.55273438 2.08789062 2.05664062 0.5546875 ],[0. 0. 0. 0. 0.],background
3,[ 1 12 46],[0.046875 0.5625   2.15625 ],[0 0 0],[0. 0. 0.],[2493 3131 1664],[-0.04492188 -0.05273438 -0.5390625 ],[0.01171875 0.56054688 2.08789062],[0. 0. 0.],background
3,[ 1 12 46],[0.046875 0.5625   2.15625 ],[0 0 0],[0. 0. 0.],[2491 4659 1604],[-0.04492188 -0.03515625 -0.5390625 ],[0.01171875 0.56054688 2.08789062],[0. 0. 0.],slideDown
4,[ 1 12 46 48],[0.046875 0.5625   2.15625  2.25    ],[0 0 0 0],[0. 0. 0. 0.],[2490 5403 1579 1677],[-0.04492188 -0.03515625 -0.5390625  -0.9140625 ],[0.01171875 0.56054688 2.08789062 2.05664062],[0. 0. 0. 0.],slideDown
4,[ 1 12 46 48],[0.046875 0.5625   2.15625  2.25    ],[0 0 0 0],[0. 0. 0. 0.],[2492 6017 1584 1667],[-0.04492188 -0.01757812 -0.5390625  -0.9140625 ],[0.01171875 0.5625     2.08789062 2.05664062],[0. 0. 0. 0.],slideDown
4,[ 1 12 46 48],[0.046875 0.5625   2.15625  2.25    ],[0 0 0 0],[0. 0. 0. 0.],[2487 5088 1567 1661],[-0.04492188 -0.01757812 -0.5390625  -0.9140625 ],[0.01171875 0.5625     2.08789062 2.05664062],[0. 0. 0. 0.],slideDown
4,[ 1 12 46 48],[0.046875 0.5625   2.15625  2.25    ],[0 0 0 0],[0. 0. 0. 0.],[2485 5583 1587 1681],[-0.04492188 -0.0703125  -0.5390625  -0.9140625 ],[0.01171875 0.55859375 2.08789062 2.05664062],[0. 0. 0. 0.],slideDown
4,[ 1 12 46 48],[0.046875 0.5625   2.15625  2.25    ],[0 0 0 0],[0. 0. 0. 0.],[2485 6004 1626 1683],[-0.04492188 -0.05273438 -0.5390625  -0.9140625 ],[0.01171875 0.56054688 2.08789062 2.05664062],[0. 0. 0. 0.],slideDown
4,[ 1 12 46 48],[0.046875 0.5625   2.15625  2.25    ],[0 0 0 0],[0. 0. 0. 0.],[2483 6661 1563 1689],[-0.04492188 -0.01757812 -0.5390625  -0.9140625 ],[0.01171875 0.5625     2.08789062 2.05664062],[0. 0. 0. 0.],slideDown
6,[ 1 12 46 48 12 46],[0.046875 0.5625   2.15625  2.25     0.5625   2.15625 ],[0 0 0 0 0 0],[0. 0. 0. 0. 0. 0.],[2489 5281 1492 1684 3815 1135],[-0.04492188 -0.01757812 -0.5390625  -0.9140625  -0.24609375 -1.34765625],[0.01171875 0.5625     2.08789062 2.05664062 0.50585938 1.68359375],[0. 0. 0. 0. 0. 0.],slideDown
6,[ 1 46 48 12 46 12],[0.046875 2.15625  2.25     0.5625   2.15625  0.5625  ],[0 0 0 1 0 1],[0.         0.         0.         0.05853521 0.         0.05853521],[2484 1528 1630 4319 1156 3247],[-0.04492188 -0.5390625  -0.9140625  -0.03515625 -1.34765625 -0.24609375],[0.01171875 2.08789062 2.05664062 0.56054688 1.68359375 0.50585938],[0. 0. 0. 0. 0. 0.],slideDown
7,[ 1 12 46 48 13 13 46],[0.046875 0.5625   2.15625  2.25     0.609375 0.609375 2.15625 ],[ 0  0  0  0 -7 -4  0],"[ 0.          0.          0.          0.         -0.4097465  -0.23414086
  0.        ]",[2485 3590 1380 1570  274  321 1129],"[-0.04492188 -0.0703125  -0.5390625  -0.9140625  -0.07617188  0.0390625
 -1.34765625]","[0.01171875 0.55859375 2.08789062 2.05664062 0.60546875 0.60742188
 1.68359375]",[0. 0. 0. 0. 0. 0. 0.],slideDown
8,[ 1 12 46 48 12 12 12 46],[0.046875 0.5625   2.15625  2.25     0.5625   0.5625   0.5625   2.15625 ],[ 0  0  0  0 -5 -1  0  0],"[ 0.          0.          0.          0.         -0.29267607 -0.05853521
  0.          0.        ]",[2481 1553 1334 1670 1127 2625 1435 1046],"[-0.04492188 -0.10546875 -0.60742188 -0.9140625  -0.0703125  -0.03515625
  0.05273438 -1.34765625]","[0.01171875 0.55273438 2.0703125  2.05664062 0.55859375 0.56054688
 0.56054688 1.68359375]",[0. 0. 0. 0. 0. 0. 0. 0.],slideDown
5,[ 1 48 21 12 12],[0.046875 2.25     0.984375 0.5625   0.5625  ],[ 0  0  2 -5 -2],[ 0.          0.          0.11707043 -0.29267607 -0.11707043],[2479 1586   90 1274 2927],[-0.04492188 -0.9140625   0.0625     -0.0703125  -0.05273438],[0.01171875 2.05664062 0.98242188 0.55859375 0.56054688],[0. 0. 0. 0. 0.],slideDown
4,[ 1 46 12 46],[0.046875 2.15625  0.5625   2.15625 ],[ 0  0 -2  0],[ 0.          0.         -0.11707043  0.        ],[2480 1385 2308 1112],[-0.04492188 -0.5390625  -0.05273438 -1.34765625],[0.01171875 2.08789062 0.56054688 1.68359375],[0. 0. 0. 0.],slideDown
4,[ 1 12 46 46],[0.046875 0.5625   2.15625  2.15625 ],[0 0 0 0],[0. 0. 0. 0.],[2481 3867 1224  973],[-0.04492188  0.         -0.67382812 -1.41601562],[0.01171875 0.5625     2.04882812 1.62695312],[0. 0. 0. 0.],slideDown
6,[ 1 12 22 12 12 12],[0.046875 0.5625   1.03125  0.5625   0.5625   0.5625  ],[ 0  0 -2 -1  0 -1],[ 0.          0.         -0.11707043 -0.05853521  0.         -0.05853521],[2478 1610  213 1860 1456 1752],[-0.04492188  0.05273438 -0.03320312  0.03515625 -0.08789062 -0.08789062],[0.01171875 0.56054688 1.03125    0.56054688 0.5546875  0.5546875 ],[0. 0. 0. 0. 0. 0.],slideDown
2,[ 1 11],[0.046875 0.515625],[ 0 -1],[ 0.         -0.05853521],[2479 2130],[-0.04492188 -0.06445312],[0.01171875 0.51171875],[0. 0.],slideDown
3,[ 1 12 12],[0.046875 0.5625   0.5625  ],[0 0 0],[0. 0. 0.],[2480 2647 1983],[-0.04492188 -0.10546875 -0.29882812],[0.01171875 0.55273438 0.4765625 ],[0. 0. 0.],background
4,[ 1 12 48 12],[0.046875 0.5625   2.25     0.5625  ],[0 0 0 0],[0. 0. 0. 0.],[2477 2152 1304 1803],[-0.04492188 -0.140625   -0.7734375   0.22851562],[0.01171875 0.54492188 2.11328125 0.51367188],[0. 0. 0. 0.],background
3,[ 1 12 48],[0.046875 0.5625   2.25    ],[0 0 0],[0. 0. 0.],[2477 4181 1270],[-0.04492188  0.01757812 -0.84375   ],[0.01171875 0.5625     2.0859375 ],[0. 0. 0.],background
4,[ 1 12 48 12],[0.046875 0.5625   2.25     0.5625  ],[0 0 0 0],[0. 0. 0. 0.],[2483 3411 1283 2853],[-0.04492188  0.03515625 -0.84375    -0.15820312],[0.01171875 0.56054688 2.0859375  0.5390625 ],[0. 0. 0. 0.],background
3,[ 1 12 48],[0.046875 0.5625   2.25    ],[0 0 0],[0. 0. 0.],[2480 4298 1306],[-0.04492188  0.         -0.84375   ],[0.01171875 0.5625     2.0859375 ],[0. 0. 0.],background
3,[ 1 12 48],[0.046875 0.5625   2.25    ],[0 0 0],[0. 0. 0.],[2479 2705 1317],[-0.04492188  0.         -0.7734375 ],[0.01171875 0.5625     2.11328125],[0. 0. 0.],background
8,[ 1 12 48 12 12 11 12 12],[0.046875 0.5625   2.25     0.5625   0.5625   0.515625 0.5625   0.5625  ],[ 0  0  0  3  8 -3  3  8],"[ 0.          0.          0.          0.17560564  0.46828172 -0.17560564
  0.17560564  0.46828172]",[2478 2217 1165 3169  816  595 2681  620],"[-0.04492188  0.         -0.84375    -0.08789062 -0.10546875 -0.04882812
 -0.29882812 -0.31640625]","[0.01171875 0.5625     2.0859375  0.5546875  0.55273438 0.51367188
 0.4765625  0.46484375]",[0. 0. 0. 0. 0. 0. 0. 0.],background
5,[ 1 12 11 12 11],[0.046875 0.5625   0.515625 0.5625   0.515625],[0 0 5 0 5],[0.         0.         0.29267607 0.         0.29267607],[2476 2769  267 2030  208],[-0.04492188 -0.01757812 -0.2421875   0.19335938  0.20898438],[0.01171875 0.5625     0.45507812 0.52734375 0.47070312],[0. 0. 0. 0. 0.],background
3,[ 1 12 12],[0.046875 0.5625   0.5625  ],[0 0 6],[0.         0.         0.35121129],[2473 4296  377],[-0.04492188 -0.03515625 -0.01757812],[0.01171875 0.56054688 0.5625    ],[0. 0. 0.],background
