numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
3,[ 1 11 33],[0.046875 0.515625 1.546875],[0 0 0],[0. 0. 0.],[2685 3299 2271],[-0.04492188 -0.08007812  0.09765625],[0.01171875 0.50976562 1.54492188],[0. 0. 0.],background
3,[ 1 11 33],[0.046875 0.515625 1.546875],[0 0 0],[0. 0. 0.],[2681 3270 2306],[-0.04492188 -0.08007812  0.09765625],[0.01171875 0.50976562 1.54492188],[0. 0. 0.],background
3,[ 1 11 33],[0.046875 0.515625 1.546875],[0 0 0],[0. 0. 0.],[2679 3152 2294],[-0.04492188 -0.08007812  0.09765625],[0.01171875 0.50976562 1.54492188],[0. 0. 0.],background
3,[ 1 11 33],[0.046875 0.515625 1.546875],[0 0 0],[0. 0. 0.],[2674 2829 2271],[-0.04492188 -0.09765625  0.09765625],[0.01171875 0.50585938 1.54492188],[0. 0. 0.],background
5,[ 1 11 33 27 27],[0.046875 0.515625 1.546875 1.265625 1.265625],[ 0  0  0 -3 -3],[ 0.          0.          0.         -0.17560564 -0.17560564],[2668 2593 2249   31   22],[-0.04492188 -0.09765625  0.09765625  0.11914062 -0.35546875],[0.01171875 0.50585938 1.54492188 1.25976562 1.21484375],[0. 0. 0. 0. 0.],background
3,[ 1 11 33],[0.046875 0.515625 1.546875],[0 0 0],[0. 0. 0.],[2669 2579 2238],[-0.04492188 -0.09765625  0.09765625],[0.01171875 0.50585938 1.54492188],[0. 0. 0.],background
3,[ 1 11 33],[0.046875 0.515625 1.546875],[0 0 0],[0. 0. 0.],[2663 2751 2202],[-0.04492188 -0.09765625  0.09765625],[0.01171875 0.50585938 1.54492188],[0. 0. 0.],background
5,[ 1 11 33 12 12],[0.046875 0.515625 1.546875 0.5625   0.5625  ],[  0   0   0 -14 -14],[ 0.          0.          0.         -0.81949301 -0.81949301],[2655 2806 2206   18   15],[-0.04492188 -0.09765625  0.09765625  0.03515625 -0.17578125],[0.01171875 0.50585938 1.54492188 0.56054688 0.53515625],[0. 0. 0. 0. 0.],background
3,[ 1 11 33],[0.046875 0.515625 1.546875],[0 0 0],[0. 0. 0.],[2655 2754 2235],[-0.04492188 -0.09765625  0.09765625],[0.01171875 0.50585938 1.54492188],[0. 0. 0.],background
3,[ 1 11 33],[0.046875 0.515625 1.546875],[0 0 0],[0. 0. 0.],[2650 2620 2243],[-0.04492188 -0.09765625  0.09765625],[0.01171875 0.50585938 1.54492188],[0. 0. 0.],background
3,[ 1 11 33],[0.046875 0.515625 1.546875],[0 0 0],[0. 0. 0.],[2648 2426 2228],[-0.04492188 -0.11328125  0.09765625],[0.01171875 0.50390625 1.54492188],[0. 0. 0.],background
4,[ 1 11 33 51],[0.046875 0.515625 1.546875 2.390625],[ 0  0  0 -3],[ 0.          0.          0.         -0.17560564],[2644 2393 2132   29],[-0.04492188 -0.08007812  0.09765625 -0.82226562],[0.01171875 0.50976562 1.54492188 2.24609375],[0. 0. 0. 0.],background
3,[ 1 11 33],[0.046875 0.515625 1.546875],[0 0 0],[0. 0. 0.],[2649 2490 2098],[-0.04492188 -0.09765625  0.09765625],[0.01171875 0.50585938 1.54492188],[0. 0. 0.],background
3,[ 1 11 33],[0.046875 0.515625 1.546875],[0 0 0],[0. 0. 0.],[2646 2681 2075],[-0.04492188 -0.09765625  0.09765625],[0.01171875 0.50585938 1.54492188],[0. 0. 0.],background
3,[ 1 11 33],[0.046875 0.515625 1.546875],[0 0 0],[0. 0. 0.],[2642 2834 2077],[-0.04492188 -0.09765625  0.09765625],[0.01171875 0.50585938 1.54492188],[0. 0. 0.],background
