numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
3,[ 1 14 48],[0.046875 0.65625  2.25    ],[0 0 0],[0. 0. 0.],[2539 7468 1523],[-0.04492188 -0.02148438 -1.0546875 ],[0.01171875 0.65625    1.98828125],[0. 0. 0.],background
3,[ 1 14 48],[0.046875 0.65625  2.25    ],[0 0 0],[0. 0. 0.],[2521 4353 1504],[-0.04492188  0.         -1.0546875 ],[0.01171875 0.65625    1.98828125],[0. 0. 0.],background
3,[ 1 14 48],[0.046875 0.65625  2.25    ],[0 0 0],[0. 0. 0.],[2519 3163 1503],[-0.04492188 -0.10351562 -1.0546875 ],[0.01171875 0.6484375  1.98828125],[0. 0. 0.],background
3,[ 1 48 14],[0.046875 2.25     0.65625 ],[0 0 1],[0.         0.         0.05853521],[2507 1451 2734],[-0.04492188 -0.984375   -0.02148438],[0.01171875 2.0234375  0.65625   ],[0. 0. 0.],background
2,[ 1 14],[0.046875 0.65625 ],[0 0],[0. 0.],[2500 4769],[-0.04492188 -0.02148438],[0.01171875 0.65625   ],[0. 0.],background
2,[ 1 14],[0.046875 0.65625 ],[0 0],[0. 0.],[2500 8344],[-0.04492188  0.04101562],[0.01171875 0.65429688],[0. 0.],background
4,[ 1 14 14 14],[0.046875 0.65625  0.65625  0.65625 ],[ 0  0 -1 -1],[ 0.          0.         -0.05853521 -0.05853521],[2499 2590 2737 2474],[-0.04492188 -0.12304688  0.0625     -0.18554688],[0.01171875 0.64453125 0.65429688 0.62890625],[0. 0. 0. 0.],background
3,[ 1 14 14],[0.046875 0.65625  0.65625 ],[ 0 -1 -1],[ 0.         -0.05853521 -0.05853521],[2504 5114 3770],[-0.04492188  0.0625     -0.1640625 ],[0.01171875 0.65429688 0.63476562],[0. 0. 0.],background
3,[ 1 14 14],[0.046875 0.65625  0.65625 ],[0 0 0],[0. 0. 0.],[2497 4199 3771],[-0.04492188 -0.12304688  0.10351562],[0.01171875 0.64453125 0.6484375 ],[0. 0. 0.],background
3,[ 1 14 48],[0.046875 0.65625  2.25    ],[0 0 0],[0. 0. 0.],[2497 4409 1164],[-0.04492188  0.         -0.984375  ],[0.01171875 0.65625    2.0234375 ],[0. 0. 0.],background
3,[ 1 14 48],[0.046875 0.65625  2.25    ],[0 0 0],[0. 0. 0.],[2491 7893 1175],[-0.04492188  0.02148438 -0.984375  ],[0.01171875 0.65625    2.0234375 ],[0. 0. 0.],background
3,[ 1 14 48],[0.046875 0.65625  2.25    ],[0 0 0],[0. 0. 0.],[2486 6645 1177],[-0.04492188  0.         -0.984375  ],[0.01171875 0.65625    2.0234375 ],[0. 0. 0.],background
2,[ 1 14],[0.046875 0.65625 ],[0 0],[0. 0.],[2484 5150],[-0.04492188 -0.14453125],[0.01171875 0.640625  ],[0. 0.],background
3,[ 1 14 48],[0.046875 0.65625  2.25    ],[0 0 0],[0. 0. 0.],[2488 4902 1215],[-0.04492188 -0.12304688 -0.984375  ],[0.01171875 0.64453125 2.0234375 ],[0. 0. 0.],background
3,[ 1 14 14],[0.046875 0.65625  0.65625 ],[0 0 0],[0. 0. 0.],[2480 3651 3108],[-0.04492188 -0.1640625   0.08203125],[0.01171875 0.63476562 0.65039062],[0. 0. 0.],background
3,[ 1 14 14],[0.046875 0.65625  0.65625 ],[0 0 0],[0. 0. 0.],[2483 3894 3480],[-0.04492188 -0.12304688  0.10351562],[0.01171875 0.64453125 0.6484375 ],[0. 0. 0.],background
3,[ 1 14 14],[0.046875 0.65625  0.65625 ],[0 0 0],[0. 0. 0.],[2485 3665 3306],[-0.04492188 -0.1640625   0.08203125],[0.01171875 0.63476562 0.65039062],[0. 0. 0.],background
4,[ 1 14 48 14],[0.046875 0.65625  2.25     0.65625 ],[0 0 0 0],[0. 0. 0. 0.],[2486 4413 1178 4110],[-0.04492188  0.04101562 -0.984375   -0.20507812],[0.01171875 0.65429688 2.0234375  0.62304688],[0. 0. 0. 0.],background
3,[ 1 14 48],[0.046875 0.65625  2.25    ],[0 0 0],[0. 0. 0.],[2486 5967 1188],[-0.04492188  0.         -0.984375  ],[0.01171875 0.65625    2.0234375 ],[0. 0. 0.],background
4,[ 1 14 48 14],[0.046875 0.65625  2.25     0.65625 ],[0 0 0 0],[0. 0. 0. 0.],[2478 5479 1185 4252],[-0.04492188  0.04101562 -0.984375   -0.20507812],[0.01171875 0.65429688 2.0234375  0.62304688],[0. 0. 0. 0.],swipeNext
