numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
1,[1],[0.046875],[0],[0.],[2601],[-0.04492188],[0.01171875],[0.],background
2,[ 1 48],[0.046875 2.25    ],[0 0],[0. 0.],[2590 1313],[-0.04492188 -1.0546875 ],[0.01171875 1.98828125],[0. 0.],background
1,[1],[0.046875],[0],[0.],[2576],[-0.04492188],[0.01171875],[0.],background
1,[1],[0.046875],[0],[0.],[2571],[-0.04492188],[0.01171875],[0.],background
1,[1],[0.046875],[0],[0.],[2568],[-0.04492188],[0.01171875],[0.],background
1,[1],[0.046875],[0],[0.],[2559],[-0.04492188],[0.01171875],[0.],background
1,[1],[0.046875],[0],[0.],[2558],[-0.04492188],[0.01171875],[0.],background
1,[1],[0.046875],[0],[0.],[2557],[-0.04492188],[0.01171875],[0.],background
2,[ 1 16],[0.046875 0.75    ],[0 2],[0.         0.11707043],[2556  304],[-0.04492188  0.        ],[0.01171875 0.75      ],[0. 0.],background
4,[ 1 49 16 49],[0.046875 2.296875 0.75     2.296875],[0 0 1 0],[0.         0.         0.05853521 0.        ],[2547 1230  412 1160],[-0.04492188  0.43164062 -0.0234375  -0.86132812],[0.01171875 2.25585938 0.75       2.12890625],[0. 0. 0. 0.],background
3,[ 1 49 49],[0.046875 2.296875 2.296875],[0 0 0],[0. 0. 0.],[2550 1227 1143],[-0.04492188  0.43164062 -0.86132812],[0.01171875 2.25585938 2.12890625],[0. 0. 0.],background
2,[ 1 16],[0.046875 0.75    ],[ 0 -1],[ 0.         -0.05853521],[2548  293],[-0.04492188 -0.0234375 ],[0.01171875 0.75      ],[0. 0.],background
4,[ 1 49  9 49],[0.046875 2.296875 0.421875 2.296875],[ 0  0 -4  0],[ 0.          0.         -0.23414086  0.        ],[2540 1228   84 1143],[-0.04492188  0.43164062  0.06640625 -0.7890625 ],[0.01171875 2.25585938 0.41601562 2.15625   ],[0. 0. 0. 0.],background
2,[1 9],[0.046875 0.421875],[ 0 -4],[ 0.         -0.23414086],[2548  115],[-0.04492188  0.06640625],[0.01171875 0.41601562],[0. 0.],background
2,[1 9],[0.046875 0.421875],[ 0 -3],[ 0.         -0.17560564],[2541  162],[-0.04492188  0.01367188],[0.01171875 0.421875  ],[0. 0.],background
4,[ 1 49  8 49],[0.046875 2.296875 0.375    2.296875],[ 0  0 -5  0],[ 0.          0.         -0.29267607  0.        ],[2538 1156  172 1153],[-0.04492188  0.43164062  0.0234375  -0.7890625 ],[0.01171875 2.25585938 0.375      2.15625   ],[0. 0. 0. 0.],background
3,[ 1 48 15],[0.046875 2.25     0.703125],[ 0  0 -5],[ 0.          0.         -0.29267607],[2542 1290   30],[-0.04492188 -1.0546875   0.02148438],[0.01171875 1.98828125 0.703125  ],[0. 0. 0.],background
2,[ 1 14],[0.046875 0.65625 ],[ 0 -5],[ 0.         -0.29267607],[2536   86],[-0.04492188  0.04101562],[0.01171875 0.65429688],[0. 0.],background
5,[ 1 49 14 14 49],[0.046875 2.296875 0.65625  0.65625  2.296875],[ 0  0 -6 -3  0],[ 0.          0.         -0.35121129 -0.17560564  0.        ],[2539 1182   76  157 1099],[-0.04492188  0.43164062  0.0625      0.         -0.7890625 ],[0.01171875 2.25585938 0.65429688 0.65625    2.15625   ],[0. 0. 0. 0. 0.],background
4,[ 1 48  8  8],[0.046875 2.25     0.375    0.375   ],[0 0 2 2],[0.         0.         0.11707043 0.11707043],[2533 1254  127   99],[-0.04492188 -1.0546875  -0.10546875  0.1171875 ],[0.01171875 1.98828125 0.359375   0.35546875],[0. 0. 0. 0.],swipePrev
3,[ 1 47 47],[0.046875 2.203125 2.203125],[0 0 0],[0. 0. 0.],[2533 1331 1326],[-0.04492188 -0.55078125 -1.24023438],[0.01171875 2.1328125  1.82226562],[0. 0. 0.],swipePrev
1,[1],[0.046875],[0],[0.],[2528],[-0.04492188],[0.01171875],[0.],swipePrev
3,[ 1 49 49],[0.046875 2.296875 2.296875],[0 0 0],[0. 0. 0.],[2529 1215 1128],[-0.04492188  0.43164062 -0.86132812],[0.01171875 2.25585938 2.12890625],[0. 0. 0.],swipePrev
