numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
3,[ 8 42  8],[0.375   1.96875 0.375  ],[0 0 0],[0. 0. 0.],[9519  328 8385],[ 0.03515625  0.36914062 -0.09375   ],[0.37304688 1.93359375 0.36328125],[0. 0. 0.],background
2,[8 8],[0.375 0.375],[0 0],[0. 0.],[9062 8050],[ 0.03515625 -0.09375   ],[0.37304688 0.36328125],[0. 0.],background
2,[8 8],[0.375 0.375],[0 0],[0. 0.],[8888 8050],[ 0.03515625 -0.09375   ],[0.37304688 0.36328125],[0. 0.],background
4,[ 8 43  8 43],[0.375    2.015625 0.375    2.015625],[0 0 0 0],[0. 0. 0. 0.],[9093  389 7632  283],[ 0.03515625  0.44140625 -0.09375    -0.31445312],[0.37304688 1.96679688 0.36328125 1.99023438],[0. 0. 0. 0.],background
4,[ 8 43  8 43],[0.375    2.015625 0.375    2.015625],[0 0 0 0],[0. 0. 0. 0.],[8923  395 6954  285],[ 0.03515625  0.44140625 -0.09375    -0.31445312],[0.37304688 1.96679688 0.36328125 1.99023438],[0. 0. 0. 0.],background
4,[ 8 43  8 43],[0.375    2.015625 0.375    2.015625],[0 0 0 0],[0. 0. 0. 0.],[7873  395 6493  289],[ 0.03515625  0.44140625 -0.09375    -0.31445312],[0.37304688 1.96679688 0.36328125 1.99023438],[0. 0. 0. 0.],background
4,[ 8 43  8 43],[0.375    2.015625 0.375    2.015625],[0 0 0 0],[0. 0. 0. 0.],[7978  391 6214  292],[ 0.03515625  0.44140625 -0.09375    -0.31445312],[0.37304688 1.96679688 0.36328125 1.99023438],[0. 0. 0. 0.],background
4,[ 8 43  8 43],[0.375    2.015625 0.375    2.015625],[0 0 0 0],[0. 0. 0. 0.],[8923  397 6549  298],[ 0.03515625  0.44140625 -0.09375    -0.31445312],[0.37304688 1.96679688 0.36328125 1.99023438],[0. 0. 0. 0.],background
2,[8 8],[0.375 0.375],[0 0],[0. 0.],[8673 6662],[ 0.03515625 -0.09375   ],[0.37304688 0.36328125],[0. 0.],background
2,[8 8],[0.375 0.375],[0 0],[0. 0.],[8817 6877],[ 0.03515625 -0.09375   ],[0.37304688 0.36328125],[0. 0.],background
3,[ 8 43  8],[0.375    2.015625 0.375   ],[0 0 0],[0. 0. 0.],[8445  337 6871],[ 0.03515625  0.44140625 -0.09375   ],[0.37304688 1.96679688 0.36328125],[0. 0. 0.],background
4,[ 8 43  8 43],[0.375    2.015625 0.375    2.015625],[0 0 0 0],[0. 0. 0. 0.],[8120  334 7200  242],[ 0.03515625  0.44140625 -0.09375    -0.31445312],[0.37304688 1.96679688 0.36328125 1.99023438],[0. 0. 0. 0.],background
4,[ 8 43  8 43],[0.375    2.015625 0.375    2.015625],[0 0 0 0],[0. 0. 0. 0.],[8247  337 6889  255],[ 0.03515625  0.44140625 -0.09375    -0.31445312],[0.37304688 1.96679688 0.36328125 1.99023438],[0. 0. 0. 0.],background
4,[ 8 43  8 43],[0.375    2.015625 0.375    2.015625],[0 0 0 0],[0. 0. 0. 0.],[7986  377 5946  301],[ 0.03515625  0.44140625 -0.09375    -0.31445312],[0.37304688 1.96679688 0.36328125 1.99023438],[0. 0. 0. 0.],background
4,[ 8 43  8 43],[0.375    2.015625 0.375    2.015625],[0 0 0 0],[0. 0. 0. 0.],[7738  386 5704  310],[ 0.03515625  0.44140625 -0.09375    -0.31445312],[0.37304688 1.96679688 0.36328125 1.99023438],[0. 0. 0. 0.],background
4,[ 8 43  8 43],[0.375    2.015625 0.375    2.015625],[0 0 0 0],[0. 0. 0. 0.],[5910  370 4649  291],[ 0.03515625  0.44140625 -0.09375    -0.31445312],[0.37304688 1.96679688 0.36328125 1.99023438],[0. 0. 0. 0.],background
4,[ 8 43  8 43],[0.375    2.015625 0.375    2.015625],[0 0 0 0],[0. 0. 0. 0.],[5869  376 4621  296],[ 0.03515625  0.44140625 -0.09375    -0.31445312],[0.37304688 1.96679688 0.36328125 1.99023438],[0. 0. 0. 0.],background
4,[ 8 43  8 43],[0.375    2.015625 0.375    2.015625],[0 0 0 0],[0. 0. 0. 0.],[4290  386 3831  298],[ 0.046875    0.44140625 -0.08203125 -0.31445312],[0.37304688 1.96679688 0.36523438 1.99023438],[0. 0. 0. 0.],background
