numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
3,[ 1 13 43],[0.046875 0.609375 2.015625],[0 0 0],[0. 0. 0.],[2623 4508 2029],[-0.04492188  0.07617188  0.18945312],[0.01171875 0.60546875 2.0078125 ],[0. 0. 0.],background
3,[ 1 13 43],[0.046875 0.609375 2.015625],[0 0 0],[0. 0. 0.],[2608 4443 2008],[-0.04492188  0.07617188  0.18945312],[0.01171875 0.60546875 2.0078125 ],[0. 0. 0.],background
3,[ 1 13 43],[0.046875 0.609375 2.015625],[0 0 0],[0. 0. 0.],[2599 3995 1992],[-0.04492188  0.07617188  0.18945312],[0.01171875 0.60546875 2.0078125 ],[0. 0. 0.],background
3,[ 1 13 43],[0.046875 0.609375 2.015625],[0 0 0],[0. 0. 0.],[2597 3765 2005],[-0.04492188  0.07617188  0.18945312],[0.01171875 0.60546875 2.0078125 ],[0. 0. 0.],background
3,[ 1 13 43],[0.046875 0.609375 2.015625],[0 0 0],[0. 0. 0.],[2584 3158 2041],[-0.04492188  0.07617188  0.18945312],[0.01171875 0.60546875 2.0078125 ],[0. 0. 0.],background
4,[ 1  3 13 43],[0.046875 0.140625 0.609375 2.015625],[0 0 0 0],[0. 0. 0. 0.],[2585 1611 2456 2046],[-0.04492188  0.03515625  0.09570312  0.18945312],[0.01171875 0.13671875 0.6015625  2.0078125 ],[0. 0. 0. 0.],background
4,[ 1  3 13 43],[0.046875 0.140625 0.609375 2.015625],[0 0 0 0],[0. 0. 0. 0.],[2578 1607 2294 2065],[-0.04492188  0.03515625  0.09570312  0.18945312],[0.01171875 0.13671875 0.6015625  2.0078125 ],[0. 0. 0. 0.],background
4,[ 1  3 13 43],[0.046875 0.140625 0.609375 2.015625],[0 0 0 0],[0. 0. 0. 0.],[2579 1605 2286 2073],[-0.04492188  0.03515625  0.09570312  0.18945312],[0.01171875 0.13671875 0.6015625  2.0078125 ],[0. 0. 0. 0.],background
4,[ 1  3 13 43],[0.046875 0.140625 0.609375 2.015625],[0 0 0 0],[0. 0. 0. 0.],[2576 1602 1746 2070],[-0.04492188  0.03515625  0.09570312  0.18945312],[0.01171875 0.13671875 0.6015625  2.0078125 ],[0. 0. 0. 0.],background
4,[ 1  3 13 43],[0.046875 0.140625 0.609375 2.015625],[0 0 0 0],[0. 0. 0. 0.],[2567 1601 1606 2068],[-0.04492188  0.03515625  0.09570312  0.18945312],[0.01171875 0.13671875 0.6015625  2.0078125 ],[0. 0. 0. 0.],background
4,[ 1  3 13 43],[0.046875 0.140625 0.609375 2.015625],[0 0 0 0],[0. 0. 0. 0.],[2567 1599 1386 2069],[-0.04492188  0.03515625  0.09570312  0.18945312],[0.01171875 0.13671875 0.6015625  2.0078125 ],[0. 0. 0. 0.],background
4,[ 1  3 13 43],[0.046875 0.140625 0.609375 2.015625],[0 0 0 0],[0. 0. 0. 0.],[2565 1598 1162 2046],[-0.04492188  0.03515625  0.09570312  0.18945312],[0.01171875 0.13671875 0.6015625  2.0078125 ],[0. 0. 0. 0.],background
4,[ 1  3 13 43],[0.046875 0.140625 0.609375 2.015625],[0 0 0 0],[0. 0. 0. 0.],[2569 1598 1187 2035],[-0.04492188  0.03515625  0.09570312  0.18945312],[0.01171875 0.13671875 0.6015625  2.0078125 ],[0. 0. 0. 0.],background
