numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label

9,[ 1  3 45 12  7  8  8 45  7],"[0.046875 0.140625 2.109375 0.5625   0.328125 0.375    0.375    2.109375
 0.328125]",[  0   0   0   4 -10  -7  -4   0 -10],"[ 0.          0.          0.          0.23414086 -0.58535215 -0.4097465
 -0.23414086  0.         -0.58535215]",[2583 1597  299  288  823 2921 6327  227  776],"[-0.04492188  0.03515625  0.06640625  0.03515625 -0.15429688  0.03515625
  0.0703125  -0.72460938 -0.04101562]","[0.01171875 0.13671875 2.109375   0.56054688 0.2890625  0.37304688
 0.36914062 1.98046875 0.32617188]",[0. 0. 0. 0. 0. 0. 0. 0. 0.],background

15,[ 1  3 40 43 50 13 12 13  7 11  8  8 13  8  8],"[0.046875 0.140625 1.875    2.015625 2.34375  0.609375 0.5625   0.609375
 0.328125 0.515625 0.375    0.375    0.609375 0.375    0.375   ]",[  0   0   0   0   0   3   6 -24 -10  -7  -5  -1 -24  -5  -1],"[ 0.          0.          0.          0.          0.          0.17560564
  0.35121129 -1.40484515 -0.58535215 -0.4097465  -0.29267607 -0.05853521
 -1.40484515 -0.29267607 -0.05853521]","[2571 1589  779 2487 1425  163  360   25  499  109  896  697   22  748
  619]","[-0.04492188  0.03515625  0.1171875   0.18945312  0.14648438 -0.0390625
  0.03515625  0.09570312  0.05078125  0.06445312  0.09375     0.10546875
 -0.1328125  -0.05859375 -0.03515625]","[0.01171875 0.13671875 1.87109375 2.0078125  2.33984375 0.60742188
 0.56054688 0.6015625  0.32421875 0.51171875 0.36328125 0.359375
 0.59375    0.37109375 0.37304688]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background

8,[ 1  3 43 43 13 43 43 43],[0.046875 0.140625 2.015625 2.015625 0.609375 2.015625 2.015625 2.015625],[0 0 0 3 6 7 3 7],"[0.         0.         0.         0.17560564 0.35121129 0.4097465
 0.17560564 0.4097465 ]",[2567 1586 2933  220  665   19  178   16],"[-0.04492188  0.03515625  0.18945312  0.37890625  0.0390625  -0.31445312
 -0.31445312  0.44140625]","[0.01171875 0.13671875 2.0078125  1.98046875 0.60742188 1.99023438
 1.99023438 1.96679688]",[0. 0. 0. 0. 0. 0. 0. 0.],background

5,[ 1  3 43 14 13],[0.046875 0.140625 2.015625 0.65625  0.609375],[0 0 0 1 3],[0.         0.         0.         0.05853521 0.17560564],[2550 1578 2926  372  106],[-0.04492188  0.03515625  0.18945312 -0.12304688 -0.0390625 ],[0.01171875 0.13671875 2.0078125  0.64453125 0.60742188],[0. 0. 0. 0. 0.],background

5,[ 1  3 43 14 13],[0.046875 0.140625 2.015625 0.65625  0.609375],[ 0  0  0  1 -2],[ 0.          0.          0.          0.05853521 -0.11707043],[2548 1576 2902  239  421],[-0.04492188  0.03515625  0.18945312 -0.12304688  0.05664062],[0.01171875 0.13671875 2.0078125  0.64453125 0.60742188],[0. 0. 0. 0. 0.],background

4,[ 1  3 43 13],[0.046875 0.140625 2.015625 0.609375],[ 0  0  0 -2],[ 0.          0.          0.         -0.11707043],[2542 1574 2955  242],[-0.04492188  0.03515625  0.18945312  0.01953125],[0.01171875 0.13671875 2.0078125  0.609375  ],[0. 0. 0. 0.],background

4,[ 1  3 43 13],[0.046875 0.140625 2.015625 0.609375],[ 0  0  0 -1],[ 0.          0.          0.         -0.05853521],[2536 1571 2932  285],[-0.04492188  0.03515625  0.18945312  0.01953125],[0.01171875 0.13671875 2.0078125  0.609375  ],[0. 0. 0. 0.],background

4,[ 1  3 13 43],[0.046875 0.140625 0.609375 2.015625],[0 0 0 0],[0. 0. 0. 0.],[2534 1568  473 2942],[-0.04492188  0.03515625  0.05664062  0.18945312],[0.01171875 0.13671875 0.60742188 2.0078125 ],[0. 0. 0. 0.],background

4,[ 1  3 13 43],[0.046875 0.140625 0.609375 2.015625],[0 0 0 0],[0. 0. 0. 0.],[2532 1569  462 2941],[-0.04492188  0.03515625  0.0390625   0.18945312],[0.01171875 0.13671875 0.60742188 2.0078125 ],[0. 0. 0. 0.],background

4,[ 1  3 13 43],[0.046875 0.140625 0.609375 2.015625],[0 0 0 0],[0. 0. 0. 0.],[2529 1567  518 2922],[-0.04492188  0.03515625  0.05664062  0.18945312],[0.01171875 0.13671875 0.60742188 2.0078125 ],[0. 0. 0. 0.],background

4,[ 1  3 13 43],[0.046875 0.140625 0.609375 2.015625],[0 0 0 0],[0. 0. 0. 0.],[2528 1565  434 2895],[-0.04492188  0.03515625  0.07617188  0.18945312],[0.01171875 0.13671875 0.60546875 2.0078125 ],[0. 0. 0. 0.],background

4,[ 1  3 43 13],[0.046875 0.140625 2.015625 0.609375],[0 0 0 1],[0.         0.         0.         0.05853521],[2530 1564 2901  277],[-0.04492188  0.03515625  0.18945312  0.0390625 ],[0.01171875 0.13671875 2.0078125  0.60742188],[0. 0. 0. 0.],background

4,[ 1  3 13 43],[0.046875 0.140625 0.609375 2.015625],[0 0 0 0],[0. 0. 0. 0.],[2524 1563  629 2907],[-0.04492188  0.03515625  0.07617188  0.18945312],[0.01171875 0.13671875 0.60546875 2.0078125 ],[0. 0. 0. 0.],background

4,[ 1  3 13 43],[0.046875 0.140625 0.609375 2.015625],[0 0 0 0],[0. 0. 0. 0.],[2522 1559  616 2905],[-0.04492188  0.03515625  0.05664062  0.18945312],[0.01171875 0.13671875 0.60742188 2.0078125 ],[0. 0. 0. 0.],background

5,[ 1  3 13 43 13],[0.046875 0.140625 0.609375 2.015625 0.609375],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2524 1562  536 2944  387],[-0.04492188  0.03515625  0.07617188  0.18945312 -0.11523438],[0.01171875 0.13671875 0.60546875 2.0078125  0.59960938],[0. 0. 0. 0. 0.],background

4,[ 1  3 43 13],[0.046875 0.140625 2.015625 0.609375],[ 0  0  0 -1],[ 0.          0.          0.         -0.05853521],[2524 1561 2912  607],[-0.04492188  0.03515625  0.18945312  0.05664062],[0.01171875 0.13671875 2.0078125  0.60742188],[0. 0. 0. 0.],background

6,[ 1  3 43 12 14 12],[0.046875 0.140625 2.015625 0.5625   0.65625  0.5625  ],[ 0  0  0 -2 -1 -2],[ 0.          0.          0.         -0.11707043 -0.05853521 -0.11707043],[2520 1561 2885  133  228  127],[-0.04492188  0.03515625  0.18945312 -0.17578125 -0.10351562  0.01757812],[0.01171875 0.13671875 2.0078125  0.53515625 0.6484375  0.5625    ],[0. 0. 0. 0. 0. 0.],background

