numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label

2,[3 6],[0.140625 0.28125 ],[0 0],[0. 0.],[1598 4179],[0.03515625 0.        ],[0.13671875 0.28125   ],[0. 0.],background

1,[6],[0.28125],[0],[0.],[4332],[0.00976562],[0.28125],[0.],background

1,[6],[0.28125],[0],[0.],[6978],[0.01757812],[0.28125],[0.],background

2,[3 6],[0.140625 0.28125 ],[0 0],[0. 0.],[1598 7386],[0.03515625 0.01757812],[0.13671875 0.28125   ],[0. 0.],background

2,[3 6],[0.140625 0.28125 ],[0 0],[0. 0.],[1669 7039],[0.03515625 0.00976562],[0.13671875 0.28125   ],[0. 0.],background

2,[3 6],[0.140625 0.28125 ],[0 0],[0. 0.],[1652 6670],[0.03515625 0.00976562],[0.13671875 0.28125   ],[0. 0.],background

2,[3 6],[0.140625 0.28125 ],[0 0],[0. 0.],[1653 6533],[0.03515625 0.00976562],[0.13671875 0.28125   ],[0. 0.],background

2,[3 6],[0.140625 0.28125 ],[0 0],[0. 0.],[1654 6498],[0.03515625 0.00976562],[0.13671875 0.28125   ],[0. 0.],background

2,[3 6],[0.140625 0.28125 ],[0 0],[0. 0.],[1637 6354],[0.03515625 0.00976562],[0.13671875 0.28125   ],[0. 0.],background

2,[3 6],[0.140625 0.28125 ],[0 0],[0. 0.],[1572 6102],[0.03515625 0.00976562],[0.13671875 0.28125   ],[0. 0.],background

1,[6],[0.28125],[0],[0.],[6460],[0.00976562],[0.28125],[0.],background

2,[3 6],[0.140625 0.28125 ],[0 0],[0. 0.],[1638 5411],[0.03515625 0.00976562],[0.13671875 0.28125   ],[0. 0.],background

3,[3 6 6],[0.140625 0.28125  0.28125 ],[0 0 0],[0. 0. 0.],[1518 4787 4475],[ 0.03515625  0.00976562 -0.09765625],[0.13671875 0.28125    0.26367188],[0. 0. 0.],background

3,[3 6 6],[0.140625 0.28125  0.28125 ],[0 0 0],[0. 0. 0.],[1712 4775 4636],[ 0.03515625 -0.09765625  0.        ],[0.13671875 0.26367188 0.28125   ],[0. 0. 0.],background

3,[3 6 6],[0.140625 0.28125  0.28125 ],[0 0 0],[0. 0. 0.],[1723 4443 4428],[ 0.03515625 -0.09765625 -0.00976562],[0.13671875 0.26367188 0.28125   ],[0. 0. 0.],background

3,[3 6 6],[0.140625 0.28125  0.28125 ],[0 0 0],[0. 0. 0.],[1757 4410 4021],[ 0.03515625 -0.01757812 -0.09765625],[0.13671875 0.28125    0.26367188],[0. 0. 0.],background

2,[3 6],[0.140625 0.28125 ],[0 0],[0. 0.],[1759 3946],[ 0.03515625 -0.03515625],[0.13671875 0.27929688],[0. 0.],slideUp

2,[3 6],[0.140625 0.28125 ],[0 0],[0. 0.],[1756 3705],[ 0.03515625 -0.03515625],[0.13671875 0.27929688],[0. 0.],slideUp

2,[3 6],[0.140625 0.28125 ],[0 0],[0. 0.],[1445 3803],[ 0.03515625 -0.03515625],[0.13671875 0.27929688],[0. 0.],slideUp

1,[6],[0.28125],[0],[0.],[4286],[-0.03515625],[0.27929688],[0.],slideUp

2,[3 6],[0.140625 0.28125 ],[0 0],[0. 0.],[1538 3577],[ 0.03515625 -0.04492188],[0.13671875 0.27734375],[0. 0.],slideUp

3,[ 3  6 11],[0.140625 0.28125  0.515625],[0 0 0],[0. 0. 0.],[1562 2935  375],[ 0.03515625 -0.05273438  0.03320312],[0.13671875 0.27539062 0.515625  ],[0. 0. 0.],slideUp

3,[1 3 6],[0.046875 0.140625 0.28125 ],[0 0 0],[0. 0. 0.],[2580 1558 2554],[-0.04492188  0.03515625 -0.05273438],[0.01171875 0.13671875 0.27539062],[0. 0. 0.],slideUp

3,[1 3 6],[0.046875 0.140625 0.28125 ],[0 0 0],[0. 0. 0.],[2582 1590 2363],[-0.04492188  0.03515625 -0.05273438],[0.01171875 0.13671875 0.27539062],[0. 0. 0.],slideUp

3,[1 3 6],[0.046875 0.140625 0.28125 ],[0 0 0],[0. 0. 0.],[2578 1633 2542],[-0.04492188  0.03515625 -0.04492188],[0.01171875 0.13671875 0.27734375],[0. 0. 0.],slideUp

3,[1 3 6],[0.046875 0.140625 0.28125 ],[0 0 0],[0. 0. 0.],[2579 1654 2813],[-0.04492188  0.03515625 -0.04492188],[0.01171875 0.13671875 0.27734375],[0. 0. 0.],slideUp

4,[ 3  6 11 11],[0.140625 0.28125  0.515625 0.515625],[0 0 0 0],[0. 0. 0. 0.],[1634 2672  272  213],[ 0.03515625 -0.04492188  0.06445312 -0.12890625],[0.13671875 0.27734375 0.51171875 0.5       ],[0. 0. 0. 0.],slideUp

4,[ 1  6 11 11],[0.046875 0.28125  0.515625 0.515625],[0 0 0 0],[0. 0. 0. 0.],[2578 3334  247  242],[-0.04492188 -0.04492188  0.08007812 -0.11328125],[0.01171875 0.27734375 0.50976562 0.50390625],[0. 0. 0. 0.],slideUp

4,[ 1  6 11 11],[0.046875 0.28125  0.515625 0.515625],[0 0 0 0],[0. 0. 0. 0.],[2577 3807  229  212],[-0.04492188 -0.03515625 -0.09765625  0.09765625],[0.01171875 0.27929688 0.50585938 0.50585938],[0. 0. 0. 0.],slideUp

2,[1 6],[0.046875 0.28125 ],[0 0],[0. 0.],[2574 3980],[-0.04492188 -0.03515625],[0.01171875 0.27929688],[0. 0.],slideUp

4,[ 3  6 11 11],[0.140625 0.28125  0.515625 0.515625],[0 0 0 0],[0. 0. 0. 0.],[1556 3356  368  274],[ 0.03515625 -0.04492188  0.         -0.17773438],[0.13671875 0.27734375 0.515625   0.484375  ],[0. 0. 0. 0.],slideUp

3,[ 6 11 11],[0.28125  0.515625 0.515625],[0 0 0],[0. 0. 0.],[3191  353  267],[-0.05273438  0.03320312 -0.14453125],[0.27539062 0.515625   0.49414062],[0. 0. 0.],slideUp

3,[3 6 6],[0.140625 0.28125  0.28125 ],[0 0 0],[0. 0. 0.],[1667 2943 2421],[ 0.03515625 -0.0703125   0.03515625],[0.13671875 0.27148438 0.27929688],[0. 0. 0.],slideUp

2,[3 6],[0.140625 0.28125 ],[0 0],[0. 0.],[1603 5297],[0.03515625 0.01757812],[0.13671875 0.28125   ],[0. 0.],slideUp

