numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label

5,[ 1  3 15 43 15],[0.046875 0.140625 0.703125 2.015625 0.703125],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2537 1576 2369 3025 1850],[-0.04492188  0.03515625 -0.06640625  0.18945312 -0.33007812],[0.01171875 0.13671875 0.69921875 2.0078125  0.62109375],[0. 0. 0. 0. 0.],background

5,[ 1  3 15 43 15],[0.046875 0.140625 0.703125 2.015625 0.703125],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2529 1569 2223 2976 1806],[-0.04492188  0.03515625 -0.06640625  0.18945312 -0.33007812],[0.01171875 0.13671875 0.69921875 2.0078125  0.62109375],[0. 0. 0. 0. 0.],background

5,[ 1  3 15 43 15],[0.046875 0.140625 0.703125 2.015625 0.703125],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2521 1565 2101 2969 1903],[-0.04492188  0.03515625 -0.06640625  0.18945312 -0.33007812],[0.01171875 0.13671875 0.69921875 2.0078125  0.62109375],[0. 0. 0. 0. 0.],background

5,[ 1  3 14 43 14],[0.046875 0.140625 0.65625  2.015625 0.65625 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2512 1559 1746 2973 1713],[-0.04492188  0.03515625 -0.30859375  0.18945312 -0.0625    ],[0.01171875 0.13671875 0.58007812 2.0078125  0.65429688],[0. 0. 0. 0. 0.],background

5,[ 1  3 15 43 15],[0.046875 0.140625 0.703125 2.015625 0.703125],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2506 1557 1909 2945 1525],[-0.04492188  0.03515625 -0.04492188  0.18945312 -0.33007812],[0.01171875 0.13671875 0.70117188 2.0078125  0.62109375],[0. 0. 0. 0. 0.],background

5,[ 1  3 14 43 14],[0.046875 0.140625 0.65625  2.015625 0.65625 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2496 1553 2210 2909 1710],[-0.04492188  0.03515625 -0.0625      0.18945312 -0.30859375],[0.01171875 0.13671875 0.65429688 2.0078125  0.58007812],[0. 0. 0. 0. 0.],background

5,[ 1  3 15 43 15],[0.046875 0.140625 0.703125 2.015625 0.703125],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2500 1552 1781 2907 1282],[-0.04492188  0.03515625 -0.06640625  0.18945312 -0.30859375],[0.01171875 0.13671875 0.69921875 2.0078125  0.6328125 ],[0. 0. 0. 0. 0.],background

4,[ 1  3 14 43],[0.046875 0.140625 0.65625  2.015625],[0 0 0 0],[0. 0. 0. 0.],[2488 1549 2648 2872],[-0.04492188  0.03515625 -0.02148438  0.18945312],[0.01171875 0.13671875 0.65625    2.0078125 ],[0. 0. 0. 0.],background

5,[ 1  3 14 43 14],[0.046875 0.140625 0.65625  2.015625 0.65625 ],[0 0 0 0 0],[0. 0. 0. 0. 0.],[2487 1547 2783 2880 2142],[-0.04492188  0.03515625 -0.02148438  0.18945312 -0.28710938],[0.01171875 0.13671875 0.65625    2.0078125  0.58984375],[0. 0. 0. 0. 0.],background

