numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
6,[ 1  3 40 43  9  6],[0.046875 0.140625 1.875    2.015625 0.421875 0.28125 ],[ 0  0  0  0  1 -3],[ 0.          0.          0.          0.          0.05853521 -0.17560564],[2618 1618  941 2993  335 4567],[-0.04492188  0.03515625  0.17578125  0.25195312  0.02734375 -0.1328125 ],[0.01171875 0.13671875 1.8671875  2.         0.421875   0.24804688],[0. 0. 0. 0. 0. 0.],background
5,[ 1  3 43 11  6],[0.046875 0.140625 2.015625 0.515625 0.28125 ],[ 0  0  0 -8 -3],[ 0.          0.          0.         -0.46828172 -0.17560564],[2611 1613 3059   68 9841],[-0.04492188  0.03515625  0.18945312 -0.17773438 -0.09765625],[0.01171875 0.13671875 2.0078125  0.484375   0.26367188],[0. 0. 0. 0. 0.],background
5,[ 1  3 43  6  6],[0.046875 0.140625 2.015625 0.28125  0.28125 ],[ 0  0  0 -3 -3],[ 0.          0.          0.         -0.17560564 -0.17560564],[2597 1605 3136 3392 3349],[-0.04492188  0.03515625  0.18945312 -0.10546875 -0.2109375 ],[0.01171875 0.13671875 2.0078125  0.26171875 0.18554688],[0. 0. 0. 0. 0.],background
6,[ 1  3 43 23  6 23],[0.046875 0.140625 2.015625 1.078125 0.28125  1.078125],[ 0  0  0 -4 -2 -4],[ 0.          0.          0.         -0.23414086 -0.11707043 -0.23414086],[2588 1602 3033   40 5288   32],[-0.04492188  0.03515625  0.18945312 -0.26953125 -0.10546875 -0.67382812],[0.01171875 0.13671875 2.0078125  1.04492188 0.26171875 0.84179688],[0. 0. 0. 0. 0. 0.],background
8,[ 1  3 42  9 22  6  9  6],[0.046875 0.140625 1.96875  0.421875 1.03125  0.28125  0.421875 0.28125 ],[ 0  0  0 -4 -4 -2 -1 -2],"[ 0.          0.          0.         -0.23414086 -0.23414086 -0.11707043
 -0.05853521 -0.11707043]",[2581 1592 2534  185   71 1473  494 1267],"[-0.04492188  0.03515625  0.18554688 -0.1328125  -0.2265625  -0.04492188
  0.0390625  -0.15039062]","[0.01171875 0.13671875 1.9609375  0.40039062 1.00585938 0.27734375
 0.41992188 0.23828125]",[0. 0. 0. 0. 0. 0. 0. 0.],background
5,[ 1  3 42 17  5],[0.046875 0.140625 1.96875  0.796875 0.234375],[ 0  0  0 -4 -2],[ 0.          0.          0.         -0.23414086 -0.11707043],[2577 1587 2512  137 5621],[-0.04492188  0.03515625  0.18554688 -0.19921875 -0.09570312],[0.01171875 0.13671875 1.9609375  0.77148438 0.21484375],[0. 0. 0. 0. 0.],background
5,[ 1  3 42  5 42],[0.046875 0.140625 1.96875  0.234375 1.96875 ],[ 0  0  0 -1  0],[ 0.          0.          0.         -0.05853521  0.        ],[2573 1589 1776 3217 1291],[-0.04492188  0.03515625  0.18554688 -0.07421875 -0.4921875 ],[0.01171875 0.13671875 1.9609375  0.22265625 1.90625   ],[0. 0. 0. 0. 0.],background
5,[ 1  4 43  5 43],[0.046875 0.1875   2.015625 0.234375 2.015625],[ 0  0  0 -1  0],[ 0.          0.          0.         -0.05853521  0.        ],[2567 1865 1436 4199 1084],[-0.04492188 -0.01757812  0.25195312 -0.05078125 -0.44140625],[0.01171875 0.1875     2.         0.22851562 1.96679688],[0. 0. 0. 0. 0.],background
4,[ 1 43  5 43],[0.046875 2.015625 0.234375 2.015625],[ 0  0 -1  0],[ 0.          0.         -0.05853521  0.        ],[2567 1005 5936  935],[-0.04492188  0.31445312 -0.06640625 -0.44140625],[0.01171875 1.99023438 0.22460938 1.96679688],[0. 0. 0. 0.],background
4,[ 1  5 43 43],[0.046875 0.234375 2.015625 2.015625],[0 0 0 0],[0. 0. 0. 0.],[2570 6123  808  776],[-0.04492188 -0.0078125  -0.37890625  0.37890625],[0.01171875 0.234375   1.98046875 1.98046875],[0. 0. 0. 0.],background
