numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
4,[ 8 14 32 14],[0.375   0.65625 1.5     0.65625],[0 0 0 0],[0. 0. 0. 0.],[2202 1266  971 1037],[-0.01171875 -0.0625      0.09375    -0.30859375],[0.375      0.65429688 1.49804688 0.58007812],[0. 0. 0. 0.],background
2,[ 8 32],[0.375 1.5  ],[0 0],[0. 0.],[2113  954],[-0.0234375  0.09375  ],[0.375      1.49804688],[0. 0.],background
2,[ 8 32],[0.375 1.5  ],[0 0],[0. 0.],[2166  963],[-0.0234375  0.09375  ],[0.375      1.49804688],[0. 0.],background
2,[ 8 32],[0.375 1.5  ],[0 0],[0. 0.],[1718  953],[-0.03515625  0.09375   ],[0.37304688 1.49804688],[0. 0.],background
2,[ 8 32],[0.375 1.5  ],[0 0],[0. 0.],[1609  948],[-0.03515625  0.09375   ],[0.37304688 1.49804688],[0. 0.],background
2,[ 8 32],[0.375 1.5  ],[0 0],[0. 0.],[1584  941],[-0.03515625  0.09375   ],[0.37304688 1.49804688],[0. 0.],background
2,[ 8 32],[0.375 1.5  ],[0 0],[0. 0.],[1574  945],[-0.046875  0.09375 ],[0.37304688 1.49804688],[0. 0.],background
2,[ 8 32],[0.375 1.5  ],[0 0],[0. 0.],[1700  965],[-0.05859375  0.09375   ],[0.37109375 1.49804688],[0. 0.],background
3,[ 8 14 32],[0.375   0.65625 1.5    ],[0 0 0],[0. 0. 0.],[1615 1559  979],[-0.05859375 -0.02148438  0.09375   ],[0.37109375 0.65625    1.49804688],[0. 0. 0.],background
3,[ 8 14 32],[0.375   0.65625 1.5    ],[0 0 0],[0. 0. 0.],[1557 1765  981],[-0.05859375 -0.04101562  0.09375   ],[0.37109375 0.65429688 1.49804688],[0. 0. 0.],background
4,[ 8 14 32  8],[0.375   0.65625 1.5     0.375  ],[0 0 0 0],[0. 0. 0. 0.],[1405 1670  981 1025],[-0.05859375 -0.0625      0.09375     0.15234375],[0.37109375 0.65429688 1.49804688 0.34179688],[0. 0. 0. 0.],background
3,[14 32 14],[0.65625 1.5     0.65625],[0 0 0],[0. 0. 0.],[1681  982 1233],[-0.0625      0.09375    -0.28710938],[0.65429688 1.49804688 0.58984375],[0. 0. 0.],background
2,[14 32],[0.65625 1.5    ],[0 0],[0. 0.],[1582  982],[-0.08203125  0.09375   ],[0.65039062 1.49804688],[0. 0.],background
2,[14 32],[0.65625 1.5    ],[0 0],[0. 0.],[1500  965],[-0.08203125  0.09375   ],[0.65039062 1.49804688],[0. 0.],background
4,[ 8 14 32 14],[0.375   0.65625 1.5     0.65625],[0 0 0 0],[0. 0. 0. 0.],[1373 1384  958 1186],[-0.046875   -0.10351562  0.09375    -0.328125  ],[0.37304688 0.6484375  1.49804688 0.56835938],[0. 0. 0. 0.],background
3,[14 32 14],[0.65625 1.5     0.65625],[0 0 0],[0. 0. 0.],[1335  947 1240],[-0.08203125  0.09375    -0.30859375],[0.65039062 1.49804688 0.58007812],[0. 0. 0.],background
