numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
5,[ 1 34 45 57 34],[0.046875 1.59375  2.109375 2.671875 1.59375 ],[ 0  0 -5 -5  0],[ 0.          0.         -0.29267607 -0.29267607  0.        ],[2558 1018   39   72  735],[-0.04492188 -0.15039062 -0.26367188 -0.08398438  0.54882812],[0.01171875 1.58789062 2.09375    2.671875   1.49609375],[0. 0. 0. 0. 0.],background
5,[ 1 34 57 45 45],[0.046875 1.59375  2.671875 2.109375 2.109375],[ 0  0 -6 -5 -5],[ 0.          0.         -0.35121129 -0.29267607 -0.29267607],[2549 1022  148   44   32],[-0.04492188 -0.15039062  0.         -0.26367188 -1.0546875 ],[0.01171875 1.58789062 2.671875   2.09375    1.82617188],[0. 0. 0. 0. 0.],background
4,[ 1 34 44 34],[0.046875 1.59375  2.0625   1.59375 ],[ 0  0 -5  0],[ 0.          0.         -0.29267607  0.        ],[2535 1013   25  728],[-0.04492188 -0.15039062 -0.06445312  0.54882812],[0.01171875 1.58789062 2.0625     1.49609375],[0. 0. 0. 0.],background
6,[ 1 34 56 45 34 45],[0.046875 1.59375  2.625    2.109375 1.59375  2.109375],[ 0  0 -6 -4  0 -4],[ 0.          0.         -0.35121129 -0.23414086  0.         -0.23414086],[2533 1009   47   45  728   44],[-0.04492188 -0.15039062  0.         -0.26367188  0.54882812 -1.0546875 ],[0.01171875 1.58789062 2.625      2.09375    1.49609375 1.82617188],[0. 0. 0. 0. 0. 0.],background
4,[ 1 34 57 34],[0.046875 1.59375  2.671875 1.59375 ],[ 0  0 -1  0],[ 0.          0.         -0.05853521  0.        ],[2528 1001  579  732],[-0.04492188 -0.15039062  0.16796875  0.54882812],[0.01171875 1.58789062 2.66601562 1.49609375],[0. 0. 0. 0.],background
6,[ 1 34 56  9  9 34],[0.046875 1.59375  2.625    0.421875 0.421875 1.59375 ],[ 0  0  2 -7 -4  0],[ 0.          0.          0.11707043 -0.4097465  -0.23414086  0.        ],[2521  999  147   38   19  742],[-0.04492188 -0.15039062  0.1640625   0.0390625   0.0390625   0.49804688],[0.01171875 1.58789062 2.62109375 0.41992188 0.41992188 1.51367188],[0. 0. 0. 0. 0. 0.],background
4,[ 1 34  9 34],[0.046875 1.59375  0.421875 1.59375 ],[ 0  0 -5  0],[ 0.          0.         -0.29267607  0.        ],[2525 1008   54  745],[-0.04492188 -0.15039062  0.05273438  0.49804688],[0.01171875 1.58789062 0.41796875 1.51367188],[0. 0. 0. 0.],background
6,[ 1 34 19 56 34 56],[0.046875 1.59375  0.890625 2.625    1.59375  2.625   ],[0 0 3 3 0 3],[0.         0.         0.17560564 0.17560564 0.         0.17560564],[2519  996   27   14  746   11],[-0.04492188 -0.15039062 -0.390625    0.4921875   0.49804688 -2.37890625],[0.01171875 1.58789062 0.80078125 2.578125   1.51367188 1.109375  ],[0. 0. 0. 0. 0. 0.],background
6,[ 1 34 19  9 34  9],[0.046875 1.59375  0.890625 0.421875 1.59375  0.421875],[0 0 4 6 0 6],[0.         0.         0.23414086 0.35121129 0.         0.35121129],[2514 1000   30   95  747   69],[-0.04492188 -0.15039062 -0.390625    0.06640625  0.49804688 -0.10546875],[0.01171875 1.58789062 0.80078125 0.41601562 1.51367188 0.40820312],[0. 0. 0. 0. 0. 0.],background
10,[30 34 10 10 10 10 54 34 10 10],"[1.40625 1.59375 0.46875 0.46875 0.46875 0.46875 2.53125 1.59375 0.46875
 0.46875]",[ 0  0  5  9 12 15 -1  0  5  9],"[ 0.          0.          0.29267607  0.52681693  0.70242258  0.87802822
 -0.05853521  0.          0.29267607  0.52681693]",[ 667  965  870 1488 1031 1425  460  716  654 1055],"[-0.04492188 -0.15039062  0.07421875  0.04492188  0.02929688  0.04492188
 -0.15820312  0.49804688 -0.10351562 -0.1328125 ]","[1.40625    1.58789062 0.46289062 0.46679688 0.46875    0.46679688
 2.52734375 1.51367188 0.45703125 0.44921875]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],background
