numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
3,[ 8 32  8],[0.375 1.5   0.375],[0 0 0],[0. 0. 0.],[1826  983 1386],[ 0.140625   0.09375   -0.1640625],[0.34765625 1.49804688 0.33789062],[0. 0. 0.],background
1,[8],[0.375],[0],[0.],[1926],[0.140625],[0.34765625],[0.],background
2,[9 9],[0.421875 0.421875],[0 0],[0. 0.],[1615 1380],[-0.08007812 -0.23828125],[0.4140625  0.34960938],[0. 0.],background
2,[9 9],[0.421875 0.421875],[0 0],[0. 0.],[2351 2319],[-0.08007812 -0.22460938],[0.4140625  0.35742188],[0. 0.],background
2,[8 8],[0.375 0.375],[0 0],[0. 0.],[2258 2199],[-0.1875    -0.0234375],[0.32421875 0.375     ],[0. 0.],background
3,[ 9 32  9],[0.421875 1.5      0.421875],[0 0 0],[0. 0. 0.],[1487  946 1066],[0.171875 0.09375  0.      ],[0.38476562 1.49804688 0.421875  ],[0. 0. 0.],background
3,[ 8 32  8],[0.375 1.5   0.375],[0 0 0],[0. 0. 0.],[1561  923 1428],[ 0.15234375  0.09375    -0.0703125 ],[0.34179688 1.49804688 0.36914062],[0. 0. 0.],background
3,[ 8 32  8],[0.375 1.5   0.375],[0 0 0],[0. 0. 0.],[1334  902 1033],[-0.0234375   0.09375     0.12890625],[0.375      1.49804688 0.3515625 ],[0. 0. 0.],background
3,[ 8 32 34],[0.375   1.5     1.59375],[0 0 0],[0. 0. 0.],[2406  915  910],[-0.046875    0.09375    -0.09960938],[0.37304688 1.49804688 1.59179688],[0. 0. 0.],background
3,[ 8 32  8],[0.375 1.5   0.375],[0 0 0],[0. 0. 0.],[2056  924 1952],[-0.05859375  0.09375     0.15234375],[0.37109375 1.49804688 0.34179688],[0. 0. 0.],background
3,[ 8 32  8],[0.375 1.5   0.375],[0 0 0],[0. 0. 0.],[2082  916 1811],[-0.10546875  0.09375     0.0234375 ],[0.359375   1.49804688 0.375     ],[0. 0. 0.],background
3,[ 8 32  8],[0.375 1.5   0.375],[0 0 0],[0. 0. 0.],[2399  915 1883],[-0.09375     0.09375     0.03515625],[0.36328125 1.49804688 0.37304688],[0. 0. 0.],background
2,[8 8],[0.375 0.375],[0 0],[0. 0.],[2496 2411],[-0.08203125  0.046875  ],[0.36523438 0.37304688],[0. 0.],background
3,[ 8 32  8],[0.375 1.5   0.375],[0 0 0],[0. 0. 0.],[2504  896 2476],[-0.08203125  0.09375     0.046875  ],[0.36523438 1.49804688 0.37304688],[0. 0. 0.],background
2,[8 8],[0.375 0.375],[0 0],[0. 0.],[2329 1927],[0.046875  0.1640625],[0.37304688 0.33789062],[0. 0.],background
1,[9],[0.421875],[0],[0.],[3756],[0.15820312],[0.390625],[0.],background
1,[9],[0.421875],[0],[0.],[4180],[0.15820312],[0.390625],[0.],background
4,[ 9 15  9 15],[0.421875 0.703125 0.421875 0.703125],[0 3 0 3],[0.         0.17560564 0.         0.17560564],[3502   28 2654   25],[ 0.15820312 -0.41796875 -0.22460938  0.33007812],[0.390625   0.56640625 0.35742188 0.62109375],[0. 0. 0. 0.],background
3,[ 9 32  9],[0.421875 1.5      0.421875],[0 0 0],[0. 0. 0.],[3266  958 2792],[-0.08007812  0.09375    -0.22460938],[0.4140625  1.49804688 0.35742188],[0. 0. 0.],background
3,[ 9 32  9],[0.421875 1.5      0.421875],[0 0 0],[0. 0. 0.],[4369  982 3906],[-0.06640625  0.09375    -0.2109375 ],[0.41601562 1.49804688 0.36523438],[0. 0. 0.],background
3,[ 9 32  9],[0.421875 1.5      0.421875],[0 0 0],[0. 0. 0.],[4403  982 4269],[-0.05273438  0.09375    -0.19726562],[0.41796875 1.49804688 0.37304688],[0. 0. 0.],slideDown
3,[ 9 32  9],[0.421875 1.5      0.421875],[0 0 0],[0. 0. 0.],[4146  975 3947],[-0.06640625  0.09375    -0.2109375 ],[0.41601562 1.49804688 0.36523438],[0. 0. 0.],slideDown
