numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,Label
2,[8 8],[0.375 0.375],[0 0],[0. 0.],[5580 5454],[0.01171875 0.15234375],[0.375      0.34179688],[0. 0.],background
2,[8 8],[0.375 0.375],[0 0],[0. 0.],[5328 5276],[0.01171875 0.15234375],[0.375      0.34179688],[0. 0.],background
2,[8 8],[0.375 0.375],[0 0],[0. 0.],[5304 5248],[0.01171875 0.15234375],[0.375      0.34179688],[0. 0.],background
3,[ 8 13  8],[0.375    0.609375 0.375   ],[ 0 -3  0],[ 0.         -0.17560564  0.        ],[5296   35 5178],[0.01171875 0.01953125 0.15234375],[0.375      0.609375   0.34179688],[0. 0. 0.],background
2,[8 8],[0.375 0.375],[0 0],[0. 0.],[5451 5351],[0.01171875 0.15234375],[0.375      0.34179688],[0. 0.],background
2,[8 8],[0.375 0.375],[0 0],[0. 0.],[5503 5400],[0.01171875 0.15234375],[0.375      0.34179688],[0. 0.],background
2,[8 8],[0.375 0.375],[0 0],[0. 0.],[5432 5307],[0.01171875 0.15234375],[0.375      0.34179688],[0. 0.],background
2,[8 8],[0.375 0.375],[0 0],[0. 0.],[5370 5265],[0.01171875 0.15234375],[0.375      0.34179688],[0. 0.],background
4,[ 8 15  8 15],[0.375    0.703125 0.375    0.703125],[0 3 0 3],[0.         0.17560564 0.         0.17560564],[5364   27 5193   20],[ 0.01171875 -0.39648438  0.15234375  0.33007812],[0.375      0.58203125 0.34179688 0.62109375],[0. 0. 0. 0.],background
2,[8 8],[0.375 0.375],[0 0],[0. 0.],[5454 5306],[0.01171875 0.15234375],[0.375      0.34179688],[0. 0.],background
2,[8 8],[0.375 0.375],[0 0],[0. 0.],[5457 5278],[0.01171875 0.15234375],[0.375      0.34179688],[0. 0.],background
2,[8 8],[0.375 0.375],[0 0],[0. 0.],[5311 5035],[0.01171875 0.15234375],[0.375      0.34179688],[0. 0.],background
2,[8 8],[0.375 0.375],[0 0],[0. 0.],[5201 4755],[0.01171875 0.15234375],[0.375      0.34179688],[0. 0.],background
1,[7],[0.328125],[0],[0.],[5709],[0.],[0.328125],[0.],background
1,[7],[0.328125],[0],[0.],[5664],[0.],[0.328125],[0.],background
2,[8 8],[0.375 0.375],[0 0],[0. 0.],[5274 4839],[0.01171875 0.15234375],[0.375      0.34179688],[0. 0.],background
2,[8 8],[0.375 0.375],[0 0],[0. 0.],[5425 4917],[0.01171875 0.15234375],[0.375      0.34179688],[0. 0.],background
2,[8 8],[0.375 0.375],[0 0],[0. 0.],[5649 4995],[0.01171875 0.15234375],[0.375      0.34179688],[0. 0.],background
2,[8 8],[0.375 0.375],[0 0],[0. 0.],[5822 4806],[0.         0.15234375],[0.375      0.34179688],[0. 0.],background
2,[8 8],[0.375 0.375],[0 0],[0. 0.],[5607 4737],[0.         0.15234375],[0.375      0.34179688],[0. 0.],background
2,[8 8],[0.375 0.375],[0 0],[0. 0.],[5703 4817],[0.         0.15234375],[0.375      0.34179688],[0. 0.],background
2,[8 8],[0.375 0.375],[0 0],[0. 0.],[5640 4715],[0.         0.15234375],[0.375      0.34179688],[0. 0.],background
2,[8 8],[0.375 0.375],[0 0],[0. 0.],[5584 4705],[0.         0.15234375],[0.375      0.34179688],[0. 0.],background
2,[8 8],[0.375 0.375],[0 0],[0. 0.],[5545 4746],[0.         0.15234375],[0.375      0.34179688],[0. 0.],background
2,[8 8],[0.375 0.375],[0 0],[0. 0.],[5606 4816],[0.         0.15234375],[0.375      0.34179688],[0. 0.],background
2,[8 8],[0.375 0.375],[0 0],[0. 0.],[5383 4444],[0.         0.15234375],[0.375      0.34179688],[0. 0.],background
2,[8 8],[0.375 0.375],[0 0],[0. 0.],[5555 4462],[0.         0.15234375],[0.375      0.34179688],[0. 0.],background
2,[8 8],[0.375 0.375],[0 0],[0. 0.],[5610 4437],[0.         0.15234375],[0.375      0.34179688],[0. 0.],background
2,[8 8],[0.375 0.375],[0 0],[0. 0.],[5617 4376],[0.         0.15234375],[0.375      0.34179688],[0. 0.],background
2,[8 8],[0.375 0.375],[0 0],[0. 0.],[5716 4461],[0.         0.15234375],[0.375      0.34179688],[0. 0.],background
2,[8 8],[0.375 0.375],[0 0],[0. 0.],[5821 4466],[0.         0.15234375],[0.375      0.34179688],[0. 0.],slideUp
1,[7],[0.328125],[0],[0.],[6955],[-0.00976562],[0.328125],[0.],slideUp
1,[7],[0.328125],[0],[0.],[6802],[-0.00976562],[0.328125],[0.],slideUp
2,[7 7],[0.328125 0.328125],[0 0],[0. 0.],[3659 3520],[ 0.14453125 -0.15429688],[0.29492188 0.2890625 ],[0. 0.],slideUp
4,[ 7  7 13  7],[0.328125 0.328125 0.609375 0.328125],[ 5 -8 -6 -2],[ 0.29267607 -0.46828172 -0.35121129 -0.11707043],[ 592  886   92 4174],[-0.08203125 -0.03125     0.          0.        ],[0.31835938 0.32617188 0.609375   0.328125  ],[0. 0. 0. 0.],slideUp
5,[ 8 52  7  8  7],[0.375    2.4375   0.328125 0.375    0.328125],[ 0 -6 -4  0 -4],[ 0.         -0.35121129 -0.23414086  0.         -0.23414086],[3884   30  607 2976  546],[-0.05859375 -0.07617188  0.1328125  -0.1875     -0.04101562],[0.37109375 2.4375     0.30078125 0.32421875 0.32617188],[0. 0. 0. 0. 0.],slideUp
1,[8],[0.375],[1],[0.05853521],[3263],[-0.03515625],[0.37304688],[0.],slideUp
2,[8 8],[0.375 0.375],[0 0],[0. 0.],[1584 1582],[ 0.1171875 -0.0703125],[0.35546875 0.36914062],[0. 0.],slideUp
1,[8],[0.375],[2],[0.11707043],[3377],[-0.03515625],[0.37304688],[0.],slideUp
1,[8],[0.375],[1],[0.05853521],[4131],[-0.05859375],[0.37109375],[0.],slideUp
1,[8],[0.375],[0],[0.],[8683],[-0.01171875],[0.375],[0.],slideUp
1,[8],[0.375],[0],[0.],[3547],[-0.05859375],[0.37109375],[0.],slideUp
1,[8],[0.375],[0],[0.],[4203],[-0.05859375],[0.37109375],[0.],slideUp
2,[8 8],[0.375 0.375],[0 0],[0. 0.],[3074 3053],[-0.0703125   0.12890625],[0.36914062 0.3515625 ],[0. 0.],background
2,[8 8],[0.375 0.375],[0 0],[0. 0.],[6320 4773],[0.01171875 0.15234375],[0.375      0.34179688],[0. 0.],background
2,[8 8],[0.375 0.375],[0 0],[0. 0.],[6428 4903],[0.01171875 0.15234375],[0.375      0.34179688],[0. 0.],background
1,[8],[0.375],[0],[0.],[4373],[0.0234375],[0.375],[0.],background
